subject_name,parent,subject_kind,d6_status,slot,d6_slot_status,entity_mentions,section_aligned_mentions,out_of_section_mentions,unique_entity_count,section_aligned_unique_entity_count,entity_type_counts,sample_section_aligned_entities,sample_all_entities,sample_evidence,recommended_action
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,clinical_manifestation,candidate_present,52,0,52,22,0,"{""Sign"": 21, ""Symptom"": 31}",,乏力；休克；出汗；劳力性呼吸困难；发热；呼吸困难；咳嗽；夜间阵发性呼吸困难；头晕；心悸；心脏扩大；心脏杂音；晕厥；水肿；水肿感；端坐呼吸；第三心音；第四心音；胸痛；胸闷,,疑似跨章节噪声，需人工抽样确认
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,diagnosis_differential,candidate_present,20,0,20,2,0,"{""DifferentialDiagnosis"": 16, ""DiagnosisCriteria"": 4}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,etiology_pathogenesis,candidate_present,58,0,58,10,0,"{""Pathophysiology"": 7, ""RiskFactor"": 28, ""Etiology"": 23}",,创伤；动脉粥样硬化；右心负荷增加；吸烟；家族史；心肌缺血；感染；手术；炎症；遗传因素,,疑似跨章节噪声，需人工抽样确认
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,exam_lab,candidate_present,37,0,37,13,0,"{""Exam"": 26, ""LabTest"": 11}",,CT检查；C反应蛋白；冠状动脉造影；心电图；心脏导管检查；磁共振成像；红细胞沉降率；肾功能；胸部X线检查；血常规；血管超声；血脂检查；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,follow_up_prognosis,not_in_d6_slot_audit,34,0,34,9,0,"{""Complication"": 30, ""Prognosis"": 3, ""FollowUp"": 1}",,出血；定期随访；心力衰竭；心律失常；感染性心内膜炎；猝死；肺动脉高压；预后不良；预后良好,,疑似跨章节噪声，需人工抽样确认
主动脉瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,treatment,candidate_present,30,0,30,12,0,"{""Medication"": 8, ""TreatmentPlan"": 10, ""Procedure"": 12}",,他汀类药物；利尿剂；控制心室率；氧疗；洋地黄类药物；瓣膜置换术；硝酸酯类药物；经导管主动脉瓣置换术；经皮冠状动脉介入治疗；药物治疗；血管紧张素转换酶抑制剂；降压治疗,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,clinical_manifestation,not_in_d6_slot_audit,4,0,4,3,0,"{""Sign"": 4}",,休克；低血压；高血压,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,diagnosis_differential,not_in_d6_slot_audit,4,0,4,2,0,"{""DifferentialDiagnosis"": 3, ""DiagnosisCriteria"": 1}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,etiology_pathogenesis,not_in_d6_slot_audit,31,0,31,8,0,"{""RiskFactor"": 19, ""Etiology"": 11, ""Pathophysiology"": 1}",,创伤；动脉粥样硬化；家族史；心肌缺血；感染；手术；炎症；肿瘤,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,exam_lab,not_in_d6_slot_audit,7,0,7,7,0,"{""Exam"": 5, ""LabTest"": 2}",,CT检查；心电图；磁共振成像；血管超声；血糖；血脂检查；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,follow_up_prognosis,not_in_d6_slot_audit,9,0,9,3,0,"{""Prognosis"": 2, ""Complication"": 7}",,出血；心力衰竭；预后不良,,疑似跨章节噪声，需人工抽样确认
主动脉瘤,,,,treatment,not_in_d6_slot_audit,2,0,2,2,0,"{""TreatmentPlan"": 2}",,药物治疗；血运重建,,疑似跨章节噪声，需人工抽样确认
主动脉窦瘤,,,,diagnosis_differential,not_in_d6_slot_audit,4,0,4,2,0,"{""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 3}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉窦瘤,,,,etiology_pathogenesis,not_in_d6_slot_audit,7,0,7,3,0,"{""RiskFactor"": 6, ""Pathophysiology"": 1}",,心肌缺血；感染；手术,,疑似跨章节噪声，需人工抽样确认
主动脉窦瘤,,,,exam_lab,not_in_d6_slot_audit,11,0,11,7,0,"{""Exam"": 10, ""LabTest"": 1}",,冠状动脉造影；心电图；心脏导管检查；磁共振成像；肾功能；血管超声；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉窦瘤,,,,follow_up_prognosis,not_in_d6_slot_audit,12,0,12,7,0,"{""Complication"": 10, ""FollowUp"": 2}",,出血；定期随访；心力衰竭；心律失常；心脏压塞；感染性心内膜炎；肺动脉高压,,疑似跨章节噪声，需人工抽样确认
主动脉窦瘤,,,,treatment,not_in_d6_slot_audit,5,0,5,1,0,"{""Procedure"": 5}",,经皮冠状动脉介入治疗,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,clinical_manifestation,not_in_d6_slot_audit,25,0,25,10,0,"{""Symptom"": 7, ""Sign"": 18}",,低血压；劳力性呼吸困难；发绀；呼吸困难；头晕；心悸；心脏杂音；水肿；胸闷；高血压,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,diagnosis_differential,not_in_d6_slot_audit,7,0,7,2,0,"{""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 3}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,etiology_pathogenesis,not_in_d6_slot_audit,12,0,12,5,0,"{""RiskFactor"": 12}",,感染；手术；糖尿病；肥胖；肿瘤,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,exam_lab,not_in_d6_slot_audit,7,0,7,4,0,"{""Exam"": 6, ""LabTest"": 1}",,CT检查；磁共振成像；血糖；超声心动图,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,follow_up_prognosis,not_in_d6_slot_audit,7,0,7,4,0,"{""Complication"": 5, ""FollowUp"": 1, ""Prognosis"": 1}",,出血；定期随访；心力衰竭；预后不良,,疑似跨章节噪声，需人工抽样确认
主动脉缩窄,,,,treatment,not_in_d6_slot_audit,2,0,2,1,0,"{""Procedure"": 2}",,经皮冠状动脉介入治疗,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,clinical_manifestation,not_in_d6_slot_audit,2,0,2,2,0,"{""Sign"": 2}",,心脏扩大；高血压,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,diagnosis_differential,not_in_d6_slot_audit,1,0,1,1,0,"{""DifferentialDiagnosis"": 1}",,鉴别诊断,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,etiology_pathogenesis,not_in_d6_slot_audit,9,0,9,4,0,"{""RiskFactor"": 7, ""Etiology"": 2}",,创伤；感染；手术；炎症,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,exam_lab,not_in_d6_slot_audit,3,0,3,2,0,"{""Exam"": 3}",,心电图；超声心动图,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,follow_up_prognosis,not_in_d6_slot_audit,7,0,7,5,0,"{""Complication"": 6, ""Prognosis"": 1}",,出血；心力衰竭；心律失常；感染性心内膜炎；预后不良,,疑似跨章节噪声，需人工抽样确认
二叶主动脉瓣,,,,treatment,not_in_d6_slot_audit,1,0,1,1,0,"{""Procedure"": 1}",,经皮冠状动脉介入治疗,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,clinical_manifestation,candidate_present,65,0,65,24,0,"{""Sign"": 42, ""Symptom"": 23}",,乏力；休克；低血压；出汗；劳力性呼吸困难；发热；呼吸困难；咯血；夜间阵发性呼吸困难；奔马律；心动过速；心悸；心脏扩大；心脏杂音；心音低钝；恶心呕吐；晕厥；水肿；端坐呼吸；第三心音,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,diagnosis_differential,candidate_present,9,0,9,2,0,"{""DifferentialDiagnosis"": 3, ""DiagnosisCriteria"": 6}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,etiology_pathogenesis,candidate_present,41,0,41,10,0,"{""Pathophysiology"": 5, ""RiskFactor"": 31, ""Etiology"": 5}",,创伤；动脉粥样硬化；右心负荷增加；家族史；心肌缺血；感染；手术；糖尿病；肿瘤；遗传因素,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,exam_lab,candidate_present,29,0,29,9,0,"{""Exam"": 23, ""LabTest"": 6}",,CT检查；心电图；心脏导管检查；红细胞沉降率；肾功能；胸部X线检查；血常规；血管超声；超声心动图,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,follow_up_prognosis,not_in_d6_slot_audit,37,0,37,10,0,"{""Complication"": 31, ""FollowUp"": 2, ""Prognosis"": 4}",,定期随访；心力衰竭；心律失常；心脏压塞；感染性心内膜炎；猝死；肺动脉高压；脑卒中；预后不良；预后良好,,疑似跨章节噪声，需人工抽样确认
二尖瓣反流,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,treatment,candidate_present,33,0,33,17,0,"{""Medication"": 9, ""TreatmentPlan"": 13, ""Procedure"": 11}",,一般治疗；复律治疗；心脏再同步治疗；抗凝治疗；抗凝药物；抗血小板药物；控制心室率；洋地黄类药物；瓣膜置换术；硝酸酯类药物；经皮冠状动脉介入治疗；药物治疗；血管紧张素Ⅱ受体拮抗剂；血管紧张素转换酶抑制剂；醛固酮受体拮抗剂；钙通道阻滞剂；降压治疗,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,classification_risk,deep_entity_present,1,0,1,1,0,"{""RiskStratification"": 1}",,危险分层,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,clinical_manifestation,candidate_present,78,0,78,24,0,"{""Symptom"": 31, ""Sign"": 47}",,休克；低血压；劳力性呼吸困难；发热；发绀；呼吸困难；咯血；咳嗽；心动过缓；心动过速；心脏扩大；心脏杂音；恶心呕吐；晕厥；杵状指；水肿；端坐呼吸；第三心音；第四心音；肺部啰音,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,diagnosis_differential,candidate_present,10,0,10,2,0,"{""DifferentialDiagnosis"": 6, ""DiagnosisCriteria"": 4}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,etiology_pathogenesis,candidate_present,44,0,44,10,0,"{""RiskFactor"": 38, ""Etiology"": 3, ""Pathophysiology"": 3}",,动脉粥样硬化；右心负荷增加；吸烟；家族史；感染；手术；炎症；糖尿病；肥胖；肿瘤,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,exam_lab,candidate_present,30,0,30,9,0,"{""Exam"": 17, ""LabTest"": 13}",,CT检查；动脉血气分析；心电图；心脏导管检查；肾功能；血管超声；血糖；血脂检查；超声心动图,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,follow_up_prognosis,not_in_d6_slot_audit,50,0,50,11,0,"{""Complication"": 46, ""FollowUp"": 2, ""Prognosis"": 2}",,出血；定期随访；心力衰竭；心律失常；心脏压塞；感染性心内膜炎；猝死；肺动脉高压；肺栓塞；脑卒中；预后不良,,疑似跨章节噪声，需人工抽样确认
二尖瓣狭窄,心脏瓣膜病,disease_or_topic,source_limited_ready_as_textbook_core,treatment,candidate_present,43,0,43,15,0,"{""Medication"": 18, ""TreatmentPlan"": 19, ""Procedure"": 6}",,一般治疗；利尿剂；复律治疗；抗凝治疗；抗凝药物；抗血小板药物；控制心室率；氧疗；洋地黄类药物；瓣膜置换术；硝酸酯类药物；经皮冠状动脉介入治疗；药物治疗；血运重建；钙通道阻滞剂,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,clinical_manifestation,not_in_d6_slot_audit,3,0,3,2,0,"{""Symptom"": 2, ""Sign"": 1}",,发热；心脏杂音,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,diagnosis_differential,not_in_d6_slot_audit,2,0,2,2,0,"{""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,etiology_pathogenesis,not_in_d6_slot_audit,23,0,23,5,0,"{""RiskFactor"": 21, ""Etiology"": 1, ""Pathophysiology"": 1}",,右心负荷增加；感染；手术；炎症；糖尿病,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,exam_lab,not_in_d6_slot_audit,9,0,9,4,0,"{""Exam"": 7, ""LabTest"": 2}",,CT检查；磁共振成像；血培养；超声心动图,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,follow_up_prognosis,not_in_d6_slot_audit,13,0,13,6,0,"{""Complication"": 11, ""Prognosis"": 2}",,心力衰竭；感染性心内膜炎；肺动脉高压；肺栓塞；脑卒中；预后不良,,疑似跨章节噪声，需人工抽样确认
人工瓣膜心内膜炎,,,,treatment,not_in_d6_slot_audit,8,0,8,3,0,"{""Procedure"": 7, ""TreatmentPlan"": 1}",,瓣膜置换术；经导管主动脉瓣置换术；药物治疗,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,classification_risk,not_in_d6_slot_audit,1,0,1,1,0,"{""RiskStratification"": 1}",,危险分层,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,clinical_manifestation,not_in_d6_slot_audit,19,0,19,6,0,"{""Sign"": 9, ""Symptom"": 10}",,低血压；头晕；心动过速；心悸；心脏扩大；晕厥,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,diagnosis_differential,not_in_d6_slot_audit,2,0,2,2,0,"{""DifferentialDiagnosis"": 1, ""DiagnosisCriteria"": 1}",,诊断标准；鉴别诊断,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,etiology_pathogenesis,not_in_d6_slot_audit,12,0,12,5,0,"{""Etiology"": 4, ""RiskFactor"": 5, ""Pathophysiology"": 3}",,创伤；家族史；心肌缺血；手术；遗传因素,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,exam_lab,not_in_d6_slot_audit,12,0,12,5,0,"{""Exam"": 12}",,CT检查；动态心电图；心电图；磁共振成像；超声心动图,,疑似跨章节噪声，需人工抽样确认
儿茶酚胺敏感性室性心动过速,,,,follow_up_prognosis,not_in_d6_slot_audit,18,0,18,3,0,"{""Complication"": 17, ""FollowUp"": 1}",,定期随访；心律失常；猝死,,疑似跨章节噪声，需人工抽样确认
