检查项,性质,业务编码,业务名称,说明,原始数据
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""心房颤动（atrialfibrillation，AF）简称房颤，是最常见的心律失常之一，是指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱。心房无序的颤动使之失去了有效的收缩与舒张，心房泵血功能恶化或丧失，加之房室结对快速心房激动的递减传导，引起心室极不规则的反应。因此，心室律（率）紊乱、心功能受损和心房附壁血栓形成是房颤病人的主"", ""duplicate_count"": 32, ""codes"": [""CARD-SKELETON-20260709-EVID-00166C5BABBA84A4"", ""CARD-SKELETON-20260709-EVID-BACKFILL-C16267C48A93A95A"", ""CARD-SKELETON-20260709-EVID-BACKFILL-01A67F2B7370D378"", ""CARD-SKELETON-20260709-EVID-BACKFILL-D7B86CE0818144A9"", ""CARD-SKELETON-20260709-EVID-BACKFILL-66D60D94E5A148C0"", ""CARD-SKELETON-20260709-EVID-BACKFILL-D1CA98BF8E11B50D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-118023D0D346132F"", ""CARD-SKELETON-20260709-EVID-BACKFILL-3D8F5EE5690B271D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8CC19FA501901DCD"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8334A8BA3601AC1E"", ""CARD-SKELETON-20260709-EVID-BACKFILL-10EC6BC0B854633F"", ""CARD-SKELETON-20260709-EVID-BACKFILL-DBA2DBBF06AB8AC4"", ""CARD-SKELETON-20260709-EVID-BACKFILL-92468D74B74FCE4D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-3DAB7E4970014B7D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-703D9DE2E6C78603"", ""CARD-SKELETON-20260709-EVID-BACKFILL-29279323F807E2CD"", ""CARD-SKELETON-FULL-20260709-EVID-B3ED06FF6E6D97A6"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-69395BC06CF2D37C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-1C55C05516DC2945"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-4AD2FF6C626B2EC5""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""正常情况下心脏以一定范围的频率，发生有规律的搏动，这种搏动的冲动起源于窦房结（sinoatrialnode，SAN），以一定的顺序和频率传导至心房和心室，协调心脏各部位同步收缩，形成一次心脏搏动，周而复始，为正常节律。心律失常（cardiacarrhythmia）是指心脏冲动的频率、节律、起源部位、传导速度或激动次序的异常，可见于生理情况，更多见于病理性状态"", ""duplicate_count"": 27, ""codes"": [""CARD-SKELETON-20260709-EVID-0845ACD4B82584AC"", ""CARD-SKELETON-FULL-20260709-EVID-E35BE1FF6041E218"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-F5A8D43E3F978D74"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-6769DCD1B88D528B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-AAA9AE9AE7475552"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-902698E1B7A0930C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9242E6AEECD9D8E1"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-08F3FCC43A1205CE"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3CE708533873D31D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-46BA9EA1A527D87A"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-7F7C4E50783A7224"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-BF895B1241D3E95A"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-0BE334CCD683E021"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-014C96E4265EB0A5"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-63E52F927F256602"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-57C92FCF4F3433EE"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-25842A6553425042"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-7AFEA9AF4B5754AB"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-429553800EE6735E"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-88239939E952A0F6""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""继发性高血压是指由某些确定的疾病或病因引起的血压升高。继发性高血压尽管所占比例并不高，但绝对人数并不少，除了高血压本身的危害以外，与之伴随的电解质紊乱、内分泌失衡、低氧血症等还可导致独立于血压之外的心血管损害，其危害程度较原发性高血压更大。某些继发性高血压，如原发性醛固酮增多症、嗜铬细胞瘤、肾血管性高血压等，可通过手术得到根治或改善。因此，及早明确诊断能提高"", ""duplicate_count"": 24, ""codes"": [""CARD-SKELETON-FULL-20260709-EVID-4C7183F6E791256D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3EECC34B84E02124"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-70D6FD1FF262BE9B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-8B2CD5D4C6EA6E86"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-ADC371DA359BE858"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9302942CCC3B702A"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-F1EF9E1753B39A42"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-AD808C958F10F94D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-AB40AA7C1F08D0D5"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-FCFF36D53E4B0C52"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-1A09C5BCE524D752"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9A6E0EEE97161C43"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-6F116203D631295B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-219EFBA862CA2AAE"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-94CE30E77532EFBD"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-FFA93BF49B7EB541"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-7A8BA84E82E6F51B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-251F00D5CC20758C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-617831F605FEAD24"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-54B6CF972EEE4E1D""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""抗心律失常药物治疗原则：①首先评估药物治疗的必要性，无器质性心脏病或无明显症状、不影响预后的心律失常，多不需要治疗。心律失常治疗主要目的是缓解症状或减少心律失常对心功能和心肌缺血的影响，不应以消灭或减少心律失常为主要目标。②要注意兼顾基础心脏病的治疗，去除病因和诱因，权衡心律失常治疗的重要性和紧迫性，要着重考虑可改善预后的综合治疗措施，如房颤的抗凝治疗。③正"", ""duplicate_count"": 22, ""codes"": [""CARD-SKELETON-20260709-EVID-9ACD585CF5598C2E"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8872D48FDBD6F084"", ""CARD-SKELETON-20260709-EVID-BACKFILL-EAB4062809C78A40"", ""CARD-SKELETON-20260709-EVID-BACKFILL-0B0DF52CF34E5353"", ""CARD-SKELETON-20260709-EVID-BACKFILL-BFBD11C44737E9A5"", ""CARD-SKELETON-20260709-EVID-BACKFILL-F066BD7F08F7F5F8"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8D1FA6A8B42FF8C4"", ""CARD-SKELETON-20260709-EVID-BACKFILL-B80EB5B844D04627"", ""CARD-SKELETON-20260709-EVID-BACKFILL-CD61F00B5C8615FA"", ""CARD-SKELETON-20260709-EVID-BACKFILL-D7AA2EDA40E5771A"", ""CARD-SKELETON-20260709-EVID-BACKFILL-B5DA8D6D06C063C1"", ""CARD-SKELETON-FULL-20260709-EVID-5D9153BE0BBE0294"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-2B815B962F55EAE0"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-D7301FAD96526325"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-0BF1F76671936628"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-F0CCAC39CE208D5F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C3955CF68CD16192"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C21C91617505D7B9"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9259F81B29DB5F4A"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-922C62A5C944290A""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""冠脉痉挛是一种特殊类型的冠脉疾病。造影正常血管或粥样硬化病变部位均可发生痉挛。其临床表现和治疗方案与冠心病有明显的差别。病人常较年轻，除吸烟外，大多数病人缺乏动脉粥样硬化的经典危险因素。吸烟、酒精和毒品是冠脉痉挛的重要诱发因素。本病表现为静息性心绞痛，无体力劳动或情绪激动等诱因。发病时间集中在午夜至上午8点之间。病人常因恶性心律失常伴发晕厥。少数病人冠脉持续"", ""duplicate_count"": 22, ""codes"": [""CARD-SKELETON-20260709-EVID-D81171F5A335D2FB"", ""CARD-SKELETON-20260709-EVID-BACKFILL-4241533322F8C765"", ""CARD-SKELETON-20260709-EVID-BACKFILL-5B61D3EFA61026EB"", ""CARD-SKELETON-20260709-EVID-BACKFILL-203E96913D656AAC"", ""CARD-SKELETON-20260709-EVID-BACKFILL-79BAC07ED8781D8C"", ""CARD-SKELETON-20260709-EVID-BACKFILL-D69B59CD7F4CA768"", ""CARD-SKELETON-20260709-EVID-BACKFILL-3F872A6D54E256E6"", ""CARD-SKELETON-20260709-EVID-BACKFILL-2CD25F3A773EE40F"", ""CARD-SKELETON-FULL-20260709-EVID-7C6E10A10595579C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3DA9694E2A42BDF2"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-5A119F9787935A96"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-CCD8FBE78E90E057"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-21488B31A1EA61DC"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-12C24C13DD455189"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9C3B52011EDE791F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-52D77C2C164A9EA6"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C46FDCC0C0E79089"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-6ACDDF9B65627E42"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-B67C040C7906489B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-124B4CD0166BE314""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""高血压是以体循环动脉压升高为主要临床表现的心血管综合征，可分为原发性高血压（essentialhypertension）和继发性高血压（secondaryhypertension）。原发性高血压，又称高血压病，是心脑血管疾病最重要的危险因素之一，常与其他心血管危险因素共存，可损伤重要脏器，如心、脑、肾的结构和功能，最终导致这些器官的功能衰竭。【血压分类和定义"", ""duplicate_count"": 20, ""codes"": [""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-629D49A7B14401D2"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-E927A0B555EC140F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-05A9023922386519"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-2E6EC47FCA480C1F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-FCE50CFC99C2E1D2"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-625396C305CF7B36"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-EDD2E9F2094CF978"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-58153468ACB079B3"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-8CF99E7F39363679"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3D45D14CEA2D1A03"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3F6C8C422BEB2F50"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-E06F988448EA909B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-600595D13D2C4261"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-0AE7FA107BD4E0EF"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-200B1BDFD55D9F47"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-42FFE6BE8879101D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-6961A75DAC3BC834"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-8B35D71C8B992A87"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-BEF5837FACE01A2F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-068DBEFFFA44FD52""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""成人窦性心律的频率低于60次/分称为窦性心动过缓（sinusbradycardia）（图3-3-5）。窦性心动过缓常同时伴有窦性心律不齐（不同PP间期的差异＞0.12秒）。窦性心动过缓常见于健康的青年人、运动员及睡眠状态；其他原因包括颅内疾病、严重缺氧、低温、甲状腺功能减退和血管迷走性晕厥等，以及应用拟胆碱药物、胺碘酮、β受体拮抗剂、非二氢吡啶类钙通道阻滞剂"", ""duplicate_count"": 16, ""codes"": [""CARD-SKELETON-20260709-EVID-E5B90A002A9B62FA"", ""CARD-SKELETON-20260709-EVID-BACKFILL-E45B350FBF59008F"", ""CARD-SKELETON-20260709-EVID-BACKFILL-F1798A847F5BA091"", ""CARD-SKELETON-20260709-EVID-BACKFILL-FE807F71B03D1FCF"", ""CARD-SKELETON-20260709-EVID-BACKFILL-A499C02BDD58237D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-EFBDBE99B3C554F2"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8F4F3038ABA1AAB1"", ""CARD-SKELETON-20260709-EVID-BACKFILL-E75508C65FCFF8A4"", ""CARD-SKELETON-20260709-EVID-BACKFILL-211979E57E06E4C8"", ""CARD-SKELETON-20260709-EVID-BACKFILL-062A03360DE4B8A9"", ""CARD-SKELETON-FULL-20260709-EVID-1FA19E0B280E906B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-D35C3D45D526BC41"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-078031D600214D6F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-ADB96B3559C690FF"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-84A1AF576A321A4C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-464B8A6D08D6B63E""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""一、心脏电复律与电除颤【电复律与电除颤的机制和种类】心脏电复律（cardioversion）和电除颤（defibrillation）的机制是在极短暂的时间内给心脏通以强直流电，引起心脏自律细胞在瞬间同时除极化，并使所有可能存在的折返通道全部失活，此时心脏起搏系统中具有最高自律性的起搏点（通常是窦房结）重新主导心脏节律。NOTES221根据电复律时是否识别R波"", ""duplicate_count"": 15, ""codes"": [""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-20A8F230FC4D8970"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-62F3827BD8C515F1"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-778E287E2C3A7026"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-75B2668935ED8A81"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-8D1A284600268D70"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C63A607F14F8AA09"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-08F3E510E020F7AB"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-F65ECEDC49264C6D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-26E4BC24877D793B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-2D6D63AAA4C7A8E8"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-1DEB23CAB67A4BBC"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-62DDBF00E525BBA3"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-CB62144A5EB369DD"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-0CF1C11ED87CF929"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-B610F352103D2DDA""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""房室交界区相关的折返性心动过速主要包括房室结折返性心动过速（atrioventricularnodalreentranttachycardia，AVNRT）和房室折返性心动过速（atrioventricularreentranttachycardia，AVRT）两大类，临床特征表现为规律而快速的心动过速，呈突然发作与终止，心电图多表现为QRS波群形态正常、R"", ""duplicate_count"": 14, ""codes"": [""CARD-SKELETON-20260709-EVID-B7ECDF6F2DB4110C"", ""CARD-SKELETON-20260709-EVID-BACKFILL-297D0FEABF1D21D0"", ""CARD-SKELETON-20260709-EVID-BACKFILL-55553667CA8866F6"", ""CARD-SKELETON-20260709-EVID-BACKFILL-0C764176C894529D"", ""CARD-SKELETON-20260709-EVID-BACKFILL-F41CFEB5F6613A58"", ""CARD-SKELETON-20260709-EVID-BACKFILL-428BD5EAADB9ECEF"", ""CARD-SKELETON-20260709-EVID-BACKFILL-EED49824F38F96E5"", ""CARD-SKELETON-20260709-EVID-BACKFILL-24A21A39F4F698F5"", ""CARD-SKELETON-20260709-EVID-BACKFILL-FEF12EE14729C78E"", ""CARD-SKELETON-20260709-EVID-BACKFILL-A133E577812B7F96"", ""CARD-SKELETON-20260709-EVID-BACKFILL-D727DC4117E17CD8"", ""CARD-SKELETON-FULL-20260709-EVID-E11CBAC3176F9BD9"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-05BC44DECD3BBE8B"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9F24B33860EC9839""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""肿瘤治疗过程中可出现多种类型的心律失常，包括快速型/缓慢型心律失常、室性/室上性心律失常和传导阻滞等。这些肿瘤治疗相关的心律失常可能与放/化疗造成的直接心肌损伤、冠脉病变等相关。另外肿瘤治疗常常联用抗生素、止吐药和精神类药物等，也可诱发或加重心律失常。（一）心房颤动在肿瘤病人中，房颤发病率可高达5%～16%，高于普通人群。肿瘤合并房颤的易患因素包括：①肿瘤病"", ""duplicate_count"": 14, ""codes"": [""CARD-SKELETON-20260709-EVID-6E1A3207F07AE908"", ""CARD-SKELETON-20260709-EVID-BACKFILL-BA89EFE2A2204D7F"", ""CARD-SKELETON-20260709-EVID-BACKFILL-937885389527B51C"", ""CARD-SKELETON-20260709-EVID-BACKFILL-4BFF25E3BF67F2B9"", ""CARD-SKELETON-20260709-EVID-BACKFILL-1C6596608F447F24"", ""CARD-SKELETON-20260709-EVID-BACKFILL-B31F89F321C0D6B4"", ""CARD-SKELETON-20260709-EVID-BACKFILL-E1FFE3D02FB6D147"", ""CARD-SKELETON-FULL-20260709-EVID-983E2A07D77A9C5F"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-56D3869E574E2437"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-5FDB41FFDB42A82C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-A99953D76C409610"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-4DE146D452E1417C"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-FB6958159B269C31"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-A32D3CD88E4E2BD2""]}"
证据原文重复,阻断,,,同一来源、同一页码、同一原文存在多个证据节点；按内容指纹识别，不按显示名称识别。,"{""source_name"": ""《内科学（第10版）》"", ""source_page"": """", ""evidence_excerpt"": ""非阵发性房室交界性心动过速（nonparoxysmalatrioventricularjunctionaltachycardia）的发生机制与房室交界区组织的自律性增高或触发活动有关。最常见的病因为洋地黄中毒，其次为下壁心肌梗死、心肌炎、急性风湿热或心脏瓣膜手术后等，亦偶见于正常人。心动过速发作起始与终止时，心率逐渐变化，有别于突发突止的阵发性折返性心动过速"", ""duplicate_count"": 13, ""codes"": [""CARD-SKELETON-20260709-EVID-BEBAE65849F4A5B3"", ""CARD-SKELETON-20260709-EVID-BACKFILL-8A213BFA910203BF"", ""CARD-SKELETON-20260709-EVID-BACKFILL-E4C5217CAACE34DF"", ""CARD-SKELETON-20260709-EVID-BACKFILL-53EFE501F61E0B2B"", ""CARD-SKELETON-20260709-EVID-BACKFILL-047F0E1C161A0CE7"", ""CARD-SKELETON-20260709-EVID-BACKFILL-A51F4FEDED95BA49"", ""CARD-SKELETON-20260709-EVID-BACKFILL-4AABF606E4704E1B"", ""CARD-SKELETON-FULL-20260709-EVID-0756A5C546CE0A1D"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9CC182E08B358847"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-89A7402CF5B2E0E5"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-345B121AF032DBB6"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-E1DD47BE8D999264"", ""CARD-SKELETON-FULL-20260709-EVID-BACKFILL-97BE88349D5698AF""]}"
