subject_name,parent,level,pdf_page_approx,docx_start_para,docx_end_para,subject_kind,expected_groups,present_groups,missing_groups,definition_count,etiology_pathogenesis_count,clinical_manifestation_count,exam_lab_count,diagnosis_differential_count,treatment_count,prognosis_followup_count,example_entities,g1_status,neo4j_import_allowed,note
第三章心律失常,第三篇循环系统疾病,章,221,4229,4232,category_container,,,,0,0,0,0,0,0,0,,g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第二章心力衰竭,第三篇循环系统疾病,章,207,3905,3909,category_container,,definition,,6,0,0,0,0,0,0,"definition: 第二章心力衰竭定义, 是各种原因导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降, 是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）, 主要表现为活动耐量下降和液体潴留, 导致的心脏结构和/或功能异常，使心脏出现收缩和/或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第六章心肌疾病,第三篇循环系统疾病,章,306,5739,5745,category_container,,definition,,6,0,0,0,0,0,0,"definition: 第六章心肌疾病定义, 是一组病因和表型异质性高的心肌疾病，其心肌结构和/或功能异常无法以前/后负荷增加或心肌缺血等疾病来诠释, 是：①将CM视为常见临床表现（心力衰竭、心律失常）的原因, 指南》的分类法将其分为5个临床表型：肥厚型心肌病（HCM）、扩张型心肌病（DCM）、非扩张型左心室心肌病（NDLVC）、致心律失常性右心室心肌病（ARVC）和限制, 指导心源性猝死（SCD）的预防",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,章,258,4890,4942,category_container,,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,7,12,3,8,3,11,7,"definition: 第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病定义, 是包括血管内超声（IVUS）和光学相干断层扫描（OCT）在内的腔内影像学技术的进展和普及，对不同临床类型冠心病病人的斑块性状有了更直接和更清晰的认识, 是稳定型，即纤维帽较厚而脂质池较小的斑块, 是不稳定型（又称为易损型），其纤维帽较薄，脂质池较大易于破裂, 导致急性缺血性心血管事件的发生；clinical_manifestation: 上腹痛, 少尿, 高血压；exam_lab: 超声心动图, 冠状动脉CT血管成像, 心电图, 运动负荷试验, X线；diagnosis_differential: 【诊断与鉴别诊断】本病发展到出现器官缺血或坏死阶段时, 梅毒性主动脉炎和主动脉瘤以及纵隔肿瘤相鉴别, 需要和本病相鉴别；prognosis_followup: 【预后】本病预后随病变部位、程度、血管狭窄发展速度、受累器官受损情况和有无并发症而不同, 病变涉及心、脑、肾等重要脏器动脉者预后不良, 【防治】首先应积极预防动脉粥样硬化的发生, 如已发生应积极治疗, 防止病变发展并争取逆转；etiology_pathogenesis: 1.积极控制与本病有关的危险因素包括高血压病、糖尿病、血脂异常、肥胖症等, 2.合理膳食控制膳食总热量, 以BMI18.5～24kg/m2为正常体重, 当女性≥80cm、男性≥85cm为超标, 超重或肥胖者应减少每日进食总热量；treatment: P2Y12受体抑制剂, 他汀类药物, 阿司匹林, 抗凝药物, 氯吡格雷",g1_container_rollup_only,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、稳定型心绞痛,第三节慢性冠状动脉综合征,小节/疾病,258,4958,5088,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,,1,7,11,14,2,3,13,"definition: 一、稳定型心绞痛定义；etiology_pathogenesis: 【发病机制】当冠脉狭窄或部分闭塞时, 心肌供血量相对比较固定, 休息时尚能维持心肌血流的供需平衡, 在劳力、情绪激动、饱食、受寒等情况下, 心脏负荷突然增加；clinical_manifestation: 胸痛, 胸闷, 呼吸困难, 濒死感, 心绞痛；exam_lab: 心电图, 运动负荷试验, 肌钙蛋白, 心肌肌钙蛋白, BNP；diagnosis_differential: 【诊断与鉴别诊断】根据典型心绞痛的发作特点, 结合年龄和存在冠心病危险因素；prognosis_followup: 【预后】稳定型心绞痛病人大多数能生存很多年, 但有发生急性心肌梗死或猝死的危险, 决定预后的主要因素为冠脉病变累及心肌供血的范围和心功能, 左冠脉主干病变最为严重, 国外统计年病死率可高达30%左右；treatment: 硝酸酯类药物, 硝酸甘油, 血运重建",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
三、隐匿型冠心病,第三节慢性冠状动脉综合征,小节/疾病,258,5111,5119,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab,treatment,3,0,1,5,3,0,0,"definition: 三、隐匿型冠心病定义, 是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG表现可见于静息时，也可在负荷状态下才出现，常为动态ECG记录所发现，也可为各种影像学检查所证实, 指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG表现可见于静息时，也可在负荷状态下才出现，常为动态ECG记录所发现，也可为各种影像学检查所证实；clinical_manifestation: 心绞痛；exam_lab: 冠状动脉CT血管成像, 冠状动脉造影, 运动负荷试验, CT, IVUS；diagnosis_differential: 【鉴别诊断】各种器质性心脏病都可引起缺血性ST-T的改变, 应加以鉴别, 【防治】明确诊断为隐匿型冠心病病人应使用药物治疗预防心肌梗死或死亡",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二、缺血性心肌病,第三节慢性冠状动脉综合征,小节/疾病,258,5089,5110,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab；prognosis_followup,treatment,6,0,1,4,2,0,8,"definition: 二、缺血性心肌病定义, 是冠脉粥样硬化病变使心肌长期缺血、缺氧以至心肌细胞减少、坏死、心肌纤维化、心肌瘢痕形成, 是必备症状，有些仅表现为无症状性心肌缺血，直至出现充血型心衰, 是由于急性或慢性心肌缺血坏死引起心肌舒张和收缩功能障碍所致, 导致心肌坏死、顿抑、冬眠及局灶性或弥漫性纤维化直至瘢痕形成，导致心肌电活动障碍；diagnosis_differential: 【诊断】缺血性心肌病诊断需满足以下几点, 【鉴别诊断】需鉴别其他引起心脏增大和心力衰竭的病因；exam_lab: 超声心动图, 冠状动脉CT血管成像, 冠状动脉造影, CT；clinical_manifestation: 心脏扩大；prognosis_followup: 【防治】早期预防尤为重要, 积极控制冠心病危险因素, 预防再次心肌梗死和死亡发生, 积极治疗心功能不全（药物和器械治疗原则与慢性心力衰竭治疗类同, 请参阅相关章节）",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、房性期前收缩,第三节房性心律失常,小节/疾病,221,4363,4370,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,diagnosis_differential；exam_lab；treatment,3,0,3,0,0,0,0,"definition: 一、房性期前收缩定义, 是指起源于窦房结以外心房的任何部位的心房激动，是临床上常见的心律失常, 指起源于窦房结以外心房的任何部位的心房激动，是临床上常见的心律失常；clinical_manifestation: 胸闷, 心悸, 乏力",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
三、心房扑动,第三节房性心律失常,小节/疾病,221,4396,4408,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；treatment,diagnosis_differential；exam_lab,2,0,1,0,0,8,0,"definition: 三、心房扑动定义, 是介于房速和房颤之间的快速型心律失常；clinical_manifestation: 心绞痛；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 地高辛, 钙通道阻滞剂",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二、房性心动过速,第三节房性心律失常,小节/疾病,221,4371,4395,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,3,5,9,0,0,7,0,"definition: 二、房性心动过速定义, 是严重肺部疾病常见的心律失常，最终可能发展为心房颤动, 指起源于心房且无需房室结参与维持的心动过速；etiology_pathogenesis: 【病因】冠心病、慢性肺部疾病、洋地黄中毒、大量饮酒以及各种代谢障碍均可成为致病原因, 心脏外科手术或导管消融术后所致的手术瘢痕也可引起房性心动过速, 亦可见于部分心脏结构正常的病人, 饮酒, 冠心病；clinical_manifestation: 胸痛, 心悸, 晕厥, 乏力, 头晕；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂, 导管消融",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
四、心房颤动,第三节房性心律失常,小节/疾病,221,4409,4452,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,diagnosis_differential；exam_lab；treatment,5,10,3,0,0,0,0,"definition: 四、心房颤动定义, 是最常见的心律失常之一，是指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱, 是房颤病人的主要病理生理特点, 指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱, 引起心室极不规则的反应；etiology_pathogenesis: 【病因】房颤常发生于器质性心脏病病人, 多见于冠心病、高血压心脏病、瓣膜病、心肌病以及甲状腺功能亢进, 其次缩窄性心包炎、慢性肺源性心脏病、预激综合征以及高龄老人也可合并房颤, 部分房颤原因不明, 在情绪激动、外科手术、运动或大量饮酒时发生；clinical_manifestation: 心绞痛, 心动过速, 心动过缓",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第一节心力衰竭总论,第二章心力衰竭,节,207,3910,3965,overview_section,definition；etiology_pathogenesis,etiology_pathogenesis,definition,0,8,0,0,0,0,0,"etiology_pathogenesis: 【病理生理】心衰始于危险因素对心脏的作用, 通过心脏本身的代偿以及神经体液代偿机制等得以维持正常的心输出量, 但这些代偿机制导致进一步心肌损害, （一）心脏本身机制1.Frank-Starling机制正常心室的心搏出量能在很大幅度内调节, 以适应机体运动、应激等需求",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第三节急性心力衰竭,第二章心力衰竭,节,207,4119,4228,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；diagnosis_differential；exam_lab；prognosis_followup；treatment,,4,0,20,2,3,5,9,"definition: 第三节急性心力衰竭定义, 是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿, 指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿, 引起右心排血量急剧减低和体循环急性淤血，常由右心室梗死、急性大面积肺栓塞所致；clinical_manifestation: 呼吸困难, 劳力性呼吸困难, 端坐呼吸, 夜间阵发性呼吸困难, 乏力；diagnosis_differential: 【诊断与鉴别诊断】根据典型症状与体征, 支气管哮喘、喘息性支气管炎急性加重相鉴别, 测定血浆BNP/NT-proBNP水平对鉴别急性心源性和支气管性哮喘有较大的参考价值；exam_lab: BNP, NT-proBNP；treatment: 利尿剂, 吗啡, 血运重建, 电复律, 外科手术；prognosis_followup: 4.容量管理监测24小时出入液量, 容量超负荷严重者应严格限盐限水、调整输液量和速度, 待肺淤血、水肿明显消退, 应减少液体负平衡量, 逐渐过渡到出入量平衡",g1_structured_candidate_ready,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
第二节慢性心力衰竭,第二章心力衰竭,节,207,3966,4118,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；diagnosis_differential；etiology_pathogenesis；exam_lab；prognosis_followup；treatment,definition,0,11,7,9,7,6,10,"exam_lab: 超声心动图, 心电图, X线, 血常规, 肾功能；diagnosis_differential: 1.脑钠肽脑钠肽是心衰诊断、预后和疗效评估中的重要指标, 脑钠肽诊断心衰的敏感性、特异性、阴性预测值和阳性预测值均较高, 老龄和女性升高, 肥胖者降低, 左心室肥厚、心动过速、心肌缺血、肺动脉栓塞、肾功能不全、感染、败血症等亦可引起脑钠肽升高；clinical_manifestation: 呼吸困难, 乏力, 水肿, 水肿, 颈静脉怒张；treatment: 心脏再同步治疗, 血运重建, 起搏器, ICD, CRT；prognosis_followup: 1.生活方式管理（1）病人教育：心衰病人及家属应得到准确的有关疾病知识和管理的指导, 内容包括健康的生活方式、适当的诱因规避、规范的药物服用、自我监测、合理的随访计划等, （2）体重管理：日常体重监测能简便直观地反映病人体液潴留情况及利尿剂疗效, 体重改变往往出现在临床体液潴留症状和体征之前, 部分严重慢性心衰病人存在临床或亚临床营养不良；etiology_pathogenesis: （二）病因和诱因治疗1.病因治疗是治疗成功的关键, 对所有可能导致心脏功能受损的基础疾病尽早进行有效治疗, 2.消除诱因常见的诱因为感染, 特别是呼吸道感染, 应积极抗感染治疗",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、窦性心动过速,第二节窦性心律失常,小节/疾病,221,4321,4326,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,3,0,0,0,0,0,0,"definition: 一、窦性心动过速定义, 是指在静息状态下心率的持续性增快，或心率的增快与生理、情绪激动、病理状态或药物作用无关或不相一致，其发生机制不明，可能与窦房结本身的自律性增强，或自主神经对窦房结, 指在静息状态下心率的持续性增快，或心率的增快与生理、情绪激动、病理状态或药物作用无关或不相一致，其发生机制不明，可能与窦房结本身的自律性增强，或自主神经对窦房结的",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
三、窦性停搏,第二节窦性心律失常,小节/疾病,221,4333,4341,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,4,0,0,0,0,0,0,"definition: 三、窦性停搏定义, 是指窦房结不能产生冲动, 指窦房结不能产生冲动, 引起窦性停搏",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二、窦性心动过缓,第二节窦性心律失常,小节/疾病,221,4327,4332,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,1,0,0,0,0,0,0,definition: 二、窦性心动过缓定义,g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
五、病态窦房结综合征,第二节窦性心律失常,小节/疾病,221,4347,4360,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis,diagnosis_differential；exam_lab；treatment,3,7,9,0,0,0,0,"definition: 五、病态窦房结综合征定义, 是由窦房结病变导致功能减退，产生多种心律失常的综合表现, 导致功能减退，产生多种心律失常的综合表现；etiology_pathogenesis: 【病因】众多病变过程, 如窦房结纤维化与脂肪浸润、硬化与退行性变、淀粉样变性、甲状腺功能减退、某些感染（布鲁氏菌病、伤寒）等均可损害窦房结, 导致窦房结起搏与窦房传导功能障碍, 窦房结动脉供血减少、窦房结周围神经和心房肌的病变亦是SSS的病因, 颈动脉窦过敏、脑血管意外、高血钾、迷走神经张力增高、某些抗心律失常药物如洋地黄类药物、乙酰胆碱等抑制窦房结功能亦可导致窦房结功能障碍；clinical_manifestation: 心悸, 晕厥, 黑矇, 乏力, 耐力下降",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
四、窦房传导阻滞,第二节窦性心律失常,小节/疾病,221,4342,4346,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,2,0,0,0,0,0,0,"definition: 四、窦房传导阻滞定义, 指窦房结冲动传导至心房时发生延缓或阻滞",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、冠状动脉痉挛,第五节冠状动脉疾病的其他表现形式,小节/疾病,258,5401,5406,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,5,0,0,0,0,0,0,"definition: 一、冠状动脉痉挛定义, 是一种特殊类型的冠脉疾病, 是冠脉痉挛的重要诱发因素, 是治疗冠脉痉挛的主要手段，考虑微血管痉挛者，可使用尼可地尔, 导致血管闭塞，则临床表现为静息性心绞痛伴心电图一过性ST段抬高",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
三、微血管疾病,第五节冠状动脉疾病的其他表现形式,小节/疾病,258,5411,5478,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,3,0,0,0,0,0,0,"definition: 三、微血管疾病定义, 导致心肌缺血，大部分表现为稳定型心绞痛，也有呈现不稳定型，为MINOCA原因之一, 导致各种检查措施的过度应用、药品的消耗以及生活质量的下降，日常工作受影响",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二、心肌桥,第五节冠状动脉疾病的其他表现形式,小节/疾病,258,5407,5410,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,2,0,0,0,0,0,0,"definition: 二、心肌桥定义, 导致其近端的收缩期前向血流逆转，损伤该处血管内膜，所以该处容易形成动脉粥样硬化斑块",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、室性期前收缩,第五节室性心律失常,小节/疾病,221,4550,4571,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；treatment,diagnosis_differential；exam_lab,3,9,7,0,0,4,0,"definition: 一、室性期前收缩定义, 是一种最常见的心律失常，指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动, 指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动；etiology_pathogenesis: 【病因】常见于各种器质性心脏病, 如高血压、冠心病、心肌病、心肌炎及瓣膜性心脏病等, 也可见于心脏结构与功能正常者, 在情绪紧张、过度劳累、过量烟酒或咖啡, 以及电解质紊乱等情况下可诱发室早；clinical_manifestation: 胸闷, 心悸, 乏力, 头晕, 心绞痛；treatment: β受体拮抗剂, 胺碘酮, 非二氢吡啶类钙通道阻滞剂, 钙通道阻滞剂",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
三、心室扑动与心室颤动,第五节室性心律失常,小节/疾病,221,4615,4622,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition,diagnosis_differential；exam_lab；treatment,3,0,1,0,0,0,0,"definition: 三、心室扑动与心室颤动定义, 是引起QT间期延长与尖端扭转型室速的药物，以及严重缺氧缺血、预激综合征合并房颤时极快的心室率、电击伤等亦可引起, 引起QT间期延长与尖端扭转型室速的药物，以及严重缺氧缺血、预激综合征合并房颤时极快的心室率、电击伤等亦可引起；clinical_manifestation: 头晕",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
二、室性心动过速,第五节室性心律失常,小节/疾病,221,4572,4614,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,clinical_manifestation；definition；etiology_pathogenesis；exam_lab；treatment,diagnosis_differential,2,11,5,1,0,8,0,"definition: 二、室性心动过速定义, 是起源于希氏束以下的特殊传导系统或者心室肌的连续3个或3个以上的异位心搏；etiology_pathogenesis: 【病因】室速常发生于各种器质性心脏病病人, 其次是心肌病、心力衰竭、瓣膜性心脏病等, 其他病因包括代谢障碍、电解质紊乱、洋地黄中毒等, 室速偶可发生在无器质性心脏病者, 其多起源于右心室流出道（右室特发性室速）、左心室间隔部（左室特发性室速）和主动脉窦部；clinical_manifestation: 晕厥, 头晕, 心绞痛, 低血压, 心动过速；exam_lab: 电生理检查；treatment: β受体拮抗剂, 胺碘酮, 血运重建, 导管消融, 电复律",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
［附］遗传性心律失常综合征,第五节室性心律失常,附,221,4623,4641,disease_or_subtype,clinical_manifestation；definition；diagnosis_differential；exam_lab；treatment,definition,clinical_manifestation；diagnosis_differential；exam_lab；treatment,6,0,0,0,0,0,0,"definition: ［附］遗传性心律失常综合征定义, 是具有家族史者，目前将此类疾病统称为遗传性心律失常综合征，常见的离子通道病有：1.长QT间期综合征（long-QTsyndrome，LQTS）可分为先天性和获得性, 是由一个或多个基因突变导致的家族遗传性疾病, 导致心肌细胞除极或复极过程异常，从而延长或缩短动作电位时程而产生心律失常甚至猝死，称为离子通道病, 导致的家族遗传性疾病",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
一、心脏电复律与电除颤,第八节心律失常的介入治疗和手术治疗,小节/疾病,221,4750,4778,therapy_or_management_section,treatment,definition；prognosis_followup,treatment,7,0,0,0,0,0,1,"definition: 一、心脏电复律与电除颤定义, 是在极短暂的时间内给心脏通以强直流电，引起心脏自律细胞在瞬间同时除极化，并使所有可能存在的折返通道全部失活，此时心脏起搏系统中具有最高自律性的起搏点（通常是窦房结, 是否识别R波，分为同步电复律与非同步电除颤, 是，对于任何快速型的心律失常，若导致血流动力学障碍，且药物治疗无效者，均应考虑电复律或电除颤, 导致室速或室颤；prognosis_followup: 肺水肿",g1_needs_backfill,否,C2结构化候选仍需人工/规则深审计后才能进入curated delta
