subject_name,parent,level,docx_start_para,docx_end_para,pdf_page_approx,extracted_slot_count,extracted_slots,expected_core_missing,status
［附］遗传性心律失常综合征,第五节室性心律失常,附,4623,4641,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第六节心脏传导阻滞,第三章心律失常,节,4642,4649,221,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第七节抗心律失常药物的合理应用,第三章心律失常,节,4710,4747,221,2,classification；definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第八节心律失常的介入治疗和手术治疗,第三章心律失常,节,4748,4749,221,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、心脏电复律与电除颤,第八节心律失常的介入治疗和手术治疗,小节/疾病,4750,4778,221,2,complication；definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
二、心血管植入型电子器械,第八节心律失常的介入治疗和手术治疗,小节/疾病,4779,4832,221,4,definition；etiology；follow_up；treatment,pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
三、导管消融,第八节心律失常的介入治疗和手术治疗,小节/疾病,4833,4863,221,3,complication；definition；symptom,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第一节动脉粥样硬化,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4864,4889,258,4,definition；diagnostic_criteria；etiology；pathogenesis,clinical_manifestation；exam；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,章,4890,4942,258,9,clinical_manifestation；definition；differential_diagnosis；etiology；exam；prevention；prognosis；symptom；treatment,pathogenesis；diagnostic_criteria,needs_slot_backfill_or_manual_review
第二节冠状动脉粥样硬化性心脏病概述,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4943,4955,258,3,classification；definition；pathogenesis,etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第三节慢性冠状动脉综合征,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4956,4957,258,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、稳定型心绞痛,第三节慢性冠状动脉综合征,小节/疾病,4958,5088,258,10,clinical_manifestation；definition；differential_diagnosis；exam；pathogenesis；prevention；prognosis；sign；symptom；treatment,etiology；diagnostic_criteria,needs_slot_backfill_or_manual_review
二、缺血性心肌病,第三节慢性冠状动脉综合征,小节/疾病,5089,5110,258,5,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；prevention,etiology；pathogenesis；exam；treatment,needs_slot_backfill_or_manual_review
三、隐匿型冠心病,第三节慢性冠状动脉综合征,小节/疾病,5111,5119,258,5,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；exam,etiology；pathogenesis；treatment,needs_slot_backfill_or_manual_review
第四节急性冠脉综合征,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,5120,5126,258,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第五节冠状动脉疾病的其他表现形式,第四章动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,5399,5400,258,0,,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
一、冠状动脉痉挛,第五节冠状动脉疾病的其他表现形式,小节/疾病,5401,5406,258,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
二、心肌桥,第五节冠状动脉疾病的其他表现形式,小节/疾病,5407,5410,258,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
三、微血管疾病,第五节冠状动脉疾病的其他表现形式,小节/疾病,5411,5478,258,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第六章心肌疾病,第三篇循环系统疾病,章,5739,5745,306,1,definition,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,needs_slot_backfill_or_manual_review
第一节肥厚型心肌病,第六章心肌疾病,节,5746,5809,306,8,definition；differential_diagnosis；exam；pathogenesis；prevention；sign；symptom；treatment,etiology；clinical_manifestation；diagnostic_criteria,needs_slot_backfill_or_manual_review
第二节扩张型心肌病,第六章心肌疾病,节,5810,5874,306,8,definition；differential_diagnosis；etiology；exam；pathogenesis；sign；symptom；treatment,clinical_manifestation；diagnostic_criteria,needs_slot_backfill_or_manual_review
第三节非扩张型左心室心肌病,第六章心肌疾病,节,5875,5894,306,8,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；exam；pathogenesis；prevention；treatment,etiology,needs_slot_backfill_or_manual_review
第四节致心律失常性右心室心肌病,第六章心肌疾病,节,5895,5928,306,8,definition；diagnostic_criteria；differential_diagnosis；exam；pathogenesis；prevention；symptom；treatment,etiology；clinical_manifestation,needs_slot_backfill_or_manual_review
第五节限制型心肌病,第六章心肌疾病,节,5929,5959,306,10,classification；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；sign；symptom；treatment,clinical_manifestation,needs_slot_backfill_or_manual_review
第六节心肌炎,第六章心肌疾病,节,5960,6066,306,8,definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；symptom；treatment,clinical_manifestation,needs_slot_backfill_or_manual_review
十、冠状动脉瘘,第一节成人常见先天性心血管病,小节/疾病,6226,6246,319,7,clinical_manifestation；definition；differential_diagnosis；exam；pathogenesis；prognosis；treatment,etiology；diagnostic_criteria,needs_slot_backfill_or_manual_review
第二节肿瘤治疗相关的冠状动脉疾病,第十四章肿瘤心脏病学,节,7427,7436,375,4,clinical_manifestation；definition；pathogenesis；treatment,etiology；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
第三节肿瘤治疗相关的心律失常,第十四章肿瘤心脏病学,节,7437,7450,375,2,definition；treatment,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis,needs_slot_backfill_or_manual_review
第二节糖尿病与冠心病,第十五章其他心血管疾病,节,7541,7569,381,7,clinical_manifestation；definition；differential_diagnosis；pathogenesis；prevention；symptom；treatment,etiology；exam；diagnostic_criteria,needs_slot_backfill_or_manual_review
第三节糖尿病与心力衰竭,第十五章其他心血管疾病,节,7570,7685,381,5,clinical_manifestation；definition；differential_diagnosis；pathogenesis；treatment,etiology；exam；diagnostic_criteria,needs_slot_backfill_or_manual_review
