疾病/章节,父级,层级,docx_start_para,docx_end_para,pdf_start_page_approx,skeleton_slot,骨架槽位中文,是否覆盖,命中关键词,证据强度,是否可直接用于CDSS,备注
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,pathogenesis,发病机制/病理生理,是,【病理生理】；病理生理,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,symptom,症状,是,水肿,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,sign,体征,是,水肿；血压,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,exam,检查,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,lab_test,检验,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,differential_diagnosis,鉴别诊断,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,risk_stratification,危险分层/评分,是,危险因素,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,treatment_principle,治疗原则,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,treatment_plan,治疗方案,是,治疗,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,medication,药物,是,药物,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,procedure,手术/操作,是,手术,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,follow_up,随访,是,监测,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,prognosis,预后,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,complication,并发症,是,心力衰竭；心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节心力衰竭总论,第二章心力衰竭,节,3910,3965,207,prevention,预防/健康教育,是,运动,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,definition,定义/概述,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,classification,分类/分型,是,分级,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,etiology,病因,是,病因；危险因素,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,epidemiology,流行病学,是,【流行病学】；流行病学；发病率；患病率；死亡率,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,symptom,症状,是,症状；呼吸困难；心悸；乏力；水肿；咳嗽,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,sign,体征,是,体征；啰音；杂音；奔马律；颈静脉；水肿；肝大；血压,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,exam,检查,是,检查；心电图；超声心动图；X线；CT；造影,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,lab_test,检验,是,肌钙蛋白；BNP；NT-proBNP；血糖；血常规,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,differential_diagnosis,鉴别诊断,是,鉴别诊断；鉴别；相鉴别,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,risk_stratification,危险分层/评分,是,危险因素,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,treatment_principle,治疗原则,是,治疗目标,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,treatment_plan,治疗方案,是,【治疗】；治疗；药物治疗；血运重建；起搏,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,medication,药物,是,药物；β受体拮抗剂；利尿剂；ACEI；ARB；ARNI；抗凝,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,procedure,手术/操作,是,起搏器；ICD；CRT；除颤,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,follow_up,随访,是,随访；监测；复查,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,prognosis,预后,是,预后；病死率；死亡,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,complication,并发症,是,猝死；心力衰竭；休克；栓塞；心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节慢性心力衰竭,第二章心力衰竭,节,3966,4118,207,prevention,预防/健康教育,是,预防；生活方式；限盐；运动；饮食,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,definition,定义/概述,是,是指,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,classification,分类/分型,是,分型；分类；临床分型；分为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,etiology,病因,是,病因,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,symptom,症状,是,症状；呼吸困难；水肿；咳嗽,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,sign,体征,是,体征；啰音；奔马律；颈静脉；水肿；肝大；血压,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,exam,检查,是,检查,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,lab_test,检验,是,肌钙蛋白；BNP；NT-proBNP,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,differential_diagnosis,鉴别诊断,是,鉴别诊断；鉴别；相鉴别,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,risk_stratification,危险分层/评分,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,treatment_principle,治疗原则,是,治疗目标,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,treatment_plan,治疗方案,是,【治疗】；治疗；药物治疗；血运重建,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,medication,药物,是,药物；β受体拮抗剂；利尿剂；抗凝；硝酸酯,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,procedure,手术/操作,是,手术；电复律,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,follow_up,随访,是,随访；监测；长期管理,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,prognosis,预后,是,预后；死亡,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,complication,并发症,是,并发症；心力衰竭；休克；栓塞；出血；心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三节急性心力衰竭,第二章心力衰竭,节,4119,4228,207,prevention,预防/健康教育,是,预防；限盐；运动,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,definition,定义/概述,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,classification,分类/分型,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,etiology,病因,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,symptom,症状,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,sign,体征,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,exam,检查,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,lab_test,检验,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,differential_diagnosis,鉴别诊断,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,risk_stratification,危险分层/评分,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,treatment_principle,治疗原则,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,treatment_plan,治疗方案,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,medication,药物,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,procedure,手术/操作,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,follow_up,随访,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,prognosis,预后,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,complication,并发症,是,心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第三章心律失常,第三篇循环系统疾病,章,4229,4232,221,prevention,预防/健康教育,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,definition,定义/概述,是,概述；是指；简称；是由于,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,classification,分类/分型,是,分类；分为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,etiology,病因,是,病因,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,pathogenesis,发病机制/病理生理,是,发病机制,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,symptom,症状,是,症状；心悸；晕厥,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,sign,体征,是,体征；血压,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,exam,检查,是,检查；心电图；超声心动图；X线；CT；MRI；造影；负荷试验,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,lab_test,检验,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,differential_diagnosis,鉴别诊断,是,鉴别,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,risk_stratification,危险分层/评分,是,危险分层,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,treatment_principle,治疗原则,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,treatment_plan,治疗方案,是,治疗；药物治疗；消融；起搏,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,medication,药物,是,药物,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,procedure,手术/操作,是,手术；介入；消融；起搏器；除颤,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,follow_up,随访,是,随访；监测,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,prognosis,预后,是,预后；复发,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,complication,并发症,是,猝死；心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第一节概述,第三章心律失常,节,4233,4313,221,prevention,预防/健康教育,是,运动,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,definition,定义/概述,是,是由于,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,classification,分类/分型,是,分为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,etiology,病因,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,symptom,症状,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,sign,体征,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,exam,检查,是,心电图,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,lab_test,检验,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,diagnostic_criteria,诊断标准,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,differential_diagnosis,鉴别诊断,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,risk_stratification,危险分层/评分,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,treatment_principle,治疗原则,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,treatment_plan,治疗方案,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,medication,药物,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,procedure,手术/操作,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,follow_up,随访,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,prognosis,预后,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,complication,并发症,是,心律失常,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
第二节窦性心律失常,第三章心律失常,节,4314,4320,221,prevention,预防/健康教育,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,definition,定义/概述,是,是指,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,classification,分类/分型,是,分为,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,etiology,病因,是,病因,关键词初筛-待原文精抽,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,pathogenesis,发病机制/病理生理,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,epidemiology,流行病学,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,symptom,症状,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,sign,体征,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
一、窦性心动过速,第二节窦性心律失常,小节/疾病,4321,4326,221,exam,检查,否,,未覆盖/待补,否,本轮为教材骨架G1初筛矩阵，不等同于最终实体化完成
