domain,recommendation_code,recommendation_name,missing_part,reason,primary_evidence_code,primary_guideline_code,action_code
高血压,REC-HT-PA-DIAG-DXC-CARD-56EBD83589B6,原发性醛固酮增多症：原发性醛固酮增多症诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PA-FU-FU-CARD-4431A1FE6C73,原发性醛固酮增多症：原发性醛固酮增多症随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PA-TX-PLAN-CARD-0CDCF256C0E6,原发性醛固酮增多症：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PAROXYSMAL-DIAG-DXC-PAROXYSMAL,发作性高血压：发作性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PAROXYSMAL-FU-FU-CARD-9EF08F23CBE3,发作性高血压：发作性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PAROXYSMAL-TX-PLAN-PAROXYSMAL-CAUSE-BA,发作性高血压：发作性高血压诱因处理和病因导向治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PRIMARY-DIAG-DXC-CARD-317486966B34,原发性高血压：原发性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PRIMARY-FU-FU-CARD-D42E1520B05E,原发性高血压：原发性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PRIMARY-TX-PLAN-CARD-0CDCF256C0E6,原发性高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-PRIMARY-TX-PLAN-CARD-2081B78ED14D,原发性高血压：生活方式干预推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENAL-PARENCHYMAL-DIAG-DXC-RENAL-PARENCHYMAL,肾实质性高血压：肾实质性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENAL-PARENCHYMAL-FU-FU-CARD-5B0D8BB5818D,肾实质性高血压：肾实质性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENAL-PARENCHYMAL-TX-PLAN-CARD-BDE62A3BE028,肾实质性高血压：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENOVASCULAR-DIAG-DXC-RENOVASCULAR,肾血管性高血压：肾血管性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENOVASCULAR-FU-FU-CARD-B14257BE5587,肾血管性高血压：肾血管性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RENOVASCULAR-TX-PLAN-CARD-0CDCF256C0E6,肾血管性高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RESISTANT-DIAG-DXC-CARD-ACE197340A13,难治性高血压：难治性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RESISTANT-FU-FU-CARD-162ACB3C6AA9,难治性高血压：难治性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RESISTANT-TX-PLAN-CARD-0CDCF256C0E6,难治性高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-RESISTANT-TX-PLAN-CARD-2081B78ED14D,难治性高血压：生活方式干预推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-SECONDARY-DIAG-DXC-CARD-E024FB14B96D,继发性高血压：继发性高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-SECONDARY-FU-FU-CARD-4B8BCE62B705,继发性高血压：继发性高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-SECONDARY-TX-PLAN-CARD-0CDCF256C0E6,继发性高血压：联合降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-SECONDARY-TX-PLAN-CARD-BDE62A3BE028,继发性高血压：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-URGENCY-DIAG-DXC-URGENCY,高血压亚急症：高血压亚急症诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-URGENCY-FU-FU-CARD-FE4A3D41DF0A,高血压亚急症：高血压亚急症随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-URGENCY-TX-PLAN-CARD-BDE62A3BE028,高血压亚急症：降压治疗推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-WCH-DIAG-DXC-WCH,白大衣高血压：白大衣高血压诊断标准推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-WCH-FU-FU-CARD-4A5605647CA9,白大衣高血压：白大衣高血压随访方案推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
高血压,REC-HT-WCH-TX-PLAN-CARD-2081B78ED14D,白大衣高血压：生活方式干预推荐,supported_by_evidence,缺少 primary_evidence_code 或目标 Evidence 不存在/为空,,,
