大类,推荐编码,推荐名称,疾病编码,疾病名称,动作编码,动作名称,动作关系,主证据编码,主指南编码,主指南名称,推荐等级,证据等级,阻断原因
心律失常,REC-19EFD56BD1F71BD1,房颤抗凝治疗规则｜利伐沙班（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-38524B4E5194,利伐沙班,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-59BE03402037CFE1,房颤抗凝治疗规则｜达比加群酯（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-68E5765B76ED,达比加群酯,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-D2D781973B06A7AE,房颤抗凝治疗规则｜华法林（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-81B5F958C0F3,华法林,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-06672B182152B976,房颤抗凝治疗规则｜达比加群（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-C3B888F489B9,达比加群,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-F0606169CFA78157,房颤抗凝治疗规则｜阿哌沙班（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-FC4A5B5D6C12,阿哌沙班,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-2D0C8BD190242AD2,房颤抗凝治疗规则｜抗凝药物（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-CARD-TEXT-EE219280A7,抗凝药物,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-59B287969535CC42,房颤抗凝治疗规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-1F0F59A9B1E764A4,房颤急性复律/心率控制规则｜胺碘酮（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-AMIODARONE,胺碘酮,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-7437BD316125078C,房颤急性复律/心率控制规则｜β受体阻滞剂（药物）推荐,DIS-CARD-ARR-AF,心房颤动,MED-BETA-BLOCKER,β受体阻滞剂,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-66EED9892A98D449,房颤急性复律/心率控制规则｜同步电复律（治疗方案）推荐,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-108E680ADD4F,同步电复律,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-BCBA175C5200A414,房颤急性复律/心率控制规则｜复律治疗（治疗方案）推荐,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-TEXT-7CC38FBA6F,复律治疗,recommends_action,EVD-8A9E9D41F2BC962BEB8B-AF,SRC-DOC-4BF1E6843E30FAE5,中国心房颤动管理指南（2025）.pdf,未结构化,未结构化,
心律失常,REC-B745392F663784E3,房颤节律控制与导管消融规则｜节律控制（治疗方案）推荐,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-40AB27F53C05,节律控制,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-142D35EEB9FF17B3,房颤节律控制与导管消融规则｜导管消融（治疗方案）推荐,DIS-CARD-ARR-AF,心房颤动,PLAN-CARD-5C9E41087192,导管消融,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-4B0CDD61249087E3,房颤节律控制与导管消融规则｜房颤导管消融（操作/手术）推荐,DIS-CARD-ARR-AF,心房颤动,PROC-CARD-A89DB5C678D2,房颤导管消融,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-9EDEC8498F9DF980,房颤随访规则｜心房颤动随访方案（随访）推荐,DIS-CARD-ARR-AF,心房颤动,FU-CARD-CE0CF6305FAF,心房颤动随访方案,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-0FCD2D2818CA7033,房颤随访规则｜CHA2DS2-VASc评分（风险分层）推荐,DIS-CARD-ARR-AF,心房颤动,RISK-CARD-BD6FBD0D2712,CHA2DS2-VASc评分,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-4879BC5487C0237C,房颤随访规则｜HAS-BLED评分（风险分层）推荐,DIS-CARD-ARR-AF,心房颤动,RISK-CARD-E21D88A4688D,HAS-BLED评分,recommends_action,EVD-72EB22EEF00323FB3AD9-AF,SRC-DOC-EE90C4C9A4C51DF7,心房颤动诊断和治疗中国指南 2023.pdf,未结构化,未结构化,
心律失常,REC-7BD8C43059E3430E,室上速/房扑血流动力学稳定性规则｜同步电复律（治疗方案）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PLAN-CARD-108E680ADD4F,同步电复律,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-FD9078ADC57C62AD,室上速/房扑血流动力学稳定性规则｜同步直流电复律（操作/手术）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PROC-CARD-7FD747D740F0,同步直流电复律,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-09D8E5D4AD1DFC74,室上速/房扑心电机制分型规则｜心房扑动诊断标准（诊断标准）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,DXC-CARD-04B9595EC8CA,心房扑动诊断标准,recommends_action,EVD-C9950FFDF14F096EA0B8-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-9E948779BEF27A42,室上速/房扑心电机制分型规则｜室上性心动过速诊断标准（诊断标准）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,DXC-CARD-FD25F5A6CB2C,室上性心动过速诊断标准,recommends_action,EVD-C9950FFDF14F096EA0B8-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-5313C02E33DB1945,室上速/房扑心电机制分型规则｜心电图（检查）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,EXAM-ECG,心电图,recommends_action,EVD-C9950FFDF14F096EA0B8-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-1D9D5DD75D6E3744,室上速/房扑心电机制分型规则｜动态心电图（检查）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,EXAM-HOLTER,动态心电图,recommends_action,EVD-C9950FFDF14F096EA0B8-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-0F8ACA9DB3CC3645,稳定窄QRS SVT急性终止规则｜腺苷（药物）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,MED-CARD-33087B86B32A,腺苷,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-728257F09E138A93,稳定窄QRS SVT急性终止规则｜迷走神经刺激（治疗方案）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PLAN-CARD-741F70867FDD,迷走神经刺激,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-BD20333EE9B7C78F,稳定窄QRS SVT急性终止规则｜Valsalva动作（操作/手术）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PROC-CARD-7FE0AC763703,Valsalva动作,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-34FC7853D08FE26F,稳定窄QRS SVT急性终止规则｜颈动脉窦按摩（操作/手术）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PROC-CARD-B13C58DD2614,颈动脉窦按摩,recommends_action,EVD-8E8277EACCB8AF52483A-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-96EB922EE2F6ECA5,复发性SVT消融评估规则｜导管消融（治疗方案）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PLAN-CARD-5C9E41087192,导管消融,recommends_action,EVD-01226DDDBF2566E8F84E-SVT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-2896C7CB028F9764,复发性SVT消融评估规则｜射频导管消融（操作/手术）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PROC-CARD-4777F9B8D8F3,射频导管消融,recommends_action,EVD-01226DDDBF2566E8F84E-SVT,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,未结构化,未结构化,
心律失常,REC-312145D109A8F691,房扑抗凝复律规则｜抗凝药物（药物）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,MED-CARD-TEXT-EE219280A7,抗凝药物,recommends_action,EVD-E481A267ED3BA48B080C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-D17B0744432A3C61,房扑抗凝复律规则｜心房扑动治疗方案（治疗方案）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PLAN-CARD-85C337BCB2D5,心房扑动治疗方案,recommends_action,EVD-E481A267ED3BA48B080C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-89A1F98D35550192,房扑抗凝复律规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-E481A267ED3BA48B080C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-B29356115B6A6389,室上速/房扑随访规则｜室上性心动过速随访方案（随访）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,FU-CARD-00103E0E5112,室上性心动过速随访方案,recommends_action,EVD-E481A267ED3BA48B080C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
心律失常,REC-DBEC9E3EAC0EAF56,室上速/房扑随访规则｜心房扑动随访方案（随访）推荐,DIS-CARD-ARR-SVT,室上性心动过速及心房扑动,FU-CARD-39BD08E82048,心房扑动随访方案,recommends_action,EVD-E481A267ED3BA48B080C-SVT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,未结构化,未结构化,
冠心病,REC-73F794FD0A746355,冠状动脉血栓或责任病变｜冠状动脉造影（检查）推荐,DIS-CARD-CAD-AMI,ST段抬高型心肌梗死,EXAM-CAG,冠状动脉造影,recommends_action,EVD-4E5A6C127482DC443670-STEMI,SRC-DOC-174B3BDD2451501A,4TH universal definition of MI.pdf,未结构化,未结构化,
冠心病,REC-CB7A690AA83E529E,冠状动脉血栓或责任病变｜冠状动脉CT血管成像（检查）推荐,DIS-CARD-CAD-AMI,ST段抬高型心肌梗死,EXAM-CARD-F60922D428D5,冠状动脉CT血管成像,recommends_action,EVD-4E5A6C127482DC443670-STEMI,SRC-DOC-174B3BDD2451501A,4TH universal definition of MI.pdf,未结构化,未结构化,
冠心病,REC-7025595F385004F3,缺血性心电图改变｜心电图（检查）推荐,DIS-CARD-CAD-AMI,ST段抬高型心肌梗死,EXAM-ECG,心电图,recommends_action,EVD-113BF85876DF5EF032F0-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-35AFFC16987E38D3,影像学新发室壁运动异常｜超声心动图（检查）推荐,DIS-CARD-CAD-AMI,ST段抬高型心肌梗死,EXAM-TTE,超声心动图,recommends_action,EVD-4E5A6C127482DC443670-STEMI,SRC-DOC-174B3BDD2451501A,4TH universal definition of MI.pdf,未结构化,未结构化,
冠心病,REC-775B4D172719135D,肌钙蛋白升高及动态变化｜心肌肌钙蛋白（检验）推荐,DIS-CARD-CAD-AMI,ST段抬高型心肌梗死,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,recommends_action,EVD-5C8AE27C34EB5FAA3124-AMI,SRC-DOC-174B3BDD2451501A,4TH universal definition of MI.pdf,未结构化,未结构化,
冠心病,REC-7AFE5F9672849D6F,STEMI疑诊心电图与肌钙蛋白评估规则｜心电图（检查）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EXAM-ECG,心电图,recommends_action,EVD-113BF85876DF5EF032F0-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-B7FE465A6C4671CF,STEMI疑诊心电图与肌钙蛋白评估规则｜肌酸激酶同工酶（检验）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LAB-CARD-960C7CE8E22B,肌酸激酶同工酶,recommends_action,EVD-113BF85876DF5EF032F0-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-CECAF7E945B18B0B,STEMI疑诊心电图与肌钙蛋白评估规则｜心肌肌钙蛋白（检验）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,recommends_action,EVD-113BF85876DF5EF032F0-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-B7C862C18DA692B5,STEMI诊断确认规则｜ST段抬高型心肌梗死诊断标准（诊断标准）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,DXC-CARD-36BC5337C93C,ST段抬高型心肌梗死诊断标准,recommends_action,EVD-B006F53884892B4245ED-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-B2246A1F11635602,STEMI诊断确认规则｜急性心肌梗死诊断标准（诊断标准）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,DXC-CARD-547346EE2FED,急性心肌梗死诊断标准,recommends_action,EVD-B006F53884892B4245ED-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-B548FF7AAB85E2FB,STEMI诊断确认规则｜心电图（检查）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EXAM-ECG,心电图,recommends_action,EVD-B006F53884892B4245ED-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-4E58B5A027DD1859,STEMI诊断确认规则｜超声心动图（检查）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EXAM-TTE,超声心动图,recommends_action,EVD-B006F53884892B4245ED-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-E93F9908FD3EA058,STEMI诊断确认规则｜心肌肌钙蛋白（检验）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,LAB-CARD-A9EC1D4DA037,心肌肌钙蛋白,recommends_action,EVD-B006F53884892B4245ED-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-21F28579B6832C61,STEMI再灌注策略选择规则｜冠状动脉造影（检查）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EXAM-CAG,冠状动脉造影,recommends_action,EVD-9E8CE48E36F457A68185-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-D2F4322AB9136FA8,STEMI再灌注策略选择规则｜再灌注治疗（治疗方案）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PLAN-CARD-3972CBC8228B,再灌注治疗,recommends_action,EVD-9E8CE48E36F457A68185-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-72CE3AFC19E6F55D,STEMI再灌注策略选择规则｜溶栓治疗（治疗方案）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,recommends_action,EVD-9E8CE48E36F457A68185-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-06A4C4DDBAEDAA6A,STEMI再灌注策略选择规则｜溶栓治疗（操作/手术）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PROC-CARD-DA0F467D4A30,溶栓治疗,recommends_action,EVD-9E8CE48E36F457A68185-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-33FC7A359E1DA0BB,STEMI溶栓禁忌阻断规则｜溶栓治疗（治疗方案）阻断,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PLAN-CARD-FULLBOOK-B87D3F557B,溶栓治疗,recommends_action,EVD-B9B303B0E1B921BC095F-STEMI,SRC-DOC-866065446A7A5F65,2018 STEMI院前溶栓治疗中国专家共识.pdf,未结构化,未结构化,
冠心病,REC-13AB94BB541808B3,STEMI溶栓禁忌阻断规则｜溶栓治疗（操作/手术）阻断,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PROC-CARD-DA0F467D4A30,溶栓治疗,recommends_action,EVD-B9B303B0E1B921BC095F-STEMI,SRC-DOC-866065446A7A5F65,2018 STEMI院前溶栓治疗中国专家共识.pdf,未结构化,未结构化,
冠心病,REC-3A1C60225ED42F22,STEMI抗血小板与抗凝治疗规则｜低分子量肝素（药物）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-CARD-2CCCA76B39F5,低分子量肝素,recommends_action,EVD-DBAD6C36E6EB12587EA1-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-0C4298F05F8B721B,STEMI抗血小板与抗凝治疗规则｜阿司匹林（药物）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-CARD-9F606AC80BFD,阿司匹林,recommends_action,EVD-DBAD6C36E6EB12587EA1-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-3565AC8D78FB12CB,STEMI抗血小板与抗凝治疗规则｜普通肝素（药物）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-CARD-A49408D27901,普通肝素,recommends_action,EVD-DBAD6C36E6EB12587EA1-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-89A78DF92D89D62C,STEMI抗血小板与抗凝治疗规则｜抗血小板治疗（治疗方案）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PLAN-CARD-42FD049DCDB5,抗血小板治疗,recommends_action,EVD-DBAD6C36E6EB12587EA1-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-2D3B6B1813298A97,STEMI抗血小板与抗凝治疗规则｜抗凝治疗（治疗方案）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,PLAN-CARD-A1C4E6332D38,抗凝治疗,recommends_action,EVD-DBAD6C36E6EB12587EA1-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-F562BBBF4440B83B,STEMI二级预防与随访规则｜急性心肌梗死随访方案（随访）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,FU-CARD-ED1B0E900769,急性心肌梗死随访方案,recommends_action,EVD-CD376C831C68934A39DA-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-94F5D2BD891A1C5D,持续ST段抬高或等效表现｜心电图（检查）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,EXAM-ECG,心电图,recommends_action,EVD-1C7BEBF33C4B07C4693D-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
冠心病,REC-84244900D44544BD,STEMI二级预防与随访规则｜β受体阻滞剂（药物）推荐,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,MED-BETA-BLOCKER,β受体阻滞剂,recommends_action,EVD-CD376C831C68934A39DA-STEMI,SRC-DOC-608DDED17DA46BC7,STEMI ESC 2017.pdf,未结构化,未结构化,
心力衰竭,REC-4D99AA7991249384,心衰疑诊利钠肽与超声评估规则｜利钠肽（检查）推荐,DIS-CARD-HF,心力衰竭,EXAM-CARD-01C3182D129E,利钠肽,recommends_action,EVD-C3D617211B596CF0E5CE-HF,SRC-DOC-7476B9BFB2D92F3A,射血分数保留的心力衰竭诊断与治疗中国专家共识 2025.pdf,未结构化,未结构化,
心力衰竭,REC-713CAA3F200C250E,心衰疑诊利钠肽与超声评估规则｜心电图（检查）推荐,DIS-CARD-HF,心力衰竭,EXAM-ECG,心电图,recommends_action,EVD-C3D617211B596CF0E5CE-HF,SRC-DOC-7476B9BFB2D92F3A,射血分数保留的心力衰竭诊断与治疗中国专家共识 2025.pdf,未结构化,未结构化,
