序号,脚本名称,当前路径,文件大小KB,最后修改时间,主要用途,输入文件/目录,输出文件/目录,是否连接Neo4j,是否写数据库,是否修改本地文件,适用范围,复用等级,风险等级,建议处理,建议归属模块,备注
11,build_cardiomyopathy_evidence.py,scripts\build_cardiomyopathy_evidence.py,14.3,2026-06-24 22:47:21,构建心肌病批次证据/图谱实例,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心肌病/心肌病相关批次,B类,中风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,graph_build/图谱构建,会生成或改写本地文件
12,build_clinical_effect_review_pack.py,scripts\build_clinical_effect_review_pack.py,12.2,2026-06-29 08:45:52,生成临床使用效果审核包,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,reporting/审核包,会生成或改写本地文件；公共临床使用效果审核包生成
13,build_clinical_review_frontend_package.py,scripts\build_clinical_review_frontend_package.py,9.2,2026-06-29 14:32:40,生成前端临床审核页面所需数据包,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,reporting/审核包,会生成或改写本地文件；公共前端审核数据包生成
14,build_clinical_review_pack.py,scripts\build_clinical_review_pack.py,6.1,2026-06-28 23:39:16,生成临床审核 CSV 包,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,reporting/审核包,会生成或改写本地文件；公共临床审核 CSV 包生成
15,build_coronary_evidence.py,scripts\build_coronary_evidence.py,18.3,2026-06-24 22:47:21,构建冠心病批次证据/图谱实例,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,冠心病/AMI/CAD 批次,B类,中风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,graph_build/图谱构建,会生成或改写本地文件
16,build_dynamic_cdss_backfill.py,scripts\build_dynamic_cdss_backfill.py,47.5,2026-07-07 15:10:16,生成动态 CDSS 路径回填节点/关系,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,graph_build/图谱构建,会生成或改写本地文件
17,build_external_authority_curated_candidates.py,scripts\build_external_authority_curated_candidates.py,13.2,2026-07-08 21:54:50,生成外部权威定义候选或 delta,CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
18,build_external_authority_definition_delta.py,scripts\build_external_authority_definition_delta.py,3.3,2026-07-08 21:58:05,生成外部权威定义候选或 delta,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
19,build_external_authority_definition_delta_yes_conditional.py,scripts\build_external_authority_definition_delta_yes_conditional.py,3.1,2026-07-08 22:00:08,生成外部权威定义候选或 delta,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
20,build_external_authority_dialysis_hf_delta.py,scripts\build_external_authority_dialysis_hf_delta.py,3.1,2026-07-08 22:02:39,生成外部权威定义候选或 delta,nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
21,build_graph_instance.py,scripts\build_graph_instance.py,35.6,2026-06-30 10:29:46,根据解析结果构建本地图谱实例,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,graph_build/图谱构建,会生成或改写本地文件
22,build_report_statistics.py,scripts\build_report_statistics.py,30.3,2026-07-03 23:16:13,生成图谱统计报告,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,reporting/报告与审核包,会生成或改写本地文件
23,build_terminology_alias_ledger.py,scripts\build_terminology_alias_ledger.py,7.0,2026-07-05 21:51:11,生成术语别名台账,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,terminology/术语标准化,会生成或改写本地文件
24,build_textbook_definition_curated_delta.py,scripts\build_textbook_definition_curated_delta.py,20.3,2026-07-08 20:32:43,生成教材 definition 修复 delta/候选,教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,skeleton/骨架库,会生成或改写本地文件
25,build_textbook_definition_delta.py,scripts\build_textbook_definition_delta.py,10.0,2026-07-08 09:04:20,生成教材 definition 修复 delta/候选,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,skeleton/骨架库,会生成或改写本地文件
26,build_textbook_definition_incremental_delta.py,scripts\build_textbook_definition_incremental_delta.py,4.1,2026-07-08 09:17:56,生成教材 definition 修复 delta/候选,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,是,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,skeleton/骨架库,含 Neo4j 连接/查询能力；会生成或改写本地文件
27,build_textbook_skeleton_anchor_matrix.py,scripts\build_textbook_skeleton_anchor_matrix.py,26.7,2026-07-08 09:16:21,生成教材骨架锚点矩阵,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,skeleton/骨架库,会生成或改写本地文件
28,build_va_scd_required_backfill_spec.py,scripts\build_va_scd_required_backfill_spec.py,16.7,2026-07-05 00:08:05,生成室性心律失常/猝死 required 回填 spec,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,室性心律失常/心脏性猝死批次,B类,高风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,delta/候选与delta生成,会生成或改写本地文件
29,build_ventricular_arrhythmia_evidence.py,scripts\build_ventricular_arrhythmia_evidence.py,21.5,2026-07-04 23:33:46,构建室性心律失常/心脏性猝死证据/图谱实例,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,室性心律失常/心脏性猝死批次,B类,中风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,graph_build/图谱构建,会生成或改写本地文件
30,classify_evidence_backfill_candidates.py,scripts\classify_evidence_backfill_candidates.py,7.6,2026-06-27 22:32:42,分类证据回填候选,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
31,dedupe_global_entities_across_batches.py,scripts\dedupe_global_entities_across_batches.py,6.5,2026-06-26 14:59:24,跨批次实体去重候选/处理,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件,否,否,是,服务器图谱/导入治理,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件；跨批次去重候选/处理脚本，后续不直接复用
32,dedupe_neo4j_semantic_relationships.py,scripts\dedupe_neo4j_semantic_relationships.py,2.3,2026-06-28 08:49:52,Neo4j 服务器去重脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入,Neo4j 节点/关系变更,是,是,否,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,legacy_repair/历史修复脚本,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑
33,dedupe_neo4j_type_name_nodes.py,scripts\dedupe_neo4j_type_name_nodes.py,9.4,2026-07-01 10:16:11,Neo4j 服务器去重脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入,本地 CSV/JSON/JSONL/报告文件；Neo4j 节点/关系变更,是,是,是,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,legacy_repair/历史修复脚本,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑；会生成或改写本地文件
34,deep_extract_cardiology_textbook.py,scripts\deep_extract_cardiology_textbook.py,33.0,2026-06-26 13:59:12,深度抽取心内科教材骨架内容,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,B类,中风险,保留为历史批次脚本；仅抽取可复用逻辑，不直接迁移整体脚本,skeleton/骨架库,会生成或改写本地文件；心血管内科教材深抽取专用；可抽公共教材抽取逻辑
35,delete_neo4j_generic_plan_component_relations.py,scripts\delete_neo4j_generic_plan_component_relations.py,1.5,2026-06-28 08:49:41,Neo4j 删除脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入,Neo4j 节点/关系变更,是,是,否,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,legacy_repair/历史修复脚本,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑
36,delete_neo4j_nodes_by_code.py,scripts\delete_neo4j_nodes_by_code.py,1.3,2026-06-28 08:49:31,Neo4j 删除脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入,Neo4j 节点/关系变更,是,是,否,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,legacy_repair/历史修复脚本,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑
37,enrich_cardiology_foundation_from_batches.py,scripts\enrich_cardiology_foundation_from_batches.py,8.4,2026-07-05 22:01:22,增强骨架或批次图谱内容,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件；历史骨架增强脚本，避免直接用于新批次
38,enrich_foundation_full_textbook_backfill.py,scripts\enrich_foundation_full_textbook_backfill.py,40.1,2026-06-26 13:58:48,增强骨架或批次图谱内容,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,skeleton/骨架库,会生成或改写本地文件
39,extract_external_authority_candidates.py,scripts\extract_external_authority_candidates.py,13.5,2026-07-08 21:41:48,抽取外部权威定义/别名候选,CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,delta/候选与delta生成,会生成或改写本地文件
40,extract_guideline_evidence.py,scripts\extract_guideline_evidence.py,11.1,2026-07-04 23:27:24,从指南文本抽取证据片段,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,legacy_misc/待归类,会生成或改写本地文件
41,finalize_coronary_batch.py,scripts\finalize_coronary_batch.py,11.1,2026-06-25 10:04:12,冠心病批次最终化处理,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,冠心病/AMI/CAD 批次,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_misc/待归类,会生成或改写本地文件
42,global_safety_check.py,scripts\global_safety_check.py,8.2,2026-06-30 22:00:56,全局安全检查,命令行参数指定的批次目录/JSONL/CSV/源文件；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,是,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/质量审计与只读查询,含 Neo4j 连接/查询能力；会生成或改写本地文件
43,import_neo4j_delta.py,scripts\import_neo4j_delta.py,10.4,2026-06-28 18:43:38,Neo4j 导入脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件；Neo4j 节点/关系变更,是,是,是,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,delta/候选与delta生成,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑；会生成或改写本地文件
44,import_neo4j_test_db.py,scripts\import_neo4j_test_db.py,12.1,2026-06-30 22:21:35,Neo4j 导入脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 连接参数和导入/修复输入；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件；Neo4j 节点/关系变更,是,是,是,服务器图谱/导入治理,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,import_gate/导入与写库闸门,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；含删除逻辑；会生成或改写本地文件
45,import_textbook_definition_delta.py,scripts\import_textbook_definition_delta.py,7.7,2026-07-08 09:17:56,Neo4j 导入脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件,是,是,是,心血管内科教材骨架库,D类,极高风险,列入禁止直接执行清单；需单独审批、dry-run、备份和服务器回执,skeleton/骨架库,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；会生成或改写本地文件
46,merge_foundation_into_sample_batch.py,scripts\merge_foundation_into_sample_batch.py,9.4,2026-06-25 15:11:01,合并骨架库到样板批次,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,心血管内科教材骨架库,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件；历史样板合并脚本，禁止作为默认流程
47,migrate_recommendation_statements.py,scripts\migrate_recommendation_statements.py,24.7,2026-07-07 21:54:53,历史静态结构迁移到动态 CDSS 模型,命令行参数指定的批次目录/JSONL/CSV/源文件；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,是,是,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,graph_build/动态CDSS迁移,含 Neo4j 连接/查询能力；含 Neo4j 写入/删除/更新语句；会生成或改写本地文件；历史推荐声明迁移脚本；可抽模型转换思想，不直接执行
48,migrate_static_cdss_gaps.py,scripts\migrate_static_cdss_gaps.py,17.6,2026-07-07 15:44:16,历史静态结构迁移到动态 CDSS 模型,nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,高风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,graph_build/图谱构建,会生成或改写本地文件
49,normalize_relation_evidence_fields.py,scripts\normalize_relation_evidence_fields.py,7.4,2026-07-05 21:58:23,规范化关系证据字段,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件
50,ocr_pdf_pages.py,scripts\ocr_pdf_pages.py,8.9,2026-06-30 09:04:39,PDF 页面 OCR,命令行参数指定的批次目录/JSONL/CSV/源文件；PDF 文件/批次资料目录；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,parsing/文档解析,会生成或改写本地文件
51,parse_docx_batch.py,scripts\parse_docx_batch.py,7.1,2026-06-22 17:37:51,批量解析 DOCX,命令行参数指定的批次目录/JSONL/CSV/源文件；教材 DOCX/TXT/教材抽取文本；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,parsing/文档解析,会生成或改写本地文件
52,parse_pdf_batch.py,scripts\parse_pdf_batch.py,12.6,2026-06-22 17:30:15,批量解析 PDF,命令行参数指定的批次目录/JSONL/CSV/源文件；PDF 文件/批次资料目录；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,parsing/文档解析,会生成或改写本地文件
53,preflight_new_disease_batch.py,scripts\preflight_new_disease_batch.py,4.6,2026-06-28 18:46:56,用途需人工确认；按脚本内容判断为辅助处理脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,config/批次启动与配置,会生成或改写本地文件
54,prepare_medical_kg_batch.py,scripts\prepare_medical_kg_batch.py,19.8,2026-07-05 22:04:11,用途需人工确认；按脚本内容判断为辅助处理脚本,命令行参数指定的批次目录/JSONL/CSV/源文件；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,config/批次启动与配置,会生成或改写本地文件
55,probe_required_gap_evidence.py,scripts\probe_required_gap_evidence.py,15.3,2026-06-28 23:38:00,探测 required 缺口可用证据,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,通用或需按参数限定,A类,中风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/缺口探测,会生成或改写本地文件；公共 required 缺口证据探测工具
56,query_neo4j_disease_medication_view.py,scripts\query_neo4j_disease_medication_view.py,2.5,2026-06-28 08:50:06,Neo4j 只读查询,命令行参数指定的批次目录/JSONL/CSV/源文件；Neo4j 服务器只读查询参数,控制台输出或只读结果,是,否,否,服务器图谱/导入治理,A类,低风险,第一批候选迁移；先抽公共函数，保留旧脚本不动,audit/只读查询,含 Neo4j 连接/查询能力；Neo4j 只读查询，可纳入 verify/query 子模块
57,repair_brady_avb_batch_quality.py,scripts\repair_brady_avb_batch_quality.py,13.3,2026-07-05 22:17:36,历史批次或图谱质量修复,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,缓慢性心律失常/房室传导阻滞批次,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件
58,repair_brady_avb_final_quality.py,scripts\repair_brady_avb_final_quality.py,7.3,2026-07-07 22:22:03,历史批次或图谱质量修复,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,缓慢性心律失常/房室传导阻滞批次,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件
59,repair_brady_avb_remaining_quality.py,scripts\repair_brady_avb_remaining_quality.py,9.6,2026-07-07 22:15:06,历史批次或图谱质量修复,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,缓慢性心律失常/房室传导阻滞批次,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件
60,repair_brady_avb_target_match.py,scripts\repair_brady_avb_target_match.py,7.9,2026-07-07 22:19:52,历史批次或图谱质量修复,命令行参数指定的批次目录/JSONL/CSV/源文件；nodes/relations/evidence JSONL；CSV 台账/审核/候选文件,本地 CSV/JSON/JSONL/报告文件,否,否,是,缓慢性心律失常/房室传导阻滞批次,C类,中风险,归档为一次性修复经验；禁止作为新病种默认流程直接运行,legacy_repair/历史修复脚本,会生成或改写本地文件
