原章节编号,原章节标题,规则摘要,规则等级,新位置,是否保留在主SKILL,是否迁入附录,是否已写入Schema,是否已有脚本或测试,是否可废弃,验证方式,备注
13,证据锚定,Evidence必须保留原文、来源、页码/章节/段落，推荐证据必须直连RecommendationStatement,P0,技能文档_skill_docs/07_证据链与CDSS推荐规则.md,是,是,是,是,否,检查Evidence字段和derived_from,
14,路径闭环,专病路径必须有阶段、规则、动作/阻断、证据、指南,P0,技能文档_skill_docs/01_核心执行流程_G0-G4.md,是,是,是,是,否,检查CDSS决策链,
15,实体质量闸门,空壳节点、重复实体、重复语义关系、技术显示名、非KGNode必须阻断,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,是,是,否,检查G1/G4审计,
15.1,临床表现实体化,症状、体征、检查、检验、治疗等不能只做Evidence，必须实体化覆盖,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,是,是,否,检查实体类型覆盖率,
15.5,闭环required,每个scope疾病required缺口必须回查教材/指南/外部权威，不得直接判SOURCE_DOES_NOT_COVER,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,否,是,否,检查required_gap_register,
16,批次交付,每批必须输出batch_config、source manifest、nodes、relations、audit、postcheck、handoff,P0,技能文档_skill_docs/10_交付物与交接规则.md,是,是,否,是,否,检查交付清单,
16.1,来源清单,每个批次必须输出正式纳入文献来源清单，记录具体使用了哪些指南/教材,P0,技能文档_skill_docs/10_交付物与交接规则.md,是,是,否,是,否,检查source_documents_manifest,
16.2,导入交接包,生成图谱后必须主动提供可导入文件和审计/服务器复核文件,P0,技能文档_skill_docs/10_交付物与交接规则.md,是,是,否,是,否,检查handoff_summary,
16.3,版本管理,SKILL、Schema、脚本、测试、manifest、审计摘要必须纳入Git/GitHub,P0,AI自动化工具-文献指南解析.md#版本管理,是,是,否,否,否,检查Git状态,
17,总控合并,图谱合并必须以批次scope和审核状态为边界，不得直接合并候选,P0,技能文档_skill_docs/05_质量硬闸门.md,是,是,否,是,否,检查合并规则,
18,Neo4j候选阶段,G2未通过不得写Neo4j；D类/极高风险脚本不得默认执行,P0,技能文档_skill_docs/08_Neo4j导入与回滚规则.md,是,是,否,是,否,检查G2和脚本风险,
18.1,测试库同步,写测试库必须先备份/计划/dry-run/postcheck，禁止无审计直接修库,P0,技能文档_skill_docs/08_Neo4j导入与回滚规则.md,是,是,否,是,否,检查导入摘要,
19,执行后检查,每轮结束必须输出已完成、未完成、文件路径、是否写库、下一步唯一建议,P0,技能文档_skill_docs/10_交付物与交接规则.md,是,是,否,否,否,检查最终回复模板,
CDSS,推荐根实体,正式CDSS推荐必须以RecommendationStatement为根，不得从疾病/治疗方案/药物反推推荐依据,P0,技能文档_skill_docs/07_证据链与CDSS推荐规则.md,是,是,是,是,否,检查推荐链路,
脚本台账,危险脚本,D类、极高风险、delete、dedupe、repair、import脚本必须单独审批和G2，不得默认执行,P0,技能文档_skill_docs/09_危险脚本禁止清单.md,是,是,否,否,否,检查脚本资产台账,
日志治理,错误指纹,踩坑日志与SKILL不重复；错误指纹库做快速检索，SKILL只保留硬规则,P0,AI自动化工具-文献指南解析.md#日志与错误指纹,是,是,否,否,否,检查错误指纹索引,
项目管理,软件化入口,项目管理中心是未来软件化管理数据源，换电脑优先复制项目管理中心,P0,项目管理中心_project_management/00_项目总入口_项目地图.md,是,否,否,否,否,检查项目管理中心,
目录命名,中文+英文,新增目录不得纯英文，必须中文说明_英文技术名,P0,AI自动化工具-文献指南解析.md#文件命名,是,是,否,否,否,检查目录清单,
大数据目录,心血管内科文献集合,心血管内科文献集合本轮只登记，不移动、不重命名、不拆分、不归档,P0,项目管理中心_project_management/03_目录用途清单_directory_index.csv,是,否,否,否,否,检查目录用途清单,
