问题类别,疾病编码,疾病名称,对象类型,对象名称,问题说明,处理建议
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,Procedure,室间隔切除术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,Procedure,植入式心律转复除颤器置入术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-HCM,肥厚型心肌病,Procedure,酒精室间隔消融术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ARVC,致心律失常性右心室心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ALVC,致心律失常性左心室心肌病,Medication,胺碘酮,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ACM,致心律失常性心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ACM,致心律失常性心肌病,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ACM,致心律失常性心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-ACM,致心律失常性心肌病,Procedure,植入式心律转复除颤器置入术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-RCM,限制型心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-RCM,限制型心肌病,ExamItem,超声心动图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,ExamItem,心电图,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,LabItem,心肌损伤标志物,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,ExamItem,基因检测,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,ExamItem,心脏磁共振,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：knowledge_only,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
正式推荐动作标准字典未闭环,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,Procedure,植入式心律转复除颤器置入术,正式推荐动作缺 cdss_dict_id 或标准编码；当前字典状态：,优先匹配CDSS标准字典；缺失时进入待注册清单，不能伪造字典ID。
