batch_id,学科,疾病大类,状态,是否写Neo4j,CSV输出路径,MD是否登记,输出路径是否存在,备注
BATCH-CARD-RS-GAP-20260714-002,心血管内科,全库/CDSS决策层,已导入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-RS-GAP-20260714-002_推荐候选核心链路补齐_recommendation_statement_gap_refine,是,是,节点更新1关系88；原始推荐缺口53→2；合理口径51→0；正式CDSS推荐缺口0
BATCH-CARD-DXC-AVB-COMP-20260714-001,心血管内科,全库/诊断标准明细,已导入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-DXC-AVB-COMP-20260714-001_传导阻滞诊断标准明细补齐_AVB_SAB_diagnosis_component_refine,是,是,节点9关系24；DiagnosisCriteria无明细6→0；正式CDSS推荐缺核心链路0；全量候选RecommendationStatement缺口53保留后续治理
BATCH-CARD-RS-CORELINK-20260714-001,心血管内科,全库/CDSS决策层,已导入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-RS-CORELINK-20260714-001_推荐陈述核心链路补齐_recommendation_corelink_refine,是,是,关系293；RecommendationStatement缺核心链路344→53；剩余53条进入blocker
BATCH-CARD-DXC-COMP-20260714-001,心血管内科,全库/诊断标准明细,已导入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-DXC-COMP-20260714-001_诊断标准明细组件补齐_diagnosis_component_refine,是,是,节点18关系36；DiagnosisCriteria无明细24→6；剩余6条进入blocker
BATCH-CARD-HT-LABIND-20260713-001,心血管内科,跨疾病大类/检验指标补链,已导入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-HT-LABIND-20260713-001_高血压检验指标补链_hypertension_lab_indicator_refine,是,是,节点9、关系28；高血压required LabTest缺口51→0；全库required LabTest缺口56→2；剩余D-二聚体2条阻断
BATCH-CARD-VHD-20260713-001,心血管内科,瓣膜病,已完成G0预检未写Neo4j,否,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-VHD-20260713-001_瓣膜病_ValvularHeartDisease_G0预检,是,是,候选资料21份；教材1份；指南/文献20份；P0固定教材1份；P1优先资料18份；P2候选资料2份
BATCH-CARD-LAB-CLEANUP-20260713-001,心血管内科,跨疾病大类,已执行且服务器复核通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-LAB-CLEANUP-20260713-001_血培养误归属检验关系清理_blood_culture_cleanup,是,是,删除2条误归属requires_lab_test关系：急性心肌梗死->血培养、心力衰竭->血培养；保留LabTest和Evidence节点
BATCH-CARD-LAB-EVIDENCE-20260713-001,心血管内科,跨疾病大类,已生成并导入Neo4j且服务器入库后复测通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-LAB-EVIDENCE-20260713-001_空证据检验项目原文补证_lab_empty_evidence_backfill,是,是,新增/更新20个节点；49条关系；证据节点15；新增标准检验指标5；剩余血培养2条因缺少AMI/HF直接证据被阻断；非KGNode/空证据/重复语义关系均为0
BATCH-CARD-LABIND-SAFE-20260713-001,心血管内科,跨疾病大类,已生成并导入Neo4j且服务器入库后复测通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-LABIND-SAFE-20260713-001_心内科检验指标安全补链_lab_indicator_safe_refine,是,是,新增8个标准检验指标；新增32条关系；心律失常检验指标覆盖17/73->43/73；非KGNode/指标无证据/关系无evidence_ids/重复语义边均为0；未硬补旧骨架空证据缺口
BATCH-CARD-CAD-AMI-LABIND-20260713-001,心血管内科,冠心病,已生成并导入Neo4j且服务器入库后复测通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-AMI-LABIND-20260713-001_AMI检验指标精修_lab_indicator_refine,是,是,修复LabTest到ExamIndicator的检验指标下钻关系；节点15；关系26；AMI检验指标0->11；Evidence缺失0；非KGNode=0；全局缺口扫描文件=心血管内科文献集合/全局检验指标缺口扫描_20260713.csv
BATCH-CARD-CAD-REMAINING-20260712-001,心血管内科,冠心病,已生成并导入Neo4j且服务器入库后复测通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-REMAINING-20260712-001_冠心病剩余病种教材骨架精修_textbook_refine,是,是,导入节点461；关系859；替换旧同语义关系0；覆盖AMI/ACS/CCS/UA/NSTEMI/稳定型心绞痛/缺血性心肌病/隐匿性冠心病；服务器硬闸门全0；陈旧性心肌梗死无独立D6教材来源
BATCH-CARD-CAD-STEMI-20260712-001,心血管内科,冠心病,已生成并导入Neo4j且服务器入库后复测通过,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\BATCH-CARD-CAD-STEMI-20260712-001_STEMI教材骨架精修_textbook_refine,是,是,导入节点203；关系430；替换旧同语义关系37；服务器诊断标准明细9；鉴别诊断8；具体溶栓药物7；禁忌证10；阻断关系4；ClinicalRule原文证据18/18；hard_gate_pass=true
BATCH-CARD-CAD-202607-PLAN,心血管内科,冠心病,计划中,待定,心血管内科文献集合,是,是,本月优先第1位；回原文重抽取
BATCH-CARD-CM-202607-PLAN,心血管内科,心肌病,计划中,待定,心血管内科文献集合,是,是,本月优先第2位；回原文重抽取
BATCH-CARD-AMI-202607-PLAN,心血管内科,急性心肌梗死,计划中,待定,心血管内科文献集合,是,是,本月优先第3位；不能误归心肌疾病
BATCH-CARD-HF-202607-PLAN,心血管内科,心力衰竭,计划中,待定,心血管内科文献集合,是,是,本月优先第4位
BATCH-CARD-HT-202607-PLAN,心血管内科,高血压,计划中,待定,心血管内科文献集合,是,是,本月优先第5位；本月已启动解析，需纳入闭环
BATCH-CARD-ARR-202607-PLAN,心血管内科,心律失常,计划中,待定,心血管内科文献集合,是,是,本月优先第6位
BATCH-CARD-PACING-202607-PLAN,心血管内科,起搏治疗相关疾病,计划中,待定,心血管内科文献集合,是,是,本月优先第7位
BATCH-CARD-VHD-202607-PLAN,心血管内科,瓣膜病,计划中,待定,心血管内科文献集合,是,是,本月优先第8位
BATCH-CARD-PAH-202607-PLAN,心血管内科,肺动脉高压,计划中,待定,心血管内科文献集合,是,是,本月优先第9位
2026-07-14 07:39:04,BATCH-CARD-LAB-DDIMER-20260714-001,心血管内科,D-二聚体共享检验节点,新增3个ExamIndicator和8条关系;检验缺口2->0;VTE污染另列专项,已入库,是,否,
BATCH-CARD-DDX-RULE-FILL-20260714-001,心血管内科,鉴别诊断治理,,,,是,空,14条规则；52候选拒绝；496旧规则兼容；180历史短句隔离
BATCH-CARD-CAD-TOTAL-REFINE-20260714-001,心血管内科,冠心病,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_冠心病总精修,是,是,补齐36条CDSS规则证据链；直接PCI治疗补具体操作；泵衰竭与血流动力学评估更正为风险分层；38个测试通过节点转formal_cdss_ready=true；治疗方案可执行性缺口=0；规则缺文本/证据=0
20260714_心肌病总精修,心血管内科,心肌病,已写入Neo4j并通过入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260714_心肌病总精修,是,是,补齐28条ClinicalRule证据链；修复10个顶层TreatmentPlan下游动作；心肌炎病因句误归TreatmentPlan改Etiology；治理同名重复直连24组；13个疾病节点和103个核心节点转formal_cdss_ready=true
20260715_起搏治疗正式解析,心血管内科,起搏治疗相关疾病,已写入Neo4j并通过服务器入库后复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_起搏治疗正式解析,是,是,纳入8份资料；PDF 5份1084页；DOCX 3份94段；证据468条；节点888；关系3174；9/9疾病闭环ready；required缺口0；诊断标准无明细0；CDSS推荐字段缺口0；治疗方案无下游动作0；目标证据匹配失败0；同类型同名重复0；技术名污染0；药物类别缺具体药物0；服务器入库后复测通过
20260715_心肌炎心包炎感染性心内膜炎正式解析,心血管内科,心肌炎/心包炎/感染性心内膜炎,已写入Neo4j并完成组合验收,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_心肌炎心包炎感染性心内膜炎正式解析,是,是,节点1620；原始关系7110；补齐诊断标准下钻关系121；4/4疾病闭环ready；诊断标准无明细0；其他服务器阻断项0
20260715_主动脉与外周动脉疾病正式解析,心血管内科,主动脉与外周动脉疾病,已写入Neo4j并完成组合验收,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_主动脉与外周动脉疾病正式解析,是,是,外部补源2份；节点1237；原始关系3567；补齐诊断标准下钻关系58；5/5疾病闭环ready；诊断标准无明细0；其他服务器阻断项0
20260715_结构性心脏病先心病正式解析,心血管内科,结构性心脏病/先心病,已写入Neo4j并完成组合验收,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_结构性心脏病先心病正式解析,是,是,节点1048；原始关系5086；补齐诊断标准下钻关系105；5/5疾病闭环ready；诊断标准无明细0；其他服务器阻断项0
20260715_血脂异常动脉粥样硬化防治正式解析,心血管内科,血脂异常/动脉粥样硬化防治,已写入Neo4j并完成组合验收,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\心血管内科文献集合\20260715_血脂异常动脉粥样硬化防治正式解析,是,是,外部补源1份；节点898；原始关系3013；补齐诊断标准下钻关系25；3/3疾病闭环ready；诊断标准无明细0；其他服务器阻断项0
20260715_Evidence证据层瘦身与入库性能优化,心血管内科,全局证据层治理,只读统计与去重预演完成,否,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management,是,是,Evidence 44440个；重复分组7081组；理论可减少重复节点26622个；已生成报告、预演计划、全量重复证据清单；未删除、未合并、未迁移服务器Evidence节点
20260715_Evidence生成端改造与历史去重迁移试点,心血管内科,全局证据层治理,已写入Neo4j小范围试点,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management,是,是,build_graph_instance已接入主证据复用；新增Evidence复用闸门；迁移supported_by_evidence关系15条；标记重复Evidence节点20个；不物理删除；活跃重复分组7061组
20260716_内科学心血管骨架V1冻结,心血管内科,教材骨架底座,已写入Neo4j并通过五层冻结复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\123_内科学心血管骨架V1冻结_20260716,是,是,章节目录81/81匹配；教材范围疾病定义缺口0；教材定义证据链缺口0；同类型同名重复0；推荐陈述缺动作或证据0；检查项目无指标96个作为V1.1观察项处理
20260716_内科学心血管骨架V1.1临床可推理层下钻,心血管内科,教材骨架底座,已写入Neo4j并通过服务器复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\124_内科学心血管骨架V1.1临床可推理层下钻_20260716,是,是,补检查指标关系195条；检验误分类修正4个；操作手术标准名修正6个；药物别名补齐2个；风险分层组件41条；禁忌阻断动作33条；正式推理层阻断项0
20260716_内科学心血管骨架V1.2章节级证据精修,心血管内科,教材骨架底座,已写入Neo4j并通过服务器复测,是,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\125_内科学心血管骨架V1.2章节级证据精修与指南补强_20260716,是,是,知识浏览层缺证据2降为0；旧CTA缩写节点退出知识浏览层；胸部X线误标废弃修正为有效；134个知识浏览节点完成V1.2证据状态标记
20260717_指南PDF精修层全库总检,心血管内科,指南PDF精修层,只读总检完成；未写Neo4j,否,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\126_指南PDF精修层全库总检_20260717,是,是,PDF总数235；已解析登记218；未解析17；批次台账42条；输出PDF使用状态总表、疾病大类批次状态总表、指南精修优先级总表
20260717_批次登记台账收口治理,心血管内科,项目治理,执行中；未写Neo4j,否,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\AI专科知识图谱生成\项目管理中心_project_management\127_批次登记台账收口治理_20260717,是,是,补齐骨架V1.0/V1.1/V1.2和指南PDF总检记录；建立MD与CSV一致性检查；后续批次结束必须同步更新MD、CSV、步骤记录和踩坑日志
