severity,category,disease_code,disease_name,batch_id,definition_empty,description_empty,description_self_anchor,other_disease_anchor_hits,known_pollution_keywords,flags,current_definition_preview,current_description_preview
P0,冠状动脉粥样硬化性心脏病;心肌病,DIS-CARD-CAD-ICM,缺血性心肌病,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CM-DCM:扩张型心肌病:DCM | DIS-CARD-CM-NDLVCM:非扩张型左心室心肌病:非扩张型左心室心肌病 | DIS-CARD-CM-ARVC:致心律失常性右心室心肌病:ARVC | DIS-CARD-HF:心力衰竭:心功能不全 | DIS-CARD-ARR-SVT:室上性心动过速:SVT,非扩张型左心室心肌病,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,非扩张型左心室心肌病（non-dilated left ventricular cardiomyopathy，NDLVC）是指在无左心室扩张情况下，左心室存在着非缺血性瘢痕或脂肪替代，伴或不伴整体或局部室壁运动异常；这些心肌病变仅由负荷异常或心肌缺血无法解释。【发病机制】 遗传背景和基因突变是其主要发病机制，但与ARVC 和DCM 有重叠。【临床表现】 多数NDLVC 病人无明显症状和体征，但部分病人出现与心律失常或心功能不全的相关症状，少数病人最初表现为严重心律失常如SVT、VF，甚至猝死。【辅助检查】 1. 心
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-ARR-PVC:室性期前收缩:室性期前收缩 | DIS-CARD-ARR-VT:持续性室性心动过速:室性心动过速 | DIS-CARD-ARR-BRUGADA:Brugada综合征:Brugada | DIS-CARD-CAD-ATHEROSCLEROSIS:动脉粥样硬化:动脉粥样硬化 | DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠心病,心脏骤停,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,心脏骤停（cardiac arrest，CA）是指心脏射血功能突然终止，造成全身血液循环中断、呼吸停止和意识丧失。心脏骤停发生后，由于脑血流突然中断，10 秒左右病人即可出现意识丧失，如在4～6 分钟黄金时段内及时救治，存活概率较高，否则将发生生物学死亡，自发逆转者罕见。按照发生地点不同，心脏骤停分为院外心脏骤停（out-of-hospital cardiac arrest，OHCA）和院内心脏骤停（in-hospital cardiac arrest，IHCA）。国家科技基础资源调查专项数据显示，我国2020年由
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠心病 | DIS-CARD-CAD-STABLE-ANGINA:稳定型心绞痛:稳定型心绞痛 | DIS-CARD-CAD-AMI:急性心肌梗死:心肌梗死,,definition_empty;description_contains_other_disease_anchor,,【诊断】 1. 发病特点隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态ECG 记录所发现，也可为各种影像学检查所证实。2. 临床表现可分为三种类型：①有心肌缺血客观证据，但无心绞痛症状；②曾有过心肌梗死病史，现有心肌缺血客观证据，但无症状；③有心肌缺血发作，有时有症状，有时无症状，此类病人居多。糖尿病病人无症状心肌缺血更多见。应及时发现这类病人，并为其提供
P0,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,BATCH-CARD-CAD-20260623-001,yes,no,yes,DIS-CARD-CAD-ATHEROSCLEROSIS:动脉粥样硬化:动脉粥样硬化 | DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠状动脉粥样硬化性心脏病 | DIS-CARD-CAD-ACS:急性冠脉综合征:急性冠脉综合征 | DIS-CARD-CAD-AMI:急性心肌梗死:心肌梗死 | DIS-CARD-CAD-STEMI:ST段抬高型心肌梗死:ST段抬高型心肌梗死,,definition_empty;description_contains_other_disease_anchor,,非ST段抬高型心肌梗死（NSTEMI，Non-ST-segment elevation myocardial infarction）为冠状动脉粥样硬化性心脏病范围内的疾病或临床亚型，属于急性冠脉综合征谱系。
P0,心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,全心衰竭（Biventricular heart failure）为心力衰竭范围内的疾病或临床亚型，属于按受累心腔分类。
P0,心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-CM-RCM:限制型心肌病:限制型心肌病,限制型心肌病,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,限制型心肌病（restrictive cardiomyopathy，RCM）是以心室壁僵硬增加、舒张功能降低、充盈受限而产生临床右心衰症状为特征的一类心肌病。
P0,心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,射血分数保留的心力衰竭（HFpEF，Heart failure with preserved ejection fraction）为心力衰竭范围内的疾病或临床亚型，属于按射血分数分类。
P0,心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,射血分数轻度降低的心力衰竭（HFmrEF，Heart failure with mildly reduced ejection fraction）为心力衰竭范围内的疾病或临床亚型，属于按射血分数分类。
P0,心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF:心力衰竭:心力衰竭 | DIS-CARD-HF-HFmrEF:射血分数轻度降低的心力衰竭:HFmrEF | DIS-CARD-HF-HFpEF:射血分数保留的心力衰竭:HFpEF,,definition_empty;description_contains_other_disease_anchor,,最后由共识 HFrEF 定义为LVEF ≤40% 的心力衰竭；制定组将共识提交共识指导委员会批准，并且通过 HFmrEF 定义为LVEF 41%~49% 的心力衰竭；HFpEF 心衰中心专家委员会经邮件发送给相关人员。
P0,心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,,,definition_empty,,左心衰竭由左心室代偿功能不全所致，以肺循环淤血为特征，临床上较为常见。
P0,心力衰竭,DIS-CARD-HF,心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF-CHF:慢性心力衰竭:慢性心衰 | DIS-CARD-HF-AHF:急性心力衰竭:急性心力衰竭,急性心力衰竭,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。
P0,心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-CAD-AMI:急性心肌梗死:心肌梗死 | DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,心肌梗死后心力衰竭（post-MI HF，Post-myocardial infarction heart failure）为心力衰竭范围内的疾病或临床亚型，属于特殊人群及病因相关心力衰竭。
P0,心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF-CHF:慢性心力衰竭:慢性心衰 | DIS-CARD-HF:心力衰竭:心力衰竭,急性心力衰竭,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。
P0,心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF-AHF:急性心力衰竭:急性心力衰竭 | DIS-CARD-HF:心力衰竭:心力衰竭,急性心力衰竭,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和/或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。
P0,心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,BATCH-CARD-HF-20260629-001,yes,no,yes,DIS-CARD-HF-CHF:慢性心力衰竭:慢性心力衰竭 | DIS-CARD-HF:心力衰竭:心力衰竭,,definition_empty;description_contains_other_disease_anchor,,透析患者慢性心力衰竭（Chronic heart failure in dialysis patients）为心力衰竭范围内的疾病或临床亚型，属于特殊人群及病因相关心力衰竭。
P0,心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-VT:持续性室性心动过速:室性心动过速 | DIS-CARD-CAD-CHD:冠状动脉粥样硬化性心脏病:冠心病 | DIS-CARD-HF:心力衰竭:心力衰竭 | DIS-CARD-ARR-NSVT:非持续性室性心动过速:非持续性室速,,definition_empty;description_contains_other_disease_anchor,,室性心动过速（ventricular tachycardia，VT）简称室速，是起源于希氏束以下的特殊传导系统或者心室肌的连续3 个或3 个以上的异位心搏。及时正确地判断和治疗室速具有非常重要的临床意义。【病因】 室速常发生于各种器质性心脏病病人。最常见为冠心病，其次是心肌病、心力衰竭、瓣膜性心脏病等，其他病因包括代谢障碍、电解质紊乱、洋地黄中毒等。室速偶可发生在无器质性心脏病者，称为特发性室速，其多起源于右心室流出道（右室特发性室速）、左心室间隔部（左室特发性室速）和主动脉窦部。少部分室速与遗传因素有关，又称为离
P0,心律失常,DIS-CARD-ARR-AVB1,一度房室传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-AVB:房室传导阻滞:房室传导阻滞 | DIS-CARD-ARR-AVB2:二度房室传导阻滞:二度房室传导阻滞 | DIS-CARD-ARR-AVB3:三度房室传导阻滞:三度房室传导阻滞,,definition_empty;description_contains_other_disease_anchor,,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位。房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。二度房室传导阻滞又分为Ⅰ型（文氏阻滞）和Ⅱ型，Ⅰ型阻滞表现为传导时间进行性延长，直至一次冲动不能传导至心室；Ⅱ型阻滞表现为间歇出现的传导阻滞；两个及以上连续的冲动不能下传至心室，常称为高度房室传导阻滞。三度房室传导阻滞又称完全性房室传导阻滞，
P0,心律失常,DIS-CARD-ARR-AVB3,三度房室传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-AVB:房室传导阻滞:房室传导阻滞 | DIS-CARD-ARR-AVB1:一度房室传导阻滞:一度房室传导阻滞 | DIS-CARD-ARR-AVB2:二度房室传导阻滞:二度房室传导阻滞,,definition_empty;description_contains_other_disease_anchor,,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位。房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。二度房室传导阻滞又分为Ⅰ型（文氏阻滞）和Ⅱ型，Ⅰ型阻滞表现为传导时间进行性延长，直至一次冲动不能传导至心室；Ⅱ型阻滞表现为间歇出现的传导阻滞；两个及以上连续的冲动不能下传至心室，常称为高度房室传导阻滞。三度房室传导阻滞又称完全性房室传导阻滞，
P0,心律失常,DIS-CARD-ARR-AVB2,二度房室传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-AVB:房室传导阻滞:房室传导阻滞 | DIS-CARD-ARR-AVB1:一度房室传导阻滞:一度房室传导阻滞 | DIS-CARD-ARR-AVB3:三度房室传导阻滞:三度房室传导阻滞,,definition_empty;description_contains_other_disease_anchor,,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位。房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。二度房室传导阻滞又分为Ⅰ型（文氏阻滞）和Ⅱ型，Ⅰ型阻滞表现为传导时间进行性延长，直至一次冲动不能传导至心室；Ⅱ型阻滞表现为间歇出现的传导阻滞；两个及以上连续的冲动不能下传至心室，常称为高度房室传导阻滞。三度房室传导阻滞又称完全性房室传导阻滞，
P0,心律失常,DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-AT:房性心动过速:房性心动过速 | DIS-CARD-ARR-AF:心房颤动:心房颤动 | DIS-CARD-ARR-PVC:室性期前收缩:室性期前收缩 | DIS-CARD-ARR-VT:持续性室性心动过速:室性心动过速 | DIS-CARD-ARR-AVB:房室传导阻滞:房室传导阻滞,,definition_empty;description_contains_other_disease_anchor,,病病史；④是否有引起心脏病变的全身性疾病，如甲亢；⑤是否有服药史，尤其是抗心律失常药物、洋地黄类药物和影响电解质的药物；⑥是否置入心脏永久起搏器等。（二）体格检查体格检查首要的重点是确定是否存在心血管疾病。检查心率与节律可发现期前收缩、心房颤动、心动过速或过缓等心律失常；完全性房室传导阻滞或房室分离时心律规则，因PR 间期不同，第一心音强度亦随之变化。左束支传导阻滞可闻及第二心音反常分裂。（三）心电图检查 1. 静息心电图是诊断心律失常最重要的无创伤性检查技术，常规心电图分析原则：①根据P 波形态特征判断基本心律是
P0,心律失常,DIS-CARD-ARR-SVT,室上性心动过速,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,,,definition_empty,,"短RP 间期的室上速是指RP 间期的室上速表现动过速RR 间期的一半,而长RP(表3、图2)。"
P0,心律失常,DIS-CARD-ARR-VA,室性心律失常,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-LQTS:长QT间期综合征:LQTS | DIS-CARD-ARR-BRUGADA:Brugada综合征:Brugada | DIS-CARD-SCD-ARREST:心脏骤停:心搏骤停 | DIS-CARD-SCD-SUDDEN:心脏性猝死:心脏性猝死,,definition_empty;description_contains_other_disease_anchor,,当离子通道或调控通道的蛋白质发生基因突变时，其功能出现异常升高或降低，导致心肌细胞除极或复极过程异常，从而延长或缩短动作电位时程而产生心律失常甚至猝死，称为离子通道病。随着基因检测技术的发展，许多排除了器质性心脏病而反复出现不明原因晕厥甚至心脏性猝死的病人被证明存在基因变异，尤其是具有家族史者，目前将此类疾病统称为遗传性心律失常综合征，常见的离子通道病有： 1. 长QT 间期综合征（long-QT syndrome，LQTS）可分为先天性和获得性。先天性大多数是由一个或多个基因突变导致的家族遗传性疾病。获得性病人也
P0,心律失常,DIS-CARD-ARR-PVC,室性期前收缩,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,,,definition_empty,,室性期前收缩（premature ventricular beats）是一种最常见的心律失常。是指希氏束分叉以下部位过早发生的，提前使心肌除极的心搏。
P0,心律失常,DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-ARR-VT:持续性室性心动过速:室性心动过速 | DIS-CARD-SCD-SUDDEN:心脏性猝死:心脏性猝死 | DIS-CARD-ARR-VA:室性心律失常:室性心律失常,,definition_empty;description_contains_other_disease_anchor,,尖端扭转型室性心动过速（TdP，Torsades de pointes）为室性心律失常及心脏性猝死范围内的疾病或临床亚型，属于室性心律失常谱系。
P0,心律失常,DIS-CARD-ARR-VF,心室扑动与心室颤动,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,DIS-CARD-SCD-ARREST:心脏骤停:心脏骤停,心脏骤停,definition_empty;description_contains_other_disease_anchor;known_pollution_keyword,,1. 通气与氧供如果病人自主呼吸没有恢复，应尽早行气管插管，充分通气的目的是纠正低氧血症。院外病人通常用面罩、简易球囊维持通气，医院内病人在呼吸机可用之前，使用球囊面罩通气，挤压1L 容量成人球囊1/2～2/3 或2L 容量成人球囊1/3 量即可，气管插管后，通气频率统一为每6 秒 1 次（每分钟10 次）。呼吸机可用后，需要根据血气分析结果进行呼吸机参数调整。2. 电除颤、复律与起搏治疗心脏骤停时最常见的心律失常是室颤。及时的胸外按压和人工呼吸虽可部分维持心脑功能，但极少能将室颤转为窦性心律，而迅速恢复有效的心律
P0,心律失常,DIS-CARD-ARR-AFL,心房扑动,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,DIS-CARD-ARR-SVT:室上性心动过速:室上性心动过速,,definition_empty;description_contains_other_disease_anchor,,心房扑动（AFL，Atrial flutter）为室上性心动过速及心房扑动范围内的疾病或临床亚型，属于室上性快速性心律失常。
P0,心律失常,DIS-CARD-ARR-AF,心房颤动,BATCH-CARD-AF-20260701-001_房颤_AtrialFibrillation,yes,no,yes,DIS-CARD-CM-HCM:肥厚型心肌病:肥厚型心肌病,,definition_empty;description_contains_other_disease_anchor,,2. 心室舒张和充盈受限心室充盈受限是指在静脉回心血量无明显减少的情况下，因心脏本身的病变引起的心脏舒张和充盈障碍。如，肥厚型心肌病时肥厚心肌的顺应性减退，舒张能力降低，使心室舒张期充盈障碍；房颤快心室率时心室舒张期缩短，房室收缩不同步，心室充盈受限。最终导致
P0,心律失常,DIS-CARD-ARR-AVB,房室传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,,,definition_empty,,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。
P0,心律失常,DIS-CARD-ARR-AVRT,房室折返性心动过速,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,DIS-CARD-ARR-AFL:心房扑动:心房扑动 | DIS-CARD-ARR-SVT:室上性心动过速:室上性心动过速,,definition_empty;description_contains_other_disease_anchor,,房室折返性心动过速（AVRT，Atrioventricular reentrant tachycardia）为室上性心动过速及心房扑动范围内的疾病或临床亚型，属于室上性快速性心律失常。
P0,心律失常,DIS-CARD-ARR-AVNRT,房室结折返性心动过速,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,DIS-CARD-ARR-AFL:心房扑动:心房扑动 | DIS-CARD-ARR-SVT:室上性心动过速:室上性心动过速,,definition_empty;description_contains_other_disease_anchor,,房室结折返性心动过速（AVNRT，Atrioventricular nodal reentrant tachycardia）为室上性心动过速及心房扑动范围内的疾病或临床亚型，属于室上性快速性心律失常。
P0,心律失常,DIS-CARD-ARR-AT,房性心动过速,BATCH-CARD-SVT-AFL-20260703-001_室上速房扑_SVT_AtrialFlutter,yes,no,yes,,,definition_empty,,抗心律失常药物治疗无效的局限区域折返性十六、局限区域折返性房性心动过速 Ⅱa C 局限区域折返性房速定义为房速的折返环局限房性心动过速推荐行导管消融治疗在心房某个局限区域内(直径通常≤2 cm)。
P0,心律失常,DIS-CARD-ARR-VT,持续性室性心动过速,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,,,definition_empty,,特发性室性心动过速（idiopathic ventricular tachycardia，IVT）是指发生在无结构性心脏病病人中的单形性室速，多为阵发性，也可无休止发作。
P0,心律失常,DIS-CARD-ARR-ERS,早期复极综合征,FOUNDATION-CARD-20260624-001,yes,no,yes,,,definition_empty,,早期复极综合征基础骨架节点，来源于《内科学（第10版）》循环系统疾病篇。
P0,心律失常,DIS-CARD-ARR-BBB,束支传导阻滞,BATCH-CARD-BRADY-AVB-20260705-001_缓慢性心律失常传导阻滞_Bradyarrhythmia_AVBlock,yes,no,yes,DIS-CARD-ARR-BRADY:缓慢性心律失常:缓慢性心律失常,,definition_empty;description_contains_other_disease_anchor,,束支传导阻滞（LBBB，Bundle branch block）为缓慢性心律失常及传导阻滞范围内的疾病或临床亚型，属于缓慢性心律失常及传导阻滞。
P0,心律失常,DIS-CARD-ARR-SQTS,短QT间期综合征,BATCH-CARD-VA-SCD-20260704-001_室性心律失常心脏性猝死_VA_SCD,yes,no,yes,,,definition_empty,,SQTS:SQTS 是一种以心电图QT 转复除颤器缩短、伴有恶性心律失常为特征的遗传性心律失常相关的致病基综合征。
