疾病大类,资料名称,资料角色,页码/段落,命中主题,原文片段,结构化影响
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落379,诊断,在内科疾病诊断技术的发展中，细胞和分子生物学扮演了重要角色。高效液相层析、放射免疫和免疫放射测量、酶学检查技术、酶联免疫吸附试验、聚合酶链反应、生物芯片等技术的建立，使测定体液或组织中的微量物质、免疫抗体、微生物 DNA 或 RNA 等成为可能，大大提高了疾病诊断的敏感性和特异性。例如，高敏肌钙蛋白的测定使急性心肌梗死的诊断时间大大缩短，血乙肝病毒 DNA 载量的测定,补强心肌病基础骨架或专病特色证据
心肌病,《内科学（第10版）》心肌病章节,教材骨架,段落380,诊断,研究促成了多排螺旋 CT、磁共振、正电子发射断层成像（positron emission tomography，PET）等辅助检查技术的开发和应用，使疾病的影像诊断条件发生了翻天覆地的改变。,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页1,心肌病,第 323 期） Chinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 摘要 心肌病的患病率高，病因复杂，表现多样，预后不良，且与遗传密切相关。近年来，心肌病的定义、分类、精 准诊断与个体化治疗等方面不断取得更新和突破。本指南整合最新的循证医学证据，系统阐述了各类心肌病的定义、 分类、病因及发病机制，并对诊断、治疗及管理提出了推荐意见，旨在提高我国心肌病临床实践水平。 关键词 心肌病； 分类； 基因检测； 诊疗； 管理 2025 Ch,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页2,心肌病,总第 323 期） Chinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 1 心肌病定义、分类与流行病学 本指南结合我国临床现状和既往国内外指南经 验，将心肌病定义为： 一组存在心肌结构和 （或 ） 功 能异常，且用高血压、冠状动脉粥样硬化性心脏病、 瓣膜性心脏病和先天性心脏病不足以解释其病因的 心肌疾病。 本指南将心肌病分类为心室心肌病和心房 心 肌 病， 前 者 包 括 肥 厚 型 心 肌 病（hypertrophic cardi,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页3,心肌病,的细微结构或功能变 化，并提示病变严重程度 [10-11] 。三维超声心动图可 准确评估心腔容积。心脏声学造影可以更好地显示 心内膜，识别肌小梁增多、心尖肥厚型心肌病、室 壁瘤和心内血栓，同时观测心肌血流灌注情况。负 荷超声心动图有助于评估缺血相关心肌运动障碍和 有症状 HCM 患者的隐匿梗阻。经食道超声心动图 （transoesophageal echocardiography，TEE）可明确有无 心房颤动相关血栓，并作为侵入性治疗（如 HCM 患 者的室间隔减容术 ） 的围术期检查。 表2 不同表型心肌病患者的,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页4,心肌病, （总第 323 期） Chinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 心肌病患者应该根据初始评估每 2~5 年进行 CMR 检查监测疾病进展、 辅助危险分层与疾病管理。 对于已明确携带致病变异或可疑遗传性心肌病家族 成员，CMR 有助于临床诊断和早期筛查。具体检查 建议见表 4。 2.7 放射性核素检查 放射性核素检查对特定心肌病的诊断与鉴 别诊断有重要价值 。 99 Tc m 标记焦磷酸盐 （ 99 Tc m - pyrop,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页5,心肌病,3 期） Chinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 图1 不同表型心肌病的组织学特征 注： PAS： 过碘酸雪夫染色； TEM： 透射电子显微镜； IHC： 免疫组织化学； LAMP2： 溶酶体关联膜抗原 2； LC3： 微管相关蛋白 1 轻链 3； α-Gal A： α- 半乳糖苷酶 A； COX： 细胞色素氧化酶； SDH： 琥珀酸脱氢酶。 * ： 病理学典型图片详见本刊官方网址 www.chinacirculatio,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页6,心肌病,se Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 基因 HCM DCM ACM 其他心肌病或有心肌受累的疾病 遗传模式 ARVC ALVC * ABVC * ACTC1 明确 中等 AD ACTN2 明确 中等 AD ALPK3 明确 (AR)/ 强 (AD) AD/AR BAG3 明确 肌原纤维肌病 AD CACNA1C Timothy 综合征 AD CSRP3 明确 AD DES 明确 (AD) 中等 (AD) 相关 (AD) 相关 (,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页7,心肌病,第 323 期） Chinese Circulation Journal， May， 2025， Vol. 40 No.5（Serial No.323） 表7 心肌病患者基因检测和遗传咨询建议 推荐意见 推荐等级 证据水平 先证者基因检测 在辅助患者诊断、预后判断、治疗、生育规划，或需要明确亲属是否需要长期随访时，推荐对符合心肌病诊断标准的患 者进行基因检测 [36-37] Ⅰ B 基因检测团队应包含基因检测实操、变异解读、临床应用等多学科专家； 推荐在专门的心肌病中心或具有同等专家资源 的心肌病诊疗平台进行 [3,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页8,心肌病,）临床和实验室检查： 实验室检查、心电学检 查、冠状动脉 CTA/ 冠状动脉造影、心肺运动试验、放 射性核素检查、左心室造影、EMB 等可参见《中国成 人肥厚型心肌病诊断与治疗指南 2023》 [49] 。 超声心动图、 CMR 具有重要的确诊价值，具体建议见表 8~10。 图2 HCM 的诊断流程 注： HCM： 肥厚型心肌病； CMR： 心脏磁共振成像； SCD： 心脏性猝死； P/LP： 致病 / 可能致病； VUS： 意义未明变异。 推荐意见 推荐等级 证据水平 推荐 HCM 患者首诊和随访进行规范 TTE,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页9,心肌病,者 中，应予以关注 [54-55] 。 部分代谢性疾病或系统性疾病，包括糖原贮积 病、溶酶体贮积病、线粒体疾病、RASopathies、神 经肌肉疾病、淀粉样变心肌病等，会单独导致或伴 有左心室肥厚，也应在 HCM 基因检测时考虑，有 利于鉴别诊断。存在特殊并发症 （如心律失常 ） 的患 者，推荐检测可能独立于 HCM 而单独导致这些并 发症的遗传学病因 （如心脏离子通道病 ） （Ⅰ，C） 。 HCM 的基因检测与遗传咨询详见本文 3 基因检 测与遗传咨询章节。 4.1.2.3 鉴别诊断 HCM 需要与全身性疾病或,补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页10,心肌病,"心室 收缩功能障碍和心力衰竭症状的风险，且临床经验有限 Ⅲ C 表 12 梗阻性 HCM 的药物治疗建议 [49-50, 64, 67] 注： HCM： 肥厚型心肌病； ACEI： 血管紧张素转换酶抑制剂； ARB： 血管紧张素Ⅱ受体拮抗剂； LVOTG： 左心室流出道压力阶差； LVEF： 左心室射 血分数； NYHA： 纽约心脏协会。1 mmHg=0.133 kPa。 4.1.4.2.2 室间隔减容术 室间隔减容术可显著解除流出道梗阻，缓解患 者症状。对于有症状且常规药物治疗难以控制的左心 室流出道压力阶差 （",补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页11,心肌病,"不建议进行二尖瓣置换代替室间隔减容术来缓解左心室流出 道梗阻 Ⅲ B 表 13 HCM 的室间隔减容术的治疗建议 [68, 79-80] 注： HCM： 肥厚型心肌病； LVOTG： 左心室流出道压力阶差； NYHA： 纽约心脏协会。1 mmHg=0.133 kPa。 4.1.4.2.3 植入双腔起搏器 对于部分静息或激发后 LVOTG ≥ 50 mmHg、 窦性心律且药物治疗无效的患者，若存在室间隔减 容术治疗禁忌证，或术后发生心脏传导阻滞风险较 高，可考虑植入双腔起搏器，通过房室顺序起搏 及优化房室间期等降低 ",补强心肌病基础骨架或专病特色证据
心肌病,中国心肌病综合管理指南2025,医生指定核心指南,页12,心肌病,".1.5 SCD 的评估与预防章节。 4.1.4.5 HCM 终末期治疗 心脏移植是 HCM 终末期治疗最有效的手段（I， B） ，具体内容参见《中国成人肥厚型心肌病诊断与 治疗指南 2023》 [49] 。 4.1.5 SCD 的评估与预防 4.1.5.1 SCD 的风险评估 SCD 的风险评估是 HCM 患者临床管理的重要 组成部分，应在首次诊断时及确诊后每 1~2 年进行 系统的非侵入性的 SCD 风险评估（Ⅰ，B） [49-50, 57] 。 HCM 患者的 SCD 相关危险因素见表 15。 推荐意见 推荐",补强心肌病基础骨架或专病特色证据
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页1,心内膜心肌活检,膜心肌活 检及其病理诊断的认知水平和操作能力不足。鉴于此，国家心血管病中心心肌病专科联盟、中国医疗保健国际交流 促进会心血管病精准医学分会组织专家制定了《心肌病心内膜心肌活检及病理检查临床应用指南 》 ，旨在提升我国心 肌病心内膜心肌活检及病理检查水平。 关键词 心肌病； 心内膜心肌活检； 病理； 临床应用； 指南 Guidelines for the Clinical Application of Endomyocardial Biopsy and Pathological Examination in Card,补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页2,心内膜心肌活检,B 和病理 检查认知水平的滞后和操作能力的不足。因此，国 家心血管病中心心肌病专科联盟、中国医疗保健国 际交流促进会心血管病精准医学分会组织专家组制 定《心肌病心内膜心肌活检及病理检查临床应用指 南 》 ，以指导临床医师了解心肌病 EMB 及病理检查 的适应证、操作流程及相关标准，推动 EMB 和病 理检查的临床应用，促进我国心肌病诊疗能力的全 面提升。为便于读者了解某一项诊断或治疗的价值， 本指南采用美国心脏病学会（ACC）/ 美国心脏协会 （AHA） 制定的证据评价和推荐强度分级方法 （表 1） 提出推荐意见。,补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页3,病理检查,"替代疗法的疗效监 测 [25] 。 （4） 预后判断： EMB 区分淀粉样蛋白类型与 淀粉样变心肌病治疗和预后评估密切相关 [29, 32] 。移 植后受体心脏病理检查可以验证或修正移植前评估 和临床诊断 [27] 。 尸检可以发现临床、影像或肉眼无明显异常的 心脏组织学、细胞和分子水平的变化，有助于明确 病因。心脏性猝死是一些遗传性心肌病的首发表现， 如果在死亡前没有做出正确的诊断，在尸检中从法 医角度可以确认死因，从公共卫生角度有助于遗传 性心肌病的家族筛查和防治。 5 EMB 的适应证和禁忌证 5.1 适应证",补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页4,心肌病,手术 （Ⅱ b，B） [41] 。 左心系统活检，建议术中常规肝素抗凝，剂量 可参考单纯冠状动脉或左心室造影。右心系统活检 不推荐常规抗凝，但特殊疾病如淀粉样变心肌病可 参考左心系统活检给予抗凝，以降低血栓形成风险 （Ⅱ a，C） 。 如患者术前有严重心动过缓，或预估术中可能 出现严重心动过缓，推荐提前植入临时起搏器预防 （Ⅰ，C） 。 6.3.4 操作注意事项 （1）活检钳预塑形。部分血管入路如股静脉途 径需要对活检钳头端进行塑形，注意手法，多次塑 形或暴力塑形有可能损坏活检钳； （2）操作轻柔。活 检钳头端较硬,补强心肌病基础骨架或专病特色证据
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页5,心内膜心肌活检, 结构域 （R 端 ） 和羧基端 （C 端 ） ， Dystrophin 氨基端 （N 端 ） （冰冻切片 ） 进行性肌营养不良心肌病 Ⅰ B 注： EMB： 心内膜心肌活检； Masson 三色染色： 马松三色染色； EVG 染色： 魏格特 - 凡吉森染色； PAS 染色： 过碘酸雪夫染色； COX： 细胞色素 C 氧化酶； SDH： 琥珀酸脱氢酶； LCA： 白细胞共同抗原； GLA： α 半乳糖苷酶； Gb3： 神经酰胺三己糖苷； Lamp2： 溶酶体关联膜蛋白 2； TTR： 甲状腺转运蛋白； Apo A ,补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页6,病理检查,ponate812 或 Eponate12 包埋（Ⅱ a，C） [57] 。 （3）染色推荐使用铅 铀双染色 （Ⅱ a，C） [55] 。 9 不同类型心肌病的病理检查及诊断标准 9.1 DCM 病理诊断为排除性诊断。心肌细胞肥大、空 泡变性和间质纤维化是 DCM 主要的组织病理学改 变 [58-59] 。透射电子显微镜观察见心肌细胞内线粒体 数目增多、大小不等、嵴断裂或消失，可见结构不 良的肌节，主要表现为 Z 线增宽、模糊或 Z 线缺失 等。此外亦见溶酶体和脂褐素增多，糖原颗粒减少， 肌原纤维溶解等 （Ⅱ b，,补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页7,心肌病," [1, 70] 。Danon 病见心肌细胞内代谢产物堆积，自 噬体增加，自噬体内容物为退变的细胞器，包括线 粒体、肌原纤维和糖原颗粒等，也可见到类似于法 布雷心肌病中的髓鞘样小体（Ⅰ，A） [71] 。符合 4 项 中的 3 项标准为确定诊断。 9.5.3 线粒体心肌病 EMB 可以在患者病情迅速进展或骨骼肌的生物 化学检查以及分子检测不能明确诊断时进行。诊断 标准： （1）组织学表现为心肌细胞肥大，显著空泡变 性，间质可有纤维化。 （2） 酶组织化学双染细胞色 素 C 氧化酶 （COX） 和琥珀酸脱氢酶 （SD",补强心肌病基础骨架或专病特色证据
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页8,心内膜心肌活检,"14): 1531-1541. DOI: 10.1161/CIRCULATIONAHA.13.001414. [19] 黄洁 , 杨跃进 , 尹栋 , 等 . 心内膜心肌活检 439 例次的安全性分 析 [J]. 中华心血管病杂志 , 2010, 38(1): 43-46. DOI: 10.3760/cma. j.issn.0253-3758.2010.01.013. [20] Yoshida A, Ishibashi-Ueda H, Yamada N, et al. Direct comparison of th",补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页9,心内膜心肌活检,"34): 2279-2284. DOI: 10.1093/eurheartj/ehu217. [47] 徐希奇 , 田庄 , 方全 , 等 . 北京协和医院经皮心内膜心肌活检临床 操作规范 [J]. 协和医学杂志 , 2021, 12(3): 322-327. DOI: 10.12290/ xhyxzz.2021-0161. [48] Fiorelli AI, Coelho GH, Aiello VD, et al. Tricuspid valve injury after heart transplantatio",补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,医生指定核心技术指南,页10,电镜," 丁明孝 . 生命科学中的电子显微镜技术 [M]: 北京： 高等教育出版 社 , 2021. [57] 朱小东 , 曾彩虹 , 陈惠萍 . 低黏度包埋剂在肾活检电镜标本制备中 的应用 [J]. 肾脏病与透析肾移植杂志 , 2011, 20(4): 397-400. DOI: 10.3969/j.issn.1006-298X.2011.04.020. [58] Shimura S, Matsui Y , Yutani C, et al. Histopathological study of specimens obt",补强 Procedure/ExamObservation/DiagnosisCriteria/DifferentialDiagnosis
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页1,肥厚型心肌病,"fmx_T3RoZXJNaXJyb3Jz ·标 准 与 规 范 · 肥厚型心肌病激发/负荷超声心动图 临床应用指南 (2024版) 中国超声心动图学会 中华医学会超声医学分会 国家超声诊断专业质控中心 中国医药 教育协会超声医学专业委员会 中国超声医学工程学会超声心动图专委会 海峡两岸医药 卫生交流协会超声医学分会 中国医院协会医学影像中心分会 山东省医学会超声医学分 会 通信作者:张梅,络病理论创新转化全国重点实验室,教育",补强心肌病基础骨架或专病特色证据
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页2,激发,"aphy” “stress echocardiography” “肥 厚 型心肌病”“左心室流出道梗阻” “左心室流出道压力 阶差”“超声心动图”“负荷试验”“激发超声心动图” “负荷超 声 心 动 图” 等,文 献 类 型 包 括 共 识/指 南/专 家意见、系统 综 述/回 顾 分 析、 随 机 对 照 试 验、 队 列 ·646· 中华超声影像学杂志2024年8月第33卷第8期 Chin J Ultrasonogr,August 2024,Vol 33,No.8",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页3,激发,"的专家意见,最终形成 15项要点概括。本指南内容的主要特点:①结合欧美 指南与 中 国 临 床 实 际 情 况;② 提 出 符 合 中 国 国 情 的 HCM 激发/负荷超声心动图的检查流程和规范化操作 方法;③重视 HCM 患者尤其是 HCM 隐匿性梗阻患者 的筛查和病情评估,以利于制定和调整治疗方案。 8.指南更新:指南工作组计划每2~3年对本指 南进行更新。更新方法按照国际指南更新流程进行。 9.传播与实施:①在相关学术期刊发表并编写指 南简版及解读手册;②出版对应的医生/技师/基层版, 在相关学术会议中进行",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页4,肥厚型心肌病," 180 mmHg 或 舒 张 压 > 110 mmHg 6 不能控制的心动过速 或心动过缓 7 主动脉瘤 8 发生严重脱水、便秘、 出血或妊娠 注:HCM 为肥厚型心肌病,LVOTG为左心室流出道压力阶差,MR为二 尖瓣反流。a 如患者在负荷测试中的获益大于风险,相对禁忌证可被取代。1 mmHg=0 133 kPa (2)观察内容和测量指标:①二维超声评估二尖 瓣前 叶 收 缩 期 前 向 运 动 (systolic anterior motion, SAM)的 情 况。 ② M 型 超 声 观 察 二 尖 瓣 ",补强心肌病基础骨架或专病特色证据
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页5,激发,"fmx_T3RoZXJNaXJyb3Jz 表3 激发/负荷超声心动图检查观测方法和测量指标 ·946·中华超声影像学杂志2024年8月第33卷第8期 Chin J Ultrasonogr,August 2024,Vol 33,No.8",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页6,激发,"3)注意确认和排除其他影响左心室流出道梗阻 判断的因素,如左心系统心肌缺血和 (或)右心系统 压力增高导致心室形态改变而诱发的左心室流出道梗 阻。 三、HCM 激发/负荷超声心动图试验实施方法 1.简易激发 (1)Valsalva激发 Valsalva 激 发 试 验 无 侵 入 性 且 操 作 简 便, 是 HCM 患者检测 LVOTG 最常用的 方 法 之 一 [1] 。具 体 方法是:紧闭口鼻的情况下收缩胸部和腹部肌肉,向 下用力持续 >10 s, 并 迅 速 释 放 的 过 程 [22] (图 1)。 这一",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页7,激发,"回流阻力减小,血液快 速回流入心脏,导致心排出量和动脉压力明显短暂升 高,心率因继发迷走神经兴奋而反射性降低。最终血 压和心率趋于正常。 图2 Valsalva激发试验四期模式图:平均动脉压和心率的典型改变 2)Valsalva激发试验的方法 Valsalva激发试验分为自我指导的 Valsalva激发 试验和目标导向的 Valsalva激发试验 [23] 。 ① 自 我 指 导 的 Valsalva 激 发 试 验: 患 者 左 侧 卧 位同步行超声心动图检查,医生嘱患者深吸气,然后 屏住呼 吸; 收 缩 胸 部",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页8,激发,"重”, 超 声 提 示 肥 厚 型 心 肌 病, 静 息 状 态 下, 左 心 室 流 出 道 血 流 速 度 正 常, 约 1 2 m/s; Valsalva激发后,左心室流出道血流速度加快,达2 9 m/s,峰值压差约33 mmHg,提示该患者为肥厚型心 肌 病 (左 心 室 流 出 道 隐 匿 性 梗 阻)(LVOTVmax:左心室流出道最大血流速度;LVOTGmax:跨左心室流出道最大压力阶差; 1 mmHg=0 133 kPa) 图5 男性,32岁,主诉 “活动后黑朦1年,加重1个月”,静息状态 (心率7",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页9,负荷超声," 者 在 运 动 负 荷 状 态 下诱发左心室流出道梗阻的成功率和严重程度均会减 低。对于已经使用β受体阻滞剂的患者仍然有相关症 状,可在不停药的情况下进行运动负荷超声心动图检 查,明确引起症状的原因;③如果运动后左心室流出 道梗阻无明显加重,提示预后较好,应当寻找劳力性 呼吸困难的其他原因;④应同时注意检测左心室收缩 功能情况。 (2)平板运动试验 平板运动负荷为直立位,前负荷相对低于半卧位 踏车。因此, 平 板 运 动 诱 发 的 LVOTG 明 显 高 于 卧 位踏车运 动 负 荷 [33] 。 直 立 平 ",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页10,肥厚型心肌病,"fmx_T3RoZXJNaXJyb3Jz 图7 女性,67岁,主诉 “活动后胸闷3年余,加重1周”,既往超声心动图提示肥厚型心肌病,Valsalva及蹲起激发试验左心室流出道峰值压差 均<30 mmHg,遂行平板运动负荷试验。A~D 图为静息状态图像,静息状态下左心室流出道峰值压差9 mmHg (A 图),未 见 二 尖 瓣 反 流 (B 图),E/e'=8 9,三尖瓣反流速度为2 57 m/s (D 图);E~H 图 为 运 动 后 即 刻 图 像, 运 动 后 即 刻 ",补强心肌病基础骨架或专病特色证据
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页11,激发," 阶 段 急 需 建 立 激 发/负 荷 超 声 心 动 图 试 验 的 专 业化实验室标准,并对相关检查医师提供专门充足的 理论知识和临床技能培训。 HCM 激发/负荷超声心动图临床应用推荐要点概括 1.对 于 静 息 状 态 下 LVOTG <30 mmHg 的 HCM 患 者, 推 荐 进 行 激 发/负 荷 超 声 心 动 图 检 查, 观察 LVOTG 变 化, 以 确 定 左 心 室 流 出 道 是 否 存 在 隐匿性梗阻 (Ⅰ,B)。 2.对于静息状态下 LVOTG<50 mmHg且药物 治疗效果不佳",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
心肌病,肥厚型心肌病激发/负荷超声心动图临床应用指南2024,医生指定核心技术指南,页12,激发,"fmx_T3RoZXJNaXJyb3Jz Valsalva激发 试 验 后 LVOTG 仍 <50 mmHg, 推 荐 采用 运 动 负 荷 超 声 心 动 图 评 估 LVOTG 以 指 导 生 活 方式及药物治疗方案的选择 (Ⅱb,C)。 8.对于拟行室间隔减容术的梗阻型 HCM 患者, 推荐行运动负荷超声心动图 (Ⅰ,B)。 9.运动负荷 试 验 阳 性 判 断 方 法 包 括:出 现 明 显 症状 (呼 吸",补强 ExamItem/ExamObservation/ThresholdRule/ClinicalRule
