疾病大类,资料名称,资料角色,是否医生指定核心资料,是否必须纳入,准入结论,文件路径,文件大小MB,去重标题,准入原因,处理要求
心肌病,HCM AHA 2024,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM AHA 2024.pdf,1.82,hcm aha 2024,HCM 诊疗、家族评估、SCD 风险和治疗补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,HCM CN 2023,国内指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\HCM\HCM CN 2023.pdf,1.19,hcm cn 2023,国内 HCM 诊疗补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,中国 心肌病综合管理指南（2025年）,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 心肌病综合管理指南（2025年）.docx,0.77,中国 心肌病综合管理指南2025,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,中国 心肌病综合管理指南（2025年）,补充资料,否,否,重复保留不重复计数,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 心肌病综合管理指南（2025年）.pdf,1.83,中国 心肌病综合管理指南2025,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,中国 成人肥厚型心肌病诊断与治疗指南2023,国内指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 成人肥厚型心肌病诊断与治疗指南2023.pdf,1.21,中国 成人肥厚型心肌病诊断与治疗指南2023,国内成人 HCM 诊断治疗补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,中国 扩张型心肌病诊断和治疗指南2018,国内指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国 扩张型心肌病诊断和治疗指南2018.pdf,0.75,中国 扩张型心肌病诊断和治疗指南2018,国内 DCM 诊断治疗补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,中国心肌病综合管理指南2025,补充资料,否,否,重复保留不重复计数,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\中国心肌病综合管理指南2025.pdf,1.82,中国心肌病综合管理指南2025,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病  AHA  2006,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  AHA  2006.pdf,0.14,心肌病  aha  2006,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病  ESC  2008,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  ESC  2008.pdf,0.21,心肌病  esc  2008,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病  ESC  2023,国际指南,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病  ESC  2023.pdf,11.17,心肌病  esc  2023,ESC 2023 心肌病管理，作为国际补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病 WHO  1995,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病 WHO  1995.epub,0.01,心肌病 who  1995,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病 WHO 1980,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病 WHO 1980.pdf,0.21,心肌病 who 1980,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病MOGE(S)  ACC 2013,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病MOGE(S)  ACC 2013.pdf,4.36,心肌病moges  acc 2013,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病分类历史简介,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病分类历史简介.pdf,3.64,心肌病分类历史简介,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病心内膜心肌活检及病理检查临床应用指南,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病心内膜心肌活检及病理检查临床应用指南.pdf,1.07,心肌病心内膜心肌活检及病理检查临床应用指南,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,心肌病诊断与治疗建议  2007,补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\心肌病诊断与治疗建议  2007.pdf,0.81,心肌病诊断与治疗建议  2007,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,成人法布雷病心肌病诊断与治疗中国专家共识,专家共识,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\特殊类型心肌病\成人法布雷病心肌病诊断与治疗中国专家共识.pdf,1.54,成人法布雷病心肌病诊断与治疗中国专家共识,法布雷病心肌病专病特色补充证据。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
心肌病,肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版),补充资料,否,否,补充纳入候选,E:\BigMouse\0.CDSS文献诊疗指南材料PDF\心血管内科\诊疗指南\心肌病\肥厚型心肌病激发_负荷超声心动图临床应用指南(2024版).pdf,2.95,肥厚型心肌病激发_负荷超声心动图临床应用指南2024版,未列为医生指定核心资料，需按主题相关性作为补充或历史资料。,若支持专病特色槽位则纳入证据矩阵；历史分类资料只保留来源线索，不直接建临床节点。
