疾病编码,疾病名称,推荐编码,推荐名称,动作名称,动作类型,主证据编码,主指南编码,主来源,页码,推荐等级,证据等级,冲突状态,裁决理由,裁决文本,链路缺口
DIS-CARD-ARR-AVB,房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB-01-01-DIAG,疑似房室传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查、阿托品试验进行诊断确认和必要鉴别。,心脏电生理检查；心电图；动态心电图；阿托品试验,ExamItem,EVD-59BBC049DE8062FEFBC6-AVB,SRC-DOC-C0BB559FA2C8448A,《内科学（第10版）》.pdf,317,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB,房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB-02-01-RISK,房室传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-EAC3C82FAC5433C6ED45-AVB3,SRC-DOC-6E44027E23077E48,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB,房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB-04-01-FOLLOW,房室传导阻滞稳定期或治疗后，应按房室传导阻滞随访方案、房室传导阻滞预后进行随访和复评。,房室传导阻滞随访方案,FollowUp,EVD-FFE9F335E136617AA0C1-AVB,SRC-DOC-C0BB559FA2C8448A,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB1,一度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB1-01-01-DIAG,疑似一度房室传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,心脏电生理检查；动态心电图；心电图,ExamItem,EVD-FEE06C9B5E496E4E59E4-AVB1,SRC-DOC-7EABAF0372E7ED03,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅱa,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB1,一度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB1-02-01-RISK,一度房室传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-4F812B7FA1A350653315-AVB1,SRC-DOC-6E44027E23077E48,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅱa,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB1,一度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB1-04-01-FOLLOW,一度房室传导阻滞稳定期或治疗后，应按一度房室传导阻滞随访方案、进展为高度传导阻滞或需起搏风险进行随访和复评。,一度房室传导阻滞随访方案,FollowUp,EVD-FEE06C9B5E496E4E59E4-AVB1,SRC-DOC-7EABAF0372E7ED03,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅱa,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB2,二度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB2-01-01-DIAG,疑似二度房室传导阻滞时，应结合心电图传导阻滞诊断依据、心电图及长程心电监测进行诊断确认和必要鉴别。,动态心电图,ExamItem,EVD-626C8CFB84C4137A3EA5-AVB2,SRC-DOC-C0BB559FA2C8448A,内科学(第8版).docx,N/A,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB2,二度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB2-02-01-RISK,二度房室传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-FBCDCAA38A6F081DFE09-AVB2,SRC-DOC-CF62B75AEC93F1A6,内科学(第8版).docx,N/A,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB2,二度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB2-04-01-FOLLOW,二度房室传导阻滞稳定期或治疗后，应按心电监测和起搏器随访、进展为高度传导阻滞或需起搏风险进行随访和复评。,心电监测和起搏器随访,FollowUp,EVD-626C8CFB84C4137A3EA5-AVB2,SRC-DOC-CF62B75AEC93F1A6,内科学(第8版).docx,N/A,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB3,三度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB3-01-01-DIAG,疑似三度房室传导阻滞时，应结合心电图传导阻滞诊断依据、心电图、电生理检查进行诊断确认和必要鉴别。,心脏电生理检查；心电图,ExamItem,EVD-EAC3C82FAC5433C6ED45-AVB3,SRC-DOC-C0BB559FA2C8448A,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB3,三度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB3-02-01-RISK,三度房室传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-8B983529A31A94FDB7CE-AVB3,SRC-DOC-6E44027E23077E48,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVB3,三度房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB3-04-01-FOLLOW,三度房室传导阻滞稳定期或治疗后，应按三度房室传导阻滞随访方案、三度房室传导阻滞预后进行随访和复评。,三度房室传导阻滞随访方案,FollowUp,EVD-8B983529A31A94FDB7CE-AVB3,SRC-DOC-7EABAF0372E7ED03,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,REC-CDSS-SVTAFL-ARR-AVNRT-01-01-DIAG,疑似房室结折返性心动过速时，应结合房室结折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,甲状腺功能；心脏电生理检查；食管心房调搏；动态心电图；12导联心电图,LabItem；ExamItem,EVD-44ED95762DC6F8B010F5-AVNRT,SRC-DOC-C0BB559FA2C8448A,室上性心动过速诊断及治疗中国专家共识(2021).pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,REC-CDSS-SVTAFL-ARR-AVNRT-02-01-RISK,房室结折返性心动过速确诊或高度疑似后，应结合先天性心脏病、器质性心脏病、旁路、甲状腺功能亢进、电解质紊乱等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-7998DB9D0786606BED48-AVNRT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,39,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,REC-CDSS-SVTAFL-ARR-AVNRT-04-01-FOLLOW,房室结折返性心动过速稳定期或治疗后，应按房室结折返性心动过速随访方案、房室结折返性心动过速预后进行随访和复评。,房室结折返性心动过速随访方案,FollowUp,EVD-D8007111B7566CF1420C-AVNRT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,27,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVRT,房室折返性心动过速,REC-CDSS-SVTAFL-ARR-AVRT-01-01-DIAG,疑似房室折返性心动过速时，应结合房室折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,甲状腺功能；心脏电生理检查；动态心电图；12导联心电图；超声心动图,LabItem；ExamItem,EVD-13C10C8A36B15281C997-AVRT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,29,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVRT,房室折返性心动过速,REC-CDSS-SVTAFL-ARR-AVRT-02-01-RISK,房室折返性心动过速确诊或高度疑似后，应结合先天性心脏病、器质性心脏病、旁路、甲状腺功能亢进、电解质紊乱等进行风险分层和高危因素识别。,先天性心脏病,RiskFactor,EVD-52F92D38A1E6498A4D09-AVRT,SRC-DOC-4A36F3721EF8AADE,室上性心动过速诊断及治疗中国专家共识(2021).pdf,15,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-AVRT,房室折返性心动过速,REC-CDSS-SVTAFL-ARR-AVRT-04-01-FOLLOW,房室折返性心动过速稳定期或治疗后，应按房室折返性心动过速随访方案、房室折返性心动过速预后进行随访和复评。,房室折返性心动过速随访方案,FollowUp,EVD-52F92D38A1E6498A4D09-AVRT,SRC-DOC-04A6231207D5F4D6,室上性心动过速诊断及治疗中国专家共识(2021).pdf,15,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BBB,束支传导阻滞,REC-CDSS-BRADYAVB-ARR-BBB-01-01-DIAG,疑似束支传导阻滞时，应结合束支传导阻滞诊断标准、心电图、电生理检查进行诊断确认和必要鉴别。,心脏电生理检查；心电图,ExamItem,EVD-1B71353C7B850F1F4A8A-BBB,SRC-DOC-6E44027E23077E48,《内科学（第10版）》.pdf,313,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BBB,束支传导阻滞,REC-CDSS-BRADYAVB-ARR-BBB-02-01-RISK,束支传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-FFB150BDDB1F8DC6E833-BBB,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.pdf,224,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BBB,束支传导阻滞,REC-CDSS-BRADYAVB-ARR-BBB-04-01-FOLLOW,束支传导阻滞稳定期或治疗后，应按束支传导阻滞随访方案、束支传导阻滞预后进行随访和复评。,束支传导阻滞随访方案,FollowUp,EVD-1B71353C7B850F1F4A8A-BBB,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.pdf,313,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRADY,缓慢性心律失常,REC-CDSS-BRADYAVB-ARR-BRADY-01-01-DIAG,疑似缓慢性心律失常时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,心脏电生理检查；心电图；动态心电图,ExamItem,EVD-9EFBB3D3B99F10E5C82A-BRADY,SRC-DOC-6E44027E23077E48,内科学(第8版).docx,N/A,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRADY,缓慢性心律失常,REC-CDSS-BRADYAVB-ARR-BRADY-02-01-RISK,缓慢性心律失常确诊或高度疑似后，应结合缓慢性心律失常风险分层、血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,缓慢性心律失常风险分层,RiskStratification,EVD-8B983529A31A94FDB7CE-AVB3,SRC-DOC-C0BB559FA2C8448A,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRADY,缓慢性心律失常,REC-CDSS-BRADYAVB-ARR-BRADY-04-01-FOLLOW,缓慢性心律失常稳定期或治疗后，应按缓慢性心律失常随访方案、缓慢性心律失常预后进行随访和复评。,缓慢性心律失常随访方案,FollowUp,EVD-8B983529A31A94FDB7CE-AVB3,SRC-DOC-6E44027E23077E48,中国床旁临时心脏起搏急诊专家共识（2023）.pdf,4,Ⅰ,B,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRUGADA,Brugada综合征,REC-CDSS-VASCD-ARR-BRUGADA-01-01-DIAG,疑似Brugada综合征时，应结合Brugada综合征诊断标准、冠状动脉造影、动态心电图、基因检测、心电图进行诊断确认和必要鉴别。,动态心电图；心电图；基因检测；冠状动脉造影,ExamItem,EVD-988EE45BB7AE596CAE55-BRUGADA,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRUGADA,Brugada综合征,REC-CDSS-VASCD-ARR-BRUGADA-02-01-RISK,Brugada综合征确诊或高度疑似后，应结合Brugada综合征风险分层、冠心病、器质性心脏病、家族猝死史、左心室射血分数降低等进行风险分层和高危因素识别。,Brugada综合征风险分层,RiskStratification,EVD-B49DBC0D5E5880A20E3A-BRUGADA,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,10,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-BRUGADA,Brugada综合征,REC-CDSS-VASCD-ARR-BRUGADA-04-01-FOLLOW,Brugada综合征稳定期或治疗后，应按Brugada综合征随访方案、Brugada综合征预后进行随访和复评。,Brugada综合征随访方案,FollowUp,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,REC-CDSS-VASCD-ARR-CPVT-01-01-DIAG,疑似儿茶酚胺敏感性多形性室性心动过速时，应结合儿茶酚胺敏感性多形性室性心动过速诊断标准、冠状动脉造影、动态心电图、基因检测、心电图进行诊断确认和必要鉴别。,心电图；基因检测；冠状动脉造影；动态心电图,ExamItem,EVD-A41D5F17B34CAE07E13C-CPVT,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,9,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,REC-CDSS-VASCD-ARR-CPVT-02-01-RISK,儿茶酚胺敏感性多形性室性心动过速确诊或高度疑似后，应结合儿茶酚胺敏感性多形性室性心动过速风险分层、冠心病、器质性心脏病、家族猝死史、左心室射血分数降低等进行风险分层和高危因素识别。,儿茶酚胺敏感性多形性室性心动过速风险分层,RiskStratification,EVD-A41D5F17B34CAE07E13C-CPVT,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,9,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-CPVT,儿茶酚胺敏感性多形性室性心动过速,REC-CDSS-VASCD-ARR-CPVT-04-01-FOLLOW,儿茶酚胺敏感性多形性室性心动过速稳定期或治疗后，应按儿茶酚胺敏感性多形性室性心动过速随访方案、儿茶酚胺敏感性多形性室性心动过速预后进行随访和复评。,儿茶酚胺敏感性多形性室性心动过速随访方案,FollowUp,EVD-TB-28542E75A8F175245FCB-CPVT,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,16,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-LQTS,长QT间期综合征,REC-CDSS-VASCD-ARR-LQTS-01-01-DIAG,疑似长QT间期综合征时，应结合长QT间期综合征诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,肾功能与电解质；心电图；冠状动脉造影；基因检测；动态心电图,LabItem；ExamItem,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-6E44027E23077E48,室性心律失常中国专家共识基层版.pdf,4,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-LQTS,长QT间期综合征,REC-CDSS-VASCD-ARR-LQTS-02-01-RISK,长QT间期综合征确诊或高度疑似后，应结合长QT间期综合征风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,长QT间期综合征风险分层,RiskStratification,EVD-60C4619325E6FE6D22F5-LQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,14,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-LQTS,长QT间期综合征,REC-CDSS-VASCD-ARR-LQTS-03-01-TREAT,长QT间期综合征治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、抗心律失常药物治疗、电复律除颤、β受体阻滞剂、利多卡因等。,普萘洛尔；临时心脏起搏术；β受体阻滞剂；硫酸奎尼丁片；心肺复苏；硫酸镁,Medication；Procedure,EVD-B49DBC0D5E5880A20E3A-BRUGADA,SRC-DOC-6E44027E23077E48,室性心律失常中国专家共识基层版.pdf,10,未分级/指南未显式标注,未分级/指南未显式标注,none,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,已具备推荐动作、证据和指南来源，按结构化链路进入正式推荐。,
DIS-CARD-ARR-LQTS,长QT间期综合征,REC-CDSS-VASCD-ARR-LQTS-04-01-FOLLOW,长QT间期综合征稳定期或治疗后，应按长QT间期综合征随访与复查方案、长QT间期综合征预后进行随访和复评。,长QT间期综合征随访与复查方案,FollowUp,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,17,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-NSVT,非持续性室性心动过速,REC-CDSS-VASCD-ARR-NSVT-01-01-DIAG,疑似非持续性室性心动过速时，应结合非持续性室性心动过速诊断标准、冠状动脉造影、动态心电图、基因检测、心电图进行诊断确认和必要鉴别。,心电图；动态心电图；冠状动脉造影；基因检测,ExamItem,EVD-TB-529E398EB043DF2365D9-NSVT,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,4,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-NSVT,非持续性室性心动过速,REC-CDSS-VASCD-ARR-NSVT-02-01-RISK,非持续性室性心动过速确诊或高度疑似后，应结合非持续性室性心动过速风险分层、低钾血症、冠心病、器质性心脏病、左心室射血分数降低等进行风险分层和高危因素识别。,非持续性室性心动过速风险分层,RiskStratification,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-NSVT,非持续性室性心动过速,REC-CDSS-VASCD-ARR-NSVT-04-01-FOLLOW,非持续性室性心动过速稳定期或治疗后，应按非持续性室性心动过速随访与复查方案、非持续性室性心动过速预后进行随访和复评。,非持续性室性心动过速随访与复查方案,FollowUp,EVD-7BFDC32E4B67887A6330-NSVT,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,5,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-PVC,室性期前收缩,REC-CDSS-VASCD-ARR-PVC-01-01-DIAG,疑似室性期前收缩时，应结合室性期前收缩诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,肾功能与电解质；心肌损伤标志物；心电图；基因检测；动态心电图；冠状动脉造影,LabItem；ExamItem,EVD-B4DE2C162C37E9384DAC-PVC,SRC-DOC-4DE9ED834C741715,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-PVC,室性期前收缩,REC-CDSS-VASCD-ARR-PVC-02-01-RISK,室性期前收缩确诊或高度疑似后，应结合室性期前收缩风险分层、低钾血症、低镁血症、冠心病、器质性心脏病等进行风险分层和高危因素识别。,室性期前收缩风险分层,RiskStratification,EVD-FF93ED940C3A8AC56E8E-LQTS,SRC-DOC-C0BB559FA2C8448A,室性心律失常中国专家共识基层版.pdf,2,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-PVC,室性期前收缩,REC-CDSS-VASCD-ARR-PVC-04-01-FOLLOW,室性期前收缩稳定期或治疗后，应按室性期前收缩随访方案、室性期前收缩预后进行随访和复评。,室性期前收缩随访方案,FollowUp,EVD-42C822B611D2377A5293-PVC,SRC-DOC-00005AB23BE6D130,室性心律失常中国专家共识基层版.pdf,8,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SAB,窦房传导阻滞,REC-CDSS-BRADYAVB-ARR-SAB-01-01-DIAG,疑似窦房传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图进行诊断确认和必要鉴别。,动态心电图；心电图,ExamItem,EVD-10671EDDA814284DEA8C-SAB,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.pdf,228,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SAB,窦房传导阻滞,REC-CDSS-BRADYAVB-ARR-SAB-02-01-RISK,窦房传导阻滞确诊或高度疑似后，应结合血流动力学不稳定和心脏停搏风险进行风险分层和高危因素识别。,血流动力学不稳定和心脏停搏风险,Complication,EVD-213FB6451C1E4AFE4B36-SAB,SRC-DOC-CF62B75AEC93F1A6,《内科学（第10版）》.pdf,222,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
DIS-CARD-ARR-SAB,窦房传导阻滞,REC-CDSS-BRADYAVB-ARR-SAB-04-01-FOLLOW,窦房传导阻滞稳定期或治疗后，应按心电监测和起搏器随访、进展为高度传导阻滞或需起搏风险进行随访和复评。,心电监测和起搏器随访,FollowUp,EVD-E9DA6046FA020AF5CDA3-SAB,SRC-DOC-6E44027E23077E48,内科学(第8版).docx,N/A,未分级/指南未显式标注,未分级/指南未显式标注,none,,已沉淀到推荐节点,
