disease_code,disease_name,recommendation_code,recommendation_name,entity_type,node_code,node_name,cdss_use_status,clinical_use_status,dictionary_validation_status,source_table,cdss_order_ready,cdss_display_ready,emr_write_allowed,cdss_dictionary_resolution_status,cdss_dictionary_resolution_note,cdss_dictionary_required_action
DIS-CARD-ARR-TDP,尖端扭转型室性心动过速,REC-CDSS-VASCD-ARR-TDP-01-01-DIAG,疑似尖端扭转型室性心动过速时，应结合尖端扭转型室性心动过速诊断标准、动态心电图、基因检测、心电图、心脏磁共振成像等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-LEFT,左心衰竭,REC-CDSS-HF-HF-LEFT-01-01-DIAG,疑似左心衰竭时，应结合左心衰竭诊断标准、心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VF,心室扑动与心室颤动,REC-CDSS-VASCD-ARR-VF-01-01-DIAG,疑似心室扑动与心室颤动时，应结合心室扑动与心室颤动诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AFL,心房扑动,REC-CDSS-SVTAFL-ARR-AFL-01-01-DIAG,疑似心房扑动时，应结合心房扑动诊断标准、12导联心电图、动态心电图、电生理检查、甲状腺功能检查等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AFL,心房扑动,REC-CDSS-SVTAFL-ARR-AFL-01-01-DIAG,疑似心房扑动时，应结合心房扑动诊断标准、12导联心电图、动态心电图、电生理检查、甲状腺功能检查等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-01-01-DIAG,疑似心房颤动时，应结合心房颤动诊断标准、12导联心电图、事件记录仪、动态心电图、心脏CT等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-01-01-DIAG,疑似心房颤动时，应结合心房颤动诊断标准、12导联心电图、事件记录仪、动态心电图、心脏CT等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-41BF81CAB3CE,事件记录仪,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗应根据病情严重程度、禁忌证和患者特征选择复律治疗、导管消融、左心耳封堵、β受体阻滞剂、低分子肝素等。,Medication,MED-CARD-STD-0401DB9741,地尔硫卓,,,candidate_conflict,K_DRUG_DICT,False,True,False,candidate_conflict,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗应根据病情严重程度、禁忌证和患者特征选择复律治疗、导管消融、左心耳封堵、β受体阻滞剂、低分子肝素等。,Procedure,PROC-CARD-1AB2CA8618BF,外科迷宫手术,,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AF,心房颤动,REC-CDSS-AF-ARR-AF-03-01-TREAT,心房颤动治疗应根据病情严重程度、禁忌证和患者特征选择复律治疗、导管消融、左心耳封堵、β受体阻滞剂、低分子肝素等。,Procedure,PROC-CARD-E8BB6CCDC727,房室结消融,,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,REC-CDSS-HF-HF-POST-MI-01-01-DIAG,疑似心肌梗死后心力衰竭时，应结合心力衰竭诊断标准、心肌梗死后心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-SCD-SUDDEN,心脏性猝死,REC-CDSS-VASCD-SCD-SUDDEN-01-01-DIAG,疑似心脏性猝死时，应结合心脏性猝死诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-SCD-ARREST,心脏骤停,REC-CDSS-VASCD-SCD-ARREST-01-01-DIAG,疑似心脏骤停时，应结合心脏骤停诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CAD-ACS,急性冠脉综合征,REC-CDSS-CAD-ACS-01-01-ECG-TROP,疑似ACS应优先进行心电图和心肌肌钙蛋白评估。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-AHF,急性心力衰竭,REC-CDSS-HF-HF-AHF-01-01-DIAG,疑似急性心力衰竭时，应结合心力衰竭诊断标准、急性心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-01-01-TEST,慢性冠脉综合征应根据症状和风险选择心电图、负荷试验、冠脉CTA或冠脉造影。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CAD-CCS,慢性冠脉综合征,REC-CDSS-CAD-CCS-02-01-ANTIANGINAL,CCS症状控制可评估β受体阻滞剂、硝酸酯类药物和钙通道阻滞剂。,Medication,MED-CARD-STD-DE220086E9,硝酸甘油,,,candidate_conflict,K_DRUG_DICT,False,True,False,candidate_conflict,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
DIS-CARD-HF-CHF,慢性心力衰竭,REC-CDSS-HF-HF-CHF-01-01-DIAG,疑似慢性心力衰竭时，应结合心力衰竭诊断标准、慢性心力衰竭诊断标准、利钠肽、左心室射血分数、超声心动图进行诊断确认和必要鉴别。,LabItem,EXAM-CARD-01C3182D129E,利钠肽,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVB,房室传导阻滞,REC-CDSS-BRADYAVB-ARR-AVB-01-01-DIAG,疑似房室传导阻滞时，应结合心电图传导阻滞诊断依据、动态心电图、心电图、电生理检查、阿托品试验进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVRT,房室折返性心动过速,REC-CDSS-SVTAFL-ARR-AVRT-01-01-DIAG,疑似房室折返性心动过速时，应结合房室折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVRT,房室折返性心动过速,REC-CDSS-SVTAFL-ARR-AVRT-01-01-DIAG,疑似房室折返性心动过速时，应结合房室折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、超声心动图等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,REC-CDSS-SVTAFL-ARR-AVNRT-01-01-DIAG,疑似房室结折返性心动过速时，应结合房室结折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AVNRT,房室结折返性心动过速,REC-CDSS-SVTAFL-ARR-AVNRT-01-01-DIAG,疑似房室结折返性心动过速时，应结合房室结折返性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AT,房性心动过速,REC-CDSS-SVTAFL-ARR-AT-01-01-DIAG,疑似房性心动过速时，应结合房性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-A80B855C8C77,12导联心电图,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-AT,房性心动过速,REC-CDSS-SVTAFL-ARR-AT-01-01-DIAG,疑似房性心动过速时，应结合房性心动过速诊断标准、12导联心电图、动态心电图、电生理检查、食管心房调搏等进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,Procedure,PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗装置植入术,knowledge_display_only,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-CM-DCM,扩张型心肌病,REC-CDSS-CM-DCM-02-02-DEVICE,DCM经规范治疗后仍有低LVEF或高危心律失常时，应评估ICD或心脏再同步治疗。,Procedure,PROC-ICD,植入式心律转复除颤器置入术,knowledge_display_only,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-01-01-DIAG,疑似持续性室性心动过速时，应结合持续性室性心动过速诊断标准、冠状动脉造影、动态心电图、基因检测、心电图等进行诊断确认和必要鉴别。,LabItem,LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,,,pending_dictionary_registration,K_LAB_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-03-01-TREAT,持续性室性心动过速治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、射频消融治疗、抗心律失常药物治疗、β受体阻滞剂、利多卡因等。,Medication,MED-CARD-0D88ECB6525C,普罗帕酮,,,candidate_conflict,K_DRUG_DICT,False,True,False,candidate_conflict,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-03-01-TREAT,持续性室性心动过速治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、射频消融治疗、抗心律失常药物治疗、β受体阻滞剂、利多卡因等。,Medication,MED-CARD-STD-9146894909,普萘洛尔,,,candidate_conflict,K_DRUG_DICT,False,True,False,candidate_conflict,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。,需要确定具体字典项或新增标准字典项；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-03-01-TREAT,持续性室性心动过速治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、射频消融治疗、抗心律失常药物治疗、β受体阻滞剂、利多卡因等。,Procedure,PROC-CARD-128A6330E583,临时心脏起搏术,,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-VT,持续性室性心动过速,REC-CDSS-VASCD-ARR-VT-03-01-TREAT,持续性室性心动过速治疗应根据病情严重程度、禁忌证和患者特征选择ICD治疗、射频消融治疗、抗心律失常药物治疗、β受体阻滞剂、利多卡因等。,Procedure,PROC-CARD-36488EFD8194,同步直流电复律,,,pending_dictionary_registration,K_OPERATION_HANDLE_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-BBB,束支传导阻滞,REC-CDSS-BRADYAVB-ARR-BBB-01-01-DIAG,疑似束支传导阻滞时，应结合束支传导阻滞诊断标准、心电图、电生理检查进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-SB,窦性心动过缓,REC-CDSS-BRADYAVB-ARR-SB-01-01-DIAG,疑似窦性心动过缓时，应结合窦性心动过缓诊断标准、动态心电图、心电图、电生理检查进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
DIS-CARD-ARR-SND,窦房结功能障碍,REC-CDSS-BRADYAVB-ARR-SND-01-01-DIAG,疑似窦房结功能障碍时，应结合窦房结功能障碍诊断标准、动态心电图、心电图、电生理检查、阿托品试验进行诊断确认和必要鉴别。,ExamItem,EXAM-CARD-85148D8A75A3,心脏电生理检查,,,pending_dictionary_registration,K_EXAM_ITEM_DICT,False,True,False,pending_dictionary_registration,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。,CDSS有效标准字典无候选，需要新增或维护标准字典；未确认前不得下医嘱或回填EMR。
