disease_code,disease_name,node_code,node_name,entity_type,evidence_code,evidence_name,source_name,page,recommendation_level,evidence_level,matched_keywords,match_score,evidence_preview,candidate_count
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-CARD-FULLBOOK-110136BE225E80,急性心肌梗死-氧疗-全书回捞证据-7681-225E80,,,N/A,N/A,"['氧疗', '吸氧', '血氧', '氧饱和度', 'SaO2', '呼吸困难']",190,（二）一般治疗 病人应立即卧床休息，消除紧张情绪和顾虑，保持环境安静，可以应用小剂量镇静剂和抗焦虑药物，约半数病人通过上述处理可减轻或缓解心绞痛。对于有发绀、呼吸困难或其他高危表现的病人，应给予吸氧，监测血氧饱和度，维持 SaO2＞90%。同时积极处理可能引起心肌耗氧量增加的疾病。,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-TB-4355D4D15E34836C0EAD-AMI,《内科学（第10版）》.pdf 第190页证据（SEG-DOC-C0BB559FA2C8448A-190-TB-00008-AMI）,,,,,"['氧疗', '氧饱和度']",150,针对循环系统的监测手段与技术：有创血流动力学监测技术，如动脉置管、深静脉置管、右心漂 浮导管（Swan-Ganz catheter）、脉搏轮廓连续心排血量监测（pulse indicator continuous cardiac output， PiCCO）技术等；无创血流动力学监测技术，如经胸电阻抗法（transthoracic electrical bioimpedance， TEB）、无创心排血量（noninvasive cardiac output，NICO）监测技术,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-6DE104E8618B31BAE74E-AMI,《内科学（第10版）》.pdf 第155页证据（SEG-DOC-C0BB559FA2C8448A-155-GL-00007-AMI）,,,,,['氧疗'],140,4.  血气分析  可出现低氧血症甚至呼吸衰竭或合并高碳酸血症。 5.  血液化验  红细胞及血红蛋白可升高。全血黏度及血浆黏度可增加，红细胞电泳时间常延 长。心功能不全时可伴有肾功能或肝功能异常。 6.  其他  痰病原学检查可以指导抗生素的选用。早期或缓解期慢性肺心病可行肺功能检查评价。 【诊断】 根据病人有慢阻肺病或慢性支气管炎、肺气肿病史，或其他胸肺疾病病史，并出现肺动 脉压增高、右心室增大或右心功能不全的征象，如颈静脉怒张、P2＞A2、剑突下心脏搏动增强、肝大压 痛,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-8D91E281B0419B978A87-AMI,NSTE-ACS CN 2024.pdf 第11页证据（SEG-DOC-223D946BFCBBE084-11-GL-00051-AMI）,,,,,['氧疗'],140,组中合并发生率没有显著差异［107］。                       在MASTER‑DAPT 研究中，短DAPT 个月时   三、合并口服抗凝药物（oral anticoagulant，   口服OAC 的患者（约占36%）在PCI 术后6 停用抗血小板药，其临床净获益优于常规治疗OAC）治疗患者的处理 研究入选稳定冠心病合并心房颤动  正在接受长期OAC 的患者，在有创诊治过程   组［72］。AFIRE 中应考虑不中断OAC治疗（Ⅱa，C）。       ,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-FULLBOOK-BBA9C43055,氧疗,TreatmentPlan,EVD-TB-6DE104E8618B31BAE74E-AMI,《内科学（第10版）》.pdf 第155页证据（SEG-DOC-C0BB559FA2C8448A-155-TB-00006-AMI）,,,,,['氧疗'],140,4.  血气分析  可出现低氧血症甚至呼吸衰竭或合并高碳酸血症。 5.  血液化验  红细胞及血红蛋白可升高。全血黏度及血浆黏度可增加，红细胞电泳时间常延 长。心功能不全时可伴有肾功能或肝功能异常。 6.  其他  痰病原学检查可以指导抗生素的选用。早期或缓解期慢性肺心病可行肺功能检查评价。 【诊断】 根据病人有慢阻肺病或慢性支气管炎、肺气肿病史，或其他胸肺疾病病史，并出现肺动 脉压增高、右心室增大或右心功能不全的征象，如颈静脉怒张、P2＞A2、剑突下心脏搏动增强、肝大压 痛,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-3F9A9CEAE20ED79F1757-AMI,CCS CN 2024.pdf 第13页证据（SEG-DOC-0CFCD79F003BFB93-13-GL-00089-AMI）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG', '旁路移植']",190,患者或最佳治疗策略尚未明确的患者，建议心脏团队干预，以改善患者对合并复杂三支血管病变的CCS                                   Ⅰ          B   预后［146］ 适合行CABG，且合并糖尿病和累及左前降支的多支血管病变的患者，推荐CABG 优于PCI，可降低死亡率   Ⅰ          A  和需要再次行血运重建的风险［136，147］ 有严重左主干病变或多支血管病变伴严重左心室功能障碍（LVEF≤35%）的CCS患者，建议行,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-9026084AAFE2F2D35B98-AMI,经皮冠状动脉介入治疗指南（2025）.pdf 第4页证据（SEG-DOC-99DE8941F1F5EDF3-4-GL-00011-AMI）,,,,,"['血运重建', '再灌注', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",190,中心，    表2 稳定性冠心病患者冠状动脉血运重建（PCI或     或住院期间PCI；非高危者，建议转运至PCI CABG）策略推荐意见           住院期间或择期行PCI或CABG，或药物保守治疗。 PCI                                         CABG 推荐                      证据 推荐                            证据      三、急性ST 段抬高型心肌梗死（ST⁃,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-0FD2E1A1C41C63483397-AMI,经皮冠状动脉介入治疗指南（2025）.pdf 第5页证据（SEG-DOC-99DE8941F1F5EDF3-5-GL-00025-AMI）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,我国新近研究还显      STEMI 时，均应接受急诊冠状动脉造影，对有适应证的    示，急性冠脉综合征（acute coronary syndrome，ACS）            不可行或失败且有大                                                更大，能 患者行直接PCI。直接PCI                                患者运用IVUS 指导PCI 得到的支架MLA 面积心肌受累，或合并机械性,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-128E4B4199E04C7C8C9D-AMI,冠心病双联抗血小板治疗中国专家共识.pdf 第12页证据（SEG-DOC-AFBC49A750345874-12-GL-00076-AMI）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG']",180,年龄<75 岁的STEMI 静脉溶栓患者，如缺血风险  Ⅱb    B                                       较高或后续拟行PCI，可考虑在溶栓48 h后在阿             指南的观点：在所有      司匹林基础上给予替格瑞洛（180                                                     mg负荷剂量，   本共识同意2020 年ESC                     ,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-38E61728955CF1291520-AMI,《内科学（第10版）》.pdf 第272页证据（SEG-DOC-C0BB559FA2C8448A-272-GL-00074-AMI）,,,,,"['血运重建', 'PCI', '介入治疗', 'CABG', '旁路移植']",180,义，如有缺血证据的病变（FFR 或QFR＜0.80）亦可考虑介入治疗。 （2）  冠状动脉旁路移植术（coronary artery bypass graft，CABG）：CABG 通过取病人自身的大隐静 脉、桡动脉作为旁路移植材料，一端吻合在主动脉，另一端吻合在病变冠脉段的远端；也可游离左内乳 动脉与病变前降支远端吻合，改善病变冠脉分布心肌的血流供应。术后明显改善心绞痛症状和提高 病人生活质量。相对来说，CABG 术创伤较大，虽然随手术技能及器械等方面的改进，成功率已大大 ,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-699EC0CE99CC50735828-AMI,《内科学（第10版）》.pdf 第303页证据（SEG-DOC-C0BB559FA2C8448A-303-GL-00187-AMI）,,,,,"['降压治疗', '降压', '血压', '高血压', '收缩压']",180,应控制在＜180/110mmHg。急性脑出血的降压治疗：收缩压＞220mmHg 时，应积极使用静脉降压药 物降低血压。病人收缩压＞180mmHg 时，可使用静脉降压药物控制血压，160/90mmHg 可作为参考的 降压目标值。对于稳定期病人，降压治疗目的是减少脑卒中再发。对老年病人、双侧或颅内动脉严重 狭窄者及严重直立性低血压病人，应该慎重进行降压治疗，降压过程应缓慢、平稳，最好不减少脑血 流量。对于心肌梗死和心力衰竭病人合并高血压，首先考虑选择ACEI 或ARB 和β受体拮,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-TB-699EC0CE99CC50735828-AMI,《内科学（第10版）》.pdf 第303页证据（SEG-DOC-C0BB559FA2C8448A-303-TB-00156-AMI）,,,,,"['降压治疗', '降压', '血压', '高血压', '收缩压']",180,应控制在＜180/110mmHg。急性脑出血的降压治疗：收缩压＞220mmHg 时，应积极使用静脉降压药 物降低血压。病人收缩压＞180mmHg 时，可使用静脉降压药物控制血压，160/90mmHg 可作为参考的 降压目标值。对于稳定期病人，降压治疗目的是减少脑卒中再发。对老年病人、双侧或颅内动脉严重 狭窄者及严重直立性低血压病人，应该慎重进行降压治疗，降压过程应缓慢、平稳，最好不减少脑血 流量。对于心肌梗死和心力衰竭病人合并高血压，首先考虑选择ACEI 或ARB 和β受体拮,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-82D3FDFEDE71FE5472CC-AMI,NSTE-ACS CN 2024.pdf 第17页证据（SEG-DOC-223D946BFCBBE084-17-GL-00079-AMI）,,,,,"['降压治疗', '降压', '血压', '高血压']",170,不明原因心肌损伤        CMR 经食管超声心动图         复发的独立影响因子，所以应     心脏血栓栓塞由于高血压是SCAD                                  心脏外伤                                               病史及相关检验 受体积极降压治疗，以确保血压处于最佳水平。β        过度运动         病史及相关检验 阻滞剂可以降低局部冠状动脉的剪切应力，从而减 心脏,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-A1474429CA6B7E61A6F4-AMI,《内科学（第10版）》.pdf 第381页证据（SEG-DOC-C0BB559FA2C8448A-381-GL-00219-AMI）,,,,,"['降压治疗', '降压', '血压', '高血压']",170,糖尿病（本节主要探讨2 型糖尿病）与高血压关系十分密切。我国约55% 的糖尿病病人合并高 血压，而高血压病人中糖尿病的患病率约为24%。糖尿病明显增加高血压发病风险，而高血压显著增 加其心脑血管疾病事件风险。因此，对高血压和糖尿病进行共病管理对于降低心脑血管疾病风险尤 为重要。 【发病机制】 主要与肾素 - 血管紧张素 - 醛固酮系统（RAAS）过度激活、线粒体功能紊乱、慢性炎 症等有密切的关系。 1.  RAAS 过度激活  高血糖和胰岛素抵抗可引发RAAS 过度激活，使血,5
DIS-CARD-CAD-AMI,急性心肌梗死,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-B9B303B0E1B921BC095F-AMI,2018 STEMI院前溶栓治疗中国专家共识.pdf 第5页证据（SEG-DOC-866065446A7A5F65-5-GL-00030-AMI）,,,,,"['降压治疗', '降压', '血压', '高血压']",170,对于长期服用阿司匹林的患者， 除外） （7）明确、高度怀疑或不能排除主动脉夹层     否□ 是□   再追加150 mg。在阿司匹林基础上，所有溶栓患 （8）感染性心内膜炎               否□ 是□   者均应口服300 mg 负荷剂量氯吡格雷（维持剂量 （9）高血压患者经积极降压治疗后，血压仍≥180/110 mmHg 者                         否□ 是□     75 mg，每日1 次） [3-5] 或180 mg 替格瑞洛（维持,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-87D65B5399DEDD,动脉粥样硬化-血运重建-教材证据-8131-99DEDD,,,N/A,N/A,"['血运重建', '再灌注', 'PCI']",160,【预后】 与梗死范围大小、侧支循环产生情况以及治疗是否及时等有关。AMI 相关的死亡一半发生于送到医院前，其中院外死亡中相当高的比例为猝死。因心脏监护室、现代药物治疗进展和再灌注治疗等综合措施的使用，AMI 病人的住院死亡率已经由以往的 30% 降低到目前直接 PCI 中心的 4% 左右。死亡多发生在第一周内，尤其在数小时内，发生严重心律失常、休克或心衰者，病死率尤高。,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-FULLBOOK-87D65B5399DEDD,动脉粥样硬化-血运重建-全书回捞证据-8131-99DEDD,,,N/A,N/A,"['血运重建', '再灌注', 'PCI']",160,【预后】 与梗死范围大小、侧支循环产生情况以及治疗是否及时等有关。AMI 相关的死亡一半发生于送到医院前，其中院外死亡中相当高的比例为猝死。因心脏监护室、现代药物治疗进展和再灌注治疗等综合措施的使用，AMI 病人的住院死亡率已经由以往的 30% 降低到目前直接 PCI 中心的 4% 左右。死亡多发生在第一周内，尤其在数小时内，发生严重心律失常、休克或心衰者，病死率尤高。,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-01177DC3947535,动脉粥样硬化-脑卒中-教材证据-8355-947535,,,N/A,N/A,['血运重建'],140,● 高血压（1～3 级） ● 年龄＞55 岁（男性）；＞65 岁（女性） ● 吸烟或被动吸烟 ● 糖耐量受损和 / 或空腹血糖受损 ● 血脂异常 TC≥5.2mmol/L（200mg/dl） 或 LDL-C＞3.4mmol/L（130mg/dl）或 HDL-C＜1.0mmol/L（40mg/dl） ● 早发心血管病家族史（一级亲属发病年龄＜50 岁） ● 腹型肥胖（腰围：男性≥90cm，女性≥85cm）或肥胖（BMI≥ 28kg/m2） ● 血同型半胱氨酸升高( ≥10μmo,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-05CF106070997F,动脉粥样硬化-冠状动脉CTA-教材证据-7239-70997F,,,N/A,N/A,['血运重建'],140,致器官的缺血。结合形态学和功能学的评估指导治疗方案的确定，包括血运重建（介入或外科治疗）的适应证和手术方法。超声可发现体表动脉如颈动脉、下肢动脉壁的斑块，多普勒超声检查有助于判断血流情况。X 线检查可发现主动脉增宽、主动脉结突出、管壁钙化等。CT 血管造影（CTA）和磁共振显像血管造影（MRA）无创显像动脉粥样硬化病变。结合无创影像技术的功能学方法，例如基于CTA 的冠状动脉血流储备分数（CT-FFR）可评估器官缺血程度。心电图、超声心动图、放射性核素和负荷试验结果所示的特征,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-CARD-DEEP-1A8C7847389EE8,动脉粥样硬化-血运重建-教材证据-7275-389EE8,,,N/A,N/A,['血运重建'],140,（三）介入和外科手术 对于狭窄或闭塞血管，特别是冠状动脉、肾动脉和四肢动脉，可通过介入或外科手段进行血运重建，以恢复动脉供血。,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-CARD-DEEP-25BE96FCA22771,动脉粥样硬化-动脉粥样硬化-教材证据-8567-A22771,,,N/A,N/A,"['降压治疗', '降压', '血压', '高血压']",170,1. 假性难治性高血压 由于血压测量错误、“白大衣现象”或治疗依从性差等导致。血压测量错误包括袖带大小不合适，袖带置于有弹性阻力的衣服外面、放气速度过快、听诊器置于袖带内、在听诊器上向下压力较大。假性难治性高血压可发生在广泛动脉粥样硬化和钙化的老年人，测量肱动脉血压时需要比硬化的动脉腔内压更高的袖带压力方能阻断血流。以下情况应怀疑假性高血压：血压明显升高而无靶器官损害；降压治疗后在无血压过度下降时产生明显的头晕、乏力等低血压症状；肱动脉处有钙化证据；肱动脉血压高于下肢动脉血压,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-CARD-DEEP-9ED6CE1AB14352,动脉粥样硬化-降压治疗-教材证据-8567-B14352,,,N/A,N/A,"['降压治疗', '降压', '血压', '高血压']",170,1. 假性难治性高血压 由于血压测量错误、“白大衣现象”或治疗依从性差等导致。血压测量错误包括袖带大小不合适，袖带置于有弹性阻力的衣服外面、放气速度过快、听诊器置于袖带内、在听诊器上向下压力较大。假性难治性高血压可发生在广泛动脉粥样硬化和钙化的老年人，测量肱动脉血压时需要比硬化的动脉腔内压更高的袖带压力方能阻断血流。以下情况应怀疑假性高血压：血压明显升高而无靶器官损害；降压治疗后在无血压过度下降时产生明显的头晕、乏力等低血压症状；肱动脉处有钙化证据；肱动脉血压高于下肢动脉血压,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-CARD-DEEP-B7EA63698F2745,动脉粥样硬化-头晕-教材证据-8567-8F2745,,,N/A,N/A,"['降压治疗', '降压', '血压', '高血压']",170,1. 假性难治性高血压 由于血压测量错误、“白大衣现象”或治疗依从性差等导致。血压测量错误包括袖带大小不合适，袖带置于有弹性阻力的衣服外面、放气速度过快、听诊器置于袖带内、在听诊器上向下压力较大。假性难治性高血压可发生在广泛动脉粥样硬化和钙化的老年人，测量肱动脉血压时需要比硬化的动脉腔内压更高的袖带压力方能阻断血流。以下情况应怀疑假性高血压：血压明显升高而无靶器官损害；降压治疗后在无血压过度下降时产生明显的头晕、乏力等低血压症状；肱动脉处有钙化证据；肱动脉血压高于下肢动脉血压,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-CARD-DEEP-B8D9C933551B7B,动脉粥样硬化-高血压-教材证据-8567-551B7B,,,N/A,N/A,"['降压治疗', '降压', '血压', '高血压']",170,1. 假性难治性高血压 由于血压测量错误、“白大衣现象”或治疗依从性差等导致。血压测量错误包括袖带大小不合适，袖带置于有弹性阻力的衣服外面、放气速度过快、听诊器置于袖带内、在听诊器上向下压力较大。假性难治性高血压可发生在广泛动脉粥样硬化和钙化的老年人，测量肱动脉血压时需要比硬化的动脉腔内压更高的袖带压力方能阻断血流。以下情况应怀疑假性高血压：血压明显升高而无靶器官损害；降压治疗后在无血压过度下降时产生明显的头晕、乏力等低血压症状；肱动脉处有钙化证据；肱动脉血压高于下肢动脉血压,5
DIS-CARD-CAD-ATHEROSCLEROSIS,动脉粥样硬化,PLAN-CARD-TEXT-BDE62A3BE0,降压治疗,TreatmentPlan,EVD-CARD-DEEP-E8D1CC16D615BE,动脉粥样硬化-低血压-教材证据-8567-D615BE,,,N/A,N/A,"['降压治疗', '降压', '血压', '高血压']",170,1. 假性难治性高血压 由于血压测量错误、“白大衣现象”或治疗依从性差等导致。血压测量错误包括袖带大小不合适，袖带置于有弹性阻力的衣服外面、放气速度过快、听诊器置于袖带内、在听诊器上向下压力较大。假性难治性高血压可发生在广泛动脉粥样硬化和钙化的老年人，测量肱动脉血压时需要比硬化的动脉腔内压更高的袖带压力方能阻断血流。以下情况应怀疑假性高血压：血压明显升高而无靶器官损害；降压治疗后在无血压过度下降时产生明显的头晕、乏力等低血压症状；肱动脉处有钙化证据；肱动脉血压高于下肢动脉血压,5
DIS-CARD-CAD-CCS,慢性冠脉综合征,PLAN-CARD-TEXT-EEF9C97B59,血运重建,TreatmentPlan,EVD-3F9A9CEAE20ED79F1757-CCS,CCS CN 2024.pdf 第13页证据（SEG-DOC-0CFCD79F003BFB93-13-GL-00090-CCS）,,,,,"['血运重建', 'PCI', '介入治疗', '冠状动脉介入', 'CABG', '旁路移植']",190,患者或最佳治疗策略尚未明确的患者，建议心脏团队干预，以改善患者对合并复杂三支血管病变的CCS                                   Ⅰ          B   预后［146］ 适合行CABG，且合并糖尿病和累及左前降支的多支血管病变的患者，推荐CABG 优于PCI，可降低死亡率   Ⅰ          A  和需要再次行血运重建的风险［136，147］ 有严重左主干病变或多支血管病变伴严重左心室功能障碍（LVEF≤35%）的CCS患者，建议行,5
