kg_node_code,kg_node_name,target_table,recommended_action,normalized_name,classification_reason
EXAM-CARD-41BF81CAB3CE,事件记录仪,K_EXAM_ITEM_DICT,候选注册,事件记录仪,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
CARD-SKELETON-FULL-20260709-EXAM-40BD433C71F71D08,光学相干断层扫描,K_EXAM_ITEM_DICT,候选注册,光学相干断层扫描,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-STEMI-43AF84ECFEAC,单光子发射计算机断层显像,K_EXAM_ITEM_DICT,候选注册,单光子发射计算机断层显像,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-FE5579C751A4,右心导管检查,K_EXAM_ITEM_DICT,候选注册,右心导管检查,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-GENETIC,基因检测,K_EXAM_ITEM_DICT,候选注册,基因检测,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-009841714F76,家庭血压监测,K_EXAM_ITEM_DICT,候选注册,家庭血压监测,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-EMB,心内膜心肌活检,K_EXAM_ITEM_DICT,候选注册,心内膜心肌活检,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-ECG,心电图,K_EXAM_ITEM_DICT,候选注册,心电图,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-TEXT-8AF3973EB6,心脏导管检查,K_EXAM_ITEM_DICT,候选注册,心脏导管检查,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-85148D8A75A3,心脏电生理检查,K_EXAM_ITEM_DICT,候选注册,心脏电生理检查,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CMR,心脏磁共振,K_EXAM_ITEM_DICT,候选注册,心脏磁共振,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-F6169EE9D82C,植入式心电监测,K_EXAM_ITEM_DICT,候选注册,植入式心电监测,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-STEMI-71B00278E585,正电子发射断层显像,K_EXAM_ITEM_DICT,候选注册,正电子发射断层显像,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-FDECC92EDFB7,睡眠呼吸监测,K_EXAM_ITEM_DICT,候选注册,睡眠呼吸监测,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-TEXT-8633D5B324,磁共振成像,K_EXAM_ITEM_DICT,候选注册,磁共振成像,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-TEE,经食管超声心动图,K_EXAM_ITEM_DICT,候选注册,经食管超声心动图,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-FULLBOOK-FED1A8ECF0,肺通气/灌注显像,K_EXAM_ITEM_DICT,候选注册,肺通气/灌注显像,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-7611BF5653DB,肾上腺CT,K_EXAM_ITEM_DICT,候选注册,肾上腺CT,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-D9EE1FF4CE81,肾上腺静脉采血,K_EXAM_ITEM_DICT,候选注册,肾上腺静脉采血,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-AA7D75430BA0,肾动脉超声,K_EXAM_ITEM_DICT,候选注册,肾动脉超声,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-TEXT-BE9C2270C9,胸部X线检查,K_EXAM_ITEM_DICT,候选注册,胸部X线检查,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-CHEST-IMAGING-CDSS,胸部影像学检查,K_EXAM_ITEM_DICT,候选注册,胸部影像学检查,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
CARD-SKELETON-20260709-EXAM-652809DC86CBF5A2,血管内超声,K_EXAM_ITEM_DICT,候选注册,血管内超声,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-FULLBOOK-27900FDADC,血管超声,K_EXAM_ITEM_DICT,候选注册,血管超声,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
CARD-SKELETON-20260709-EXAM-4974BA875B54084B,计算机断层扫描,K_EXAM_ITEM_DICT,候选注册,计算机断层扫描,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-1F526A303B77,诊室血压测量,K_EXAM_ITEM_DICT,候选注册,诊室血压测量,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-TTE,超声心动图,K_EXAM_ITEM_DICT,候选注册,超声心动图,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-241B4B0218DF,运动负荷试验,K_EXAM_ITEM_DICT,候选注册,运动负荷试验,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-90DB0CAFC311,食管心房调搏,K_EXAM_ITEM_DICT,候选注册,食管心房调搏,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
IND-EXAM-TTE-左室射血分数,左室射血分数,K_EXAM_OBSERVATION_DICT,候选注册,左室射血分数,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
IND-EXAM-CARD-09DFFB573658-延迟钆增强,延迟钆增强,K_EXAM_OBSERVATION_DICT,候选注册,延迟钆增强,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
EXAM-CARD-01C3182D129E,利钠肽,K_LAB_ITEM_DICT,候选注册,利钠肽,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-CADCD76D40B9,心肌损伤标志物,K_LAB_ITEM_DICT,候选注册,心肌损伤标志物,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARDIAC-BIOMARKERS,心脏生物标志物检测,K_LAB_ITEM_DICT,候选注册,心脏生物标志物检测,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-23D1E86AB4BE,甲状腺功能,K_LAB_ITEM_DICT,候选注册,甲状腺功能,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,K_LAB_ITEM_DICT,候选注册,电解质,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-TEXT-07B39C98F1,肾功能,K_LAB_ITEM_DICT,候选注册,肾功能,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-RENAL-ELECTROLYTE-CDSS,肾功能与电解质,K_LAB_ITEM_DICT,候选注册,肾功能与电解质,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-TEXT-48E9A64933,血培养,K_LAB_ITEM_DICT,候选注册,血培养,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LAB-CARD-C59B64C19ADD,血脂,K_LAB_ITEM_DICT,候选注册,血脂,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LABIND-EXAM-CARD-01C3182D129E-BNP,BNP,K_LAB_SUBITEM_DICT,候选注册,BNP,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
IND-NT-PROBNP,N末端B型利钠肽原,K_LAB_SUBITEM_DICT,候选注册,N末端B型利钠肽原,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
IND-CARD-F253DB167E81,估算肾小球滤过率,K_LAB_SUBITEM_DICT,候选注册,估算肾小球滤过率,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LABIND-EXAM-HT-CKD-EGFR-UACR-尿白蛋白肌酐比值,尿白蛋白肌酐比值,K_LAB_SUBITEM_DICT,候选注册,尿白蛋白肌酐比值,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
LABIND-LAB-CARD-RENAL-ELECTROLYTE-CDSS-血钠,血钠,K_LAB_SUBITEM_DICT,候选注册,血钠,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STEMI-22FF7F0E7C5A,伊伐布雷定,K_DRUG_DICT,候选注册,伊伐布雷定,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-75C23ADDCA3A,伊布利特,K_DRUG_DICT,候选注册,伊布利特,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-PH-E052CF930EC2,伊洛前列素,K_DRUG_DICT,候选注册,伊洛前列素,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-PH-7C5AD3FC1357,依前列醇,K_DRUG_DICT,候选注册,依前列醇,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-31AF701C4FDE,依普利酮,K_DRUG_DICT,候选注册,依普利酮,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-FE9616A928,依那普利,K_DRUG_DICT,候选注册,依那普利,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-0E77096BF3B6,决奈达隆,K_DRUG_DICT,候选注册,决奈达隆,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-38524B4E5194,利伐沙班,K_DRUG_DICT,候选注册,利伐沙班,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-81B5F958C0F3,华法林,K_DRUG_DICT,候选注册,华法林,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STEMI-227F3A66140F,去甲肾上腺素,K_DRUG_DICT,候选注册,去甲肾上腺素,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STEMI-75149079D7F4,吗啡,K_DRUG_DICT,候选注册,吗啡,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STEMI-7DE6E08B5D55,哌替啶,K_DRUG_DICT,候选注册,哌替啶,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-0401DB9741,地尔硫卓,K_DRUG_DICT,候选注册,地尔硫卓,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-62498B0FBD,地高辛,K_DRUG_DICT,候选注册,地高辛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-12D6A674C1C7,坎地沙坦,K_DRUG_DICT,候选注册,坎地沙坦,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-4E3948E735,培哚普利,K_DRUG_DICT,候选注册,培哚普利,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-444827C26766,多巴胺,K_DRUG_DICT,候选注册,多巴胺,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STEMI-D731BC63E9D4,多巴酚丁胺,K_DRUG_DICT,候选注册,多巴酚丁胺,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-74936DD4D485,奎尼丁,K_DRUG_DICT,候选注册,奎尼丁,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-3D43C06FF87E,尼卡地平,K_DRUG_DICT,候选注册,尼卡地平,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-669F94E52F61,异丙肾上腺素,K_DRUG_DICT,候选注册,异丙肾上腺素,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-A23B05CA19,恩格列净,K_DRUG_DICT,候选注册,恩格列净,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-9898EF617690,拉贝洛尔,K_DRUG_DICT,候选注册,拉贝洛尔,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-6B98598B0E,普拉格雷,K_DRUG_DICT,候选注册,普拉格雷,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-0D88ECB6525C,普罗帕酮,K_DRUG_DICT,候选注册,普罗帕酮,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-9146894909,普萘洛尔,K_DRUG_DICT,候选注册,普萘洛尔,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-A49408D27901,普通肝素,K_DRUG_DICT,候选注册,普通肝素,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-E18CD9A11409,替奈普酶,K_DRUG_DICT,候选注册,替奈普酶,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-E03DF8E3FD,替格瑞洛,K_DRUG_DICT,候选注册,替格瑞洛,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-E2FA200428,替罗非班,K_DRUG_DICT,候选注册,替罗非班,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-68380EE96C,比索洛尔,K_DRUG_DICT,候选注册,比索洛尔,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-66202C12C872,氟卡尼,K_DRUG_DICT,候选注册,氟卡尼,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-3376F036EC,氨氯地平,K_DRUG_DICT,候选注册,氨氯地平,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-9BB6ABC99A,氯吡格雷,K_DRUG_DICT,候选注册,氯吡格雷,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-AB4975A147,氯沙坦,K_DRUG_DICT,候选注册,氯沙坦,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-C76A8D478BBC,沙库巴曲缬沙坦,K_DRUG_DICT,候选注册,沙库巴曲缬沙坦,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-33F1AFB382DE,瑞替普酶,K_DRUG_DICT,候选注册,瑞替普酶,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-78DD48EF71,瑞舒伐他汀,K_DRUG_DICT,候选注册,瑞舒伐他汀,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-DE220086E9,硝酸甘油,K_DRUG_DICT,候选注册,硝酸甘油,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-F50DC811465A,索他洛尔,K_DRUG_DICT,候选注册,索他洛尔,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-C685CE7163,维拉帕米,K_DRUG_DICT,候选注册,维拉帕米,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-1691342E51,美托洛尔,K_DRUG_DICT,候选注册,美托洛尔,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-AMIODARONE,胺碘酮,K_DRUG_DICT,候选注册,胺碘酮,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-PH-980E71EA9FFC,西地那非,K_DRUG_DICT,候选注册,西地那非,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-PH-19133377BBC6,贝前列素,K_DRUG_DICT,候选注册,贝前列素,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-F061E1CD48,贝那普利,K_DRUG_DICT,候选注册,贝那普利,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-3B4D860E5C,达格列净,K_DRUG_DICT,候选注册,达格列净,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-68E5765B76ED,达比加群酯,K_DRUG_DICT,候选注册,达比加群酯,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-062BA3732EF1,链激酶,K_DRUG_DICT,候选注册,链激酶,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-4FB23383386F,阿加糖酶α,K_DRUG_DICT,候选注册,阿加糖酶α,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-B89F68FD48F2,阿加糖酶β,K_DRUG_DICT,候选注册,阿加糖酶β,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-FC4A5B5D6C12,阿哌沙班,K_DRUG_DICT,候选注册,阿哌沙班,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-ATORVASTATIN,阿托伐他汀,K_DRUG_DICT,候选注册,阿托伐他汀,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-STD-5AB035E285,阿昔单抗,K_DRUG_DICT,候选注册,阿昔单抗,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
MED-CARD-9AE886A62E58,阿替普酶,K_DRUG_DICT,候选注册,阿替普酶,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-7FE0AC763703,Valsalva动作,K_TREATMENT_DICT,候选注册,Valsalva动作,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-D44A6EDF0647,减重,K_TREATMENT_DICT,候选注册,减重,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-8D443B13A42F,可穿戴式除颤器,K_TREATMENT_DICT,候选注册,可穿戴式除颤器,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-7E3CF22F4DF0,戒烟限酒,K_TREATMENT_DICT,候选注册,戒烟限酒,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-F1B0B84C6369,氧疗,K_TREATMENT_DICT,候选注册,氧疗,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-F25D5945465C,起搏器程控,K_TREATMENT_DICT,候选注册,起搏器程控,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
PROC-CARD-B13C58DD2614,颈动脉窦按摩,K_TREATMENT_DICT,候选注册,颈动脉窦按摩,通过标题污染、疾病壳、推理句和药物类别初筛，进入同类批量确认。
SYM-CARD-TEXT-CBB30EA0F1,发热,K_SYMPTOM_DICT,选择唯一标准记录,发热,现有Oracle存在多个候选，必须明确选择、暂缓或退回治理。
SYM-CARD-1053F19CEBAD,恶心呕吐,K_SYMPTOM_DICT,选择唯一标准记录,恶心呕吐,现有Oracle存在多个候选，必须明确选择、暂缓或退回治理。
SYM-CARD-D1779C268ED5,意识障碍,K_SYMPTOM_DICT,选择唯一标准记录,意识障碍,现有Oracle存在多个候选，必须明确选择、暂缓或退回治理。
MED-CARD-7717331EF136,肝素,K_DRUG_DICT,核对具体制剂或药品通用名,肝素,简称可能对应不同盐型、制剂或药品记录，不能由名称直接自动合并。
