disease_code,disease_name,lab_code,lab_name,indicator_count,evidence_count,nonempty_evidence_count,indicators,indicator_code,indicator_name,evidence_code,source_file_name,evidence_text
DIS-CARD-ARR-AT,房性心动过速,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,0,15,0,[],IND-CARD-LAB-ELECTROLYTE-ABNORMAL,电解质异常,EVI-CARD-LABBACKFILL-B792011C1B04E2CED1,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-AT,房性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-AVB,房室传导阻滞,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,0,15,0,[],IND-CARD-LAB-ELECTROLYTE-ABNORMAL,电解质异常,EVI-CARD-LABBACKFILL-B792011C1B04E2CED1,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-AVB,房室传导阻滞,LAB-CARD-TEXT-D983BB0EFF,血脂检查,1,0,0,['低密度脂蛋白胆固醇升高'],IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,EVI-CARD-LABBACKFILL-556C21D1AA8BF59D2B,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-ERS,早期复极综合征,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-LQTS,长QT间期综合征,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-LQTS,长QT间期综合征,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,0,0,0,[],IND-CARD-LAB-ABG-ABNORMAL,动脉血气异常,EVI-CARD-LABBACKFILL-09C17E4A3894569F41,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PSVT,阵发性室上性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PVC,室性期前收缩,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,0,15,0,[],IND-CARD-LAB-ELECTROLYTE-ABNORMAL,电解质异常,EVI-CARD-LABBACKFILL-B792011C1B04E2CED1,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-768E5070F6,脑钠肽,0,0,0,[],IND-CARD-LAB-BNP-ELEVATED,BNP升高,EVI-CARD-LABBACKFILL-6A651A73B7BA6CADAF,心力衰竭（县医院适用版）.docx,根据《ACC/AHA美国成人心力衰竭诊断与治疗指南》(2013修订版），《中国心力衰竭诊断和治疗指南2014》，《欧洲急慢性心力衰竭临床诊疗指南》(2016修订版）。 左室射血分数（LVEF）降低性心力衰竭诊断主要依据：①LVEF≤40%；②有心力衰竭典型症状如气短、乏力、夜间咳嗽、劳力性呼吸困难、夜间阵发性呼吸困难、踝部水肿；以及典型体征如颈静脉怒张，肺部啰音、第三心音奔马律，肝颈静脉反流征阳性以及双下肢水肿等；③NT-proBNP或BNP升高。 LVEF保留性心力衰竭诊断主要依据：①LVEF≥50%，且左心室不大；②有典型心力衰竭的症状和体征；③有相关结构性心脏病存在的证据（如左心室肥厚、左心房扩大）和（或）舒张功能不全；④超声心动图检查无心瓣膜病，并可排除心包疾病、肥厚型心肌病、限制性（浸润性）心肌病等；⑤NT-proBNP或BNP升高。
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-PVC,室性期前收缩,LAB-CARD-TEXT-D983BB0EFF,血脂检查,1,0,0,['低密度脂蛋白胆固醇升高'],IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,EVI-CARD-LABBACKFILL-556C21D1AA8BF59D2B,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,0,0,0,[],IND-CARD-LAB-ABG-ABNORMAL,动脉血气异常,EVI-CARD-LABBACKFILL-09C17E4A3894569F41,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VF,心室扑动与心室颤动,CARD-SKELETON-20260709-LABTEST-8E96DA78BC099DF8,电解质,0,15,0,[],IND-CARD-LAB-ELECTROLYTE-ABNORMAL,电解质异常,EVI-CARD-LABBACKFILL-B792011C1B04E2CED1,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VF,心室扑动与心室颤动,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,0,0,0,[],IND-CARD-LAB-ABG-ABNORMAL,动脉血气异常,EVI-CARD-LABBACKFILL-09C17E4A3894569F41,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-ARR-VT,持续性室性心动过速,LAB-CARD-TEXT-D983BB0EFF,血脂检查,1,0,0,['低密度脂蛋白胆固醇升高'],IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,EVI-CARD-LABBACKFILL-556C21D1AA8BF59D2B,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-FULLBOOK-5CE99AF138,动脉血气分析,0,0,0,[],IND-CARD-LAB-ABG-ABNORMAL,动脉血气异常,EVI-CARD-LABBACKFILL-09C17E4A3894569F41,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-TEXT-768E5070F6,脑钠肽,0,0,0,[],IND-CARD-LAB-BNP-ELEVATED,BNP升高,EVI-CARD-LABBACKFILL-6A651A73B7BA6CADAF,心力衰竭（县医院适用版）.docx,根据《ACC/AHA美国成人心力衰竭诊断与治疗指南》(2013修订版），《中国心力衰竭诊断和治疗指南2014》，《欧洲急慢性心力衰竭临床诊疗指南》(2016修订版）。 左室射血分数（LVEF）降低性心力衰竭诊断主要依据：①LVEF≤40%；②有心力衰竭典型症状如气短、乏力、夜间咳嗽、劳力性呼吸困难、夜间阵发性呼吸困难、踝部水肿；以及典型体征如颈静脉怒张，肺部啰音、第三心音奔马律，肝颈静脉反流征阳性以及双下肢水肿等；③NT-proBNP或BNP升高。 LVEF保留性心力衰竭诊断主要依据：①LVEF≥50%，且左心室不大；②有典型心力衰竭的症状和体征；③有相关结构性心脏病存在的证据（如左心室肥厚、左心房扩大）和（或）舒张功能不全；④超声心动图检查无心瓣膜病，并可排除心包疾病、肥厚型心肌病、限制性（浸润性）心肌病等；⑤NT-proBNP或BNP升高。
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-TEXT-43D8A5AEE4,血糖,0,11,0,[],IND-CARD-LAB-GLUCOSE-ABNORMAL,血糖异常,EVI-CARD-LABBACKFILL-835C248B01540CF22F,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-ACS,急性冠脉综合征,LAB-CARD-TEXT-D983BB0EFF,血脂检查,1,0,0,['低密度脂蛋白胆固醇升高'],IND-CARD-LAB-LIPID-ABNORMAL,血脂异常,EVI-CARD-LABBACKFILL-556C21D1AA8BF59D2B,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-AMI,急性心肌梗死,LAB-CARD-CADREM-AMI-07B39C98F1,肾功能,0,1,1,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
DIS-CARD-CAD-AMI,急性心肌梗死,LAB-CARD-TEXT-07B39C98F1,肾功能,0,7,0,[],IND-CARD-LAB-RENAL-FUNCTION-ABNORMAL,肾功能异常,EVI-CARD-LABBACKFILL-021F9E8DC766CF6F3E,心力衰竭（县医院适用版）.docx,（1）血常规、尿常规、便常规+潜血； （2）生化全项（肝功能、肾功能、电解质、血糖、血脂）、糖化血红蛋白、凝血功能、CRP、NT-proBNP/BNP、肌钙蛋白T/I、心肌酶谱、动脉血气分析、甲功三项、尿蛋白/肌酐比值； （3）胸片、心电图、动态心电图、动态血压、心脏超声。
