状态,路径,分组,大小KB,建议动作,原因
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/00_指南PDF精修层全库总检_summary.json,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,3.32,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/00_指南PDF精修层全库总检报告_20260717.md,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,1.85,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/01_PDF使用状态总表_20260717.csv,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,197.9,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/02_疾病大类批次状态总表_20260717.csv,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,3.8,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/03_指南精修优先级总表_20260717.csv,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,0.88,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717/执行_指南PDF精修层全库总检_20260717.py,项目管理中心_project_management/126_指南PDF精修层全库总检_20260717,12.8,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/00_批次登记台账收口治理报告_20260717.md,项目管理中心_project_management/127_批次登记台账收口治理_20260717,1.3,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/01_MD与CSV台账差异清单_20260717.csv,项目管理中心_project_management/127_批次登记台账收口治理_20260717,18.68,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/02_最新关键批次登记复核_20260717.csv,项目管理中心_project_management/127_批次登记台账收口治理_20260717,0.32,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/03_补齐后的批次登记台账快照_20260717.md,项目管理中心_project_management/127_批次登记台账收口治理_20260717,69.96,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/04_台账一致性检查_summary.json,项目管理中心_project_management/127_批次登记台账收口治理_20260717,0.96,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/127_批次登记台账收口治理_20260717/执行_批次登记台账一致性检查_20260717.py,项目管理中心_project_management/127_批次登记台账收口治理_20260717,6.94,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/00_冠心病指南PDF精修层总收口报告_20260717.md,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,1.94,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/01_冠心病PDF使用清单_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,15.14,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/02_冠心病相关台账批次_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,2.42,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/03_冠心病疾病节点清单_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,1.11,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/04_冠心病推荐链路缺口清单_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,0.0,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/05_冠心病指南PDF精修层总收口_summary.json,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,5.0,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/06_冠心病推荐动作补齐明细_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,1.74,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/07_冠心病推荐动作补齐阻断清单_20260717.csv,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,0.28,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/08_冠心病推荐动作缺口补齐_summary.json,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,0.79,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/09_冠心病缺失标准检查动作补齐_summary.json,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,0.23,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/临时_冠心病Exam节点.py,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,1.06,删除候选,临时排查脚本，不作为长期流水线资产
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/临时_查找动作节点.py,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,1.64,删除候选,临时排查脚本，不作为长期流水线资产
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/执行_冠心病指南PDF精修层总收口_20260717.py,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,15.11,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/执行_冠心病推荐动作缺口补齐_20260717.py,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,9.68,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717/执行_冠心病缺失标准检查动作补齐_20260717.py,项目管理中心_project_management/128_冠心病指南PDF精修层总收口_20260717,4.9,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717/00_已解析PDF疾病精修收口总检报告_20260717.md,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,1.67,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717/01_已解析PDF疾病精修缺口总表_20260717.csv,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,1.0,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717/02_服务器疾病归类清单_20260717.csv,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,7.01,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717/03_已解析PDF疾病精修收口总检_summary.json,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,5.12,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717/执行_已解析PDF疾病精修收口总检_20260717.py,项目管理中心_project_management/129_已解析PDF疾病精修收口总检_20260717,11.87,建议提交,项目管理阶段报告/审计/脚本，属于可追溯里程碑
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/00_未解析PDF病种启动池报告_20260717.md,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.44,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/01_未解析PDF启动池清单_20260717.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,7.45,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/02_G0批次准备结果_20260717.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,5.41,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/03_PDF文本解析结果_20260717.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,2.88,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/04_未解析PDF启动池_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.21,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/05_补充批次证据抽取与本地审计结果_20260717.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,2.02,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/06_补充批次证据抽取与本地审计_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.3,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/07_补充批次证据抽取与本地审计报告_20260717.md,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.48,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/08_补充批次证据审计收口与合并建议_20260717.md,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,2.98,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_冠心病ACS2025补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,4.16,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_心律失常指南补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.8,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_心肌病ESC2023补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.78,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_心衰LVAD右心衰补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,2.74,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_瓣膜病指南补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.69,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_结构性先心病介入补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.42,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/20260717_高血压LVAD补充解析_batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,2.29,建议提交,未解析PDF病种启动池的计划、审计和配置，需保留决策依据
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/G0_startup_gate_checklist.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.42,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/G0_startup_gate_result.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.47,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/batch_config.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,1.15,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.31,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/controlled_vocabulary.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.51,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/00_scope_and_config/scope_taxonomy.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.47,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/01_source_manifest/dedup_index.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.43,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/01_source_manifest/source_documents_manifest.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,32.92,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/01_source_manifest/source_folder_summary.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,1.09,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/02_page_audit/document_quality_audit.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.69,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析/02_page_audit/pdf_parse_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.22,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/G0_startup_gate_checklist.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.42,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/G0_startup_gate_result.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.47,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/batch_config.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,1.27,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/batch_config.yaml,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,3.26,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/controlled_vocabulary.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.51,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/00_scope_and_config/scope_taxonomy.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.47,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/01_source_manifest/dedup_index.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.08,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/01_source_manifest/source_documents_manifest.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,1.27,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/01_source_manifest/source_folder_summary.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.28,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/02_page_audit/document_quality_audit.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.39,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/02_page_audit/pdf_parse_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.21,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/04_evidence_and_extraction/alias_normalization_log.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.09,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/04_evidence_and_extraction/graph_extraction_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.27,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/04_evidence_and_extraction/guideline_evidence_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.14,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/cdss_recommendation_readiness_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.13,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/disease_pathway_coverage.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.13,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/evidence_duplicate_key_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.13,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/evidence_missing_key_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.14,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/evidence_non_shared_code_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.14,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/evidence_wrong_shared_code_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.14,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/medication_alias_instance_gap_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.08,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/medication_class_specific_gap_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.05,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/medication_name_error_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.04,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/missing_reason_and_solution.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.09,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/pathway_applicability_profile_errors.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.06,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/polarity_audit.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.1,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/quality_gate_summary.json,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,1.72,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/schema_gap_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.07,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/semantic_shell_node_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.11,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/source_conflict_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.26,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/source_conflict_resolution_plan.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.26,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/target_match_failure_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.15,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
??,项目管理中心_project_management/130_未解析PDF病种启动池_20260717/99_半执行目录备份_20260717_回滚用/20260717_冠心病ACS2025补充解析_别名不足_133856/06_quality_audit/technical_display_name_error_register.csv,项目管理中心_project_management/130_未解析PDF病种启动池_20260717,0.81,保留本地不提交,半执行回滚备份，文件多且不应进入Git主线
