batch_dir,relation_id,severity,relationType,relationCategory,source_code,source_name,source_entityType,target_code,target_name,target_entityType,missing_fields,has_provenance_records,has_evidence_text_or_provenance,source_note,source_quality
BATCH-CARD-CM-20260622-001,REL-AE1A44DA09EEBC60,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-CM-FABRY,法布雷病心肌病,Disease,ETI-CARD-CM-FABRY-GLA-ALPHA-GAL-A,GLA基因突变导致α-Gal A活性降低,Etiology,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-D1264A41E68727CB,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-CM-FABRY,法布雷病心肌病,Disease,SYM-CARD-CM-FABRY-MULTISYSTEM-SYMPTOMS,多系统受累症状,Symptom,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-FE49325EA30E2E4A,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-CM-FABRY,法布雷病心肌病,Disease,SIGN-CARD-CM-FABRY-LVH-CONDUCTION,左心室肥厚伴传导异常,Sign,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-68ABA1B1B0537FA0,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-CM-FABRY,法布雷病心肌病,Disease,DXC-CARD-CM-FABRY-ENZYME-GENE-EMB,酶活性、基因检测和心肌活检诊断,DiagnosisCriteria,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-33E7E4C9C5AA11B0,blocking_for_cdss_scenario,has_prognosis,clinical,DIS-CARD-CM-FABRY,法布雷病心肌病,Disease,PROG-CARD-CM-FABRY-EARLY-DX-TREATMENT,早诊早治改善预后,Prognosis,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-EE9C4E4369487341,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,Disease,SYM-CARD-CM-NDLVCM-ARRHYTHMIA-HF,心律失常或心功能不全相关症状,Symptom,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-CM-20260622-001,REL-F2F9D55392F8375D,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-CM-NDLVCM,非扩张型左心室心肌病,Disease,DXC-CARD-CM-NDLVCM-CMR-LGE,CMR-LGE非缺血性瘢痕诊断依据,DiagnosisCriteria,guideline_id,true,true,,curated_required_gap_backfill
BATCH-CARD-HF-20260629-001,REL-D8AC90317C9B5B4E440D,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-HF-LEFT,左心衰竭,Disease,DXC-CARD-25510C02A8C8,左心衰竭诊断标准,DiagnosisCriteria,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-2591130708026F20BA94,blocking_for_cdss_scenario,has_diagnostic_criteria,diagnostic,DIS-CARD-HF-RIGHT,右心衰竭,Disease,DXC-CARD-FB1FD85809E5,右心衰竭诊断标准,DiagnosisCriteria,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-B92E82C9D3E53AE7344F,blocking_for_cdss_scenario,has_epidemiology,clinical,DIS-CARD-HF-CHF,慢性心力衰竭,Disease,EPI-CARD-0596D1441CA0,慢性心力衰竭流行病学,Epidemiology,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-23F6EA34BA1942842FD9,blocking_for_cdss_scenario,has_etiology,clinical,DIS-CARD-HF-AHF,急性心力衰竭,Disease,ETI-CARD-534BFDB17C84,急性心力衰竭病因,Etiology,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-34332B42D2431DB01F52,blocking_for_cdss_scenario,has_pathophysiology,clinical,DIS-CARD-HF-RIGHT,右心衰竭,Disease,PATH-CARD-4F930223CC47,右心衰竭病理生理机制,Pathophysiology,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-F49D9C0054DBF89C9B2A,blocking_for_cdss_scenario,has_risk_stratification,risk,DIS-CARD-HF-RIGHT,右心衰竭,Disease,RISK-CARD-011399550FDD,右心衰竭风险分层,RiskStratification,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-9D14E76AD7B2034DA2A5,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,Disease,SIGN-CARD-37D71F7E64B1,颈静脉怒张,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-B4647A61BB23A79C2440,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-CHF,慢性心力衰竭,Disease,SIGN-CARD-37D71F7E64B1,颈静脉怒张,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-3BC111D7A6745B76A805,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-CHF,慢性心力衰竭,Disease,SIGN-CARD-67CD9C4673B0,肺部啰音,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-1602D9EA54A137B10CD3,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-LEFT,左心衰竭,Disease,SIGN-CARD-67CD9C4673B0,肺部啰音,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-2D49235BC908B60E683C,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-RIGHT,右心衰竭,Disease,SIGN-CARD-37D71F7E64B1,颈静脉怒张,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-08020800A55EC5D1E833,blocking_for_cdss_scenario,has_sign,clinical,DIS-CARD-HF-RIGHT,右心衰竭,Disease,SIGN-CARD-67CD9C4673B0,肺部啰音,Sign,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-BEE09C07C31D336FBE9F,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,Disease,SYM-CARD-19E67F3BE240,呼吸困难,Symptom,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-D00E5083F0D073E3131F,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,Disease,SYM-CARD-A99A5EBE8948,水肿,Symptom,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-2B3C2F3B408CBA8C8735,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-HF-LEFT,左心衰竭,Disease,SYM-CARD-0ACC45EF4E60,乏力,Symptom,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-41E86A74E2D4BB9E0058,blocking_for_cdss_scenario,has_symptom,clinical,DIS-CARD-HF-RIGHT,右心衰竭,Disease,SYM-CARD-0ACC45EF4E60,乏力,Symptom,source_page,true,true,,
BATCH-CARD-HF-20260629-001,REL-B0D64E44C97A0A0FF8D4,blocking_for_cdss_scenario,requires_exam,diagnostic,DIS-CARD-HF-LEFT,左心衰竭,Disease,EXAM-TTE,超声心动图,Exam,source_page,true,true,,
