issue_scope,source_disease_name,target_subject_name,slot,mapping_status,mapping_type,total_rows,mergeable_rows,blocked_rows,strong_rows,medium_rows,noise_rows,unique_entity_count,sample_entities,sample_evidence,decision_counts
历史候选池归并风险，不作为当前骨架缺陷,静脉血栓症,静脉血栓症,complication,可自动采用,exact,157,81,76,0,81,1,9,出血；肺栓塞；肺动脉高压；心力衰竭；肺栓塞；肺栓塞；肺栓塞；肺栓塞；心力衰竭；肺栓塞；肺栓塞；心力衰竭；肺动脉高压；猝死；心律失常；肺动脉高压；肺栓塞；肺动脉高压；肺动脉高压；出血,3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致,"{""可进入抽样复核后归并"": 81, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 75}"
历史候选池归并风险，不作为当前骨架缺陷,动脉粥样硬化,动脉粥样硬化,etiology_pathogenesis,可自动采用,exact,151,79,72,66,13,1,7,动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；炎症；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；动脉粥样硬化；心肌缺血,1. 左心衰竭引起的呼吸困难 该病与重症哮喘症状相似，极易混淆。鉴别要点：病人多有高血压、冠状动脉粥样硬化性心脏病、风湿性心脏病等病史和体征，突发气急，端坐呼吸，阵发性咳嗽，常咳出粉红色泡沫痰，两肺可 || 1. 对症治疗 肺结核的一般症状在合理化疗下很快减轻或消失，无需特殊处理。咯血是肺结核的常见症状，一般少量咯血，多以安慰病人、消除紧张、卧床休息为主，可用氨基己酸、氨甲苯酸、酚磺乙胺、卡巴克洛等药物止 || 1. 冠状动脉粥样硬化性心脏病（冠心病） 慢性肺心病与冠心病均多见于老年人。冠心病多有典型的心绞痛、心肌梗死病史或心电图表现，若有左心衰竭的发作史、原发性高血压、高脂血症、糖尿病病史，则更有助于鉴别。,"{""可进入抽样复核后归并"": 79, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 71}"
历史候选池归并风险，不作为当前骨架缺陷,心房颤动,心房颤动,complication,可自动采用,exact,178,106,72,18,88,0,9,心律失常；肺动脉高压；心力衰竭；心律失常；心力衰竭；心律失常；出血；心力衰竭；出血；脑卒中；肺栓塞；心律失常；心律失常；心律失常；猝死；心律失常；心律失常；心律失常；心律失常；猝死,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P || 2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P || 2. 控制心力衰竭 慢性肺心病病人一般在积极控制感染、改善呼吸功能、纠正缺氧和二氧化碳潴留后，心力衰竭便能得到改善，病人尿量增多，水肿消退，不需常规使用利尿药和正性肌力药。但对经上述治疗无效或严重心力,"{""可进入抽样复核后归并"": 106, ""阻断_证据文本不足"": 72}"
历史候选池归并风险，不作为当前骨架缺陷,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,treatment,可自动采用,normalized_equal,122,53,69,1,52,1,26,药物治疗；药物治疗；血管紧张素转换酶抑制剂；利尿剂；钙通道阻滞剂；血运重建；射频消融术；利尿剂；药物治疗；洋地黄类药物；钙通道阻滞剂；血运重建；药物治疗；血运重建；血运重建；药物治疗；硝酸酯类药物；药物治疗；他汀类药物；血运重建,2. 糖皮质激素 糖皮质激素治疗结核病的应用主要是利用其抗炎、抗毒作用。仅用于结核毒性症状严重者。必须确保在有效抗结核药物治疗的情况下使用。使用剂量依病情而定，一般用泼尼松口服每日 20mg，顿服，1 || （一）药物治疗 虽然目前治疗心血管疾病的方法越来越多，但是药物治疗仍然是基础，是最为重要和首选的方法之一。治疗心血管疾病的常用药物常按作用机制进行分类，包括血管紧张素转换酶抑制剂（ACEI）类、血管紧 || （一）药物治疗 虽然目前治疗心血管疾病的方法越来越多，但是药物治疗仍然是基础，是最为重要和首选的方法之一。治疗心血管疾病的常用药物常按作用机制进行分类，包括血管紧张素转换酶抑制剂（ACEI）类、血管紧,"{""可进入抽样复核后归并"": 53, ""阻断_疑似非正文噪声"": 1, ""阻断_证据文本不足"": 68}"
历史候选池归并风险，不作为当前骨架缺陷,动脉粥样硬化,动脉粥样硬化,exam_lab,可自动采用,exact,116,48,68,17,31,0,17,心电图；超声心动图；心电图；超声心动图；冠状动脉造影；心电图；超声心动图；心电图；冠状动脉造影；心电图；电生理检查；心电图；超声心动图；血糖；心电图；血糖；肾功能；血糖；血糖；肾功能,脉压增高、右心室增大或右心功能不全的征象，如颈静脉怒张、P2＞A2、剑突下心脏搏动增强、肝大压痛、肝颈静脉反流征阳性、下肢水肿等，心电图、X 线胸片、超声心动图有肺动脉增宽和右心增大、肥厚的征象，可以 || 脉压增高、右心室增大或右心功能不全的征象，如颈静脉怒张、P2＞A2、剑突下心脏搏动增强、肝大压痛、肝颈静脉反流征阳性、下肢水肿等，心电图、X 线胸片、超声心动图有肺动脉增宽和右心增大、肥厚的征象，可以 || 1. 冠状动脉粥样硬化性心脏病（冠心病） 慢性肺心病与冠心病均多见于老年人。冠心病多有典型的心绞痛、心肌梗死病史或心电图表现，若有左心衰竭的发作史、原发性高血压、高脂血症、糖尿病病史，则更有助于鉴别。,"{""可进入抽样复核后归并"": 48, ""阻断_证据文本不足"": 68}"
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,etiology_pathogenesis,需人工确认,manual_review_rule,68,0,68,4,31,1,8,,,"{""阻断_疾病映射需人工确认"": 68}"
历史候选池归并风险，不作为当前骨架缺陷,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,clinical_manifestation,可自动采用,normalized_equal,199,132,67,14,118,0,31,高血压；咳嗽；呼吸困难；劳力性呼吸困难；咳嗽；休克；胸闷；咳嗽；呼吸困难；端坐呼吸；咳嗽；奔马律；高血压；咯血；高血压；发绀；胸痛；高血压；呼吸困难；水肿,医学思维模式由神灵主义变迁为今天的生物 - 心理 - 社会医学模式，历经了整体—局部—整体过程，尽管含义已有不同，但对人本和疾病的关注从没有停止。在许多国家，多种医学学说并行。比如我国，中医、西医并存 || 2. 其他引起慢性咳嗽、咳痰症状的疾病 如支气管扩张、肺结核、肺癌、特发性肺纤维化、弥漫性泛细支气管炎等，具体见本章第一节。 || 4. 其他原因导致的呼吸气腔扩大 呼吸气腔均匀规则扩大而不伴有肺泡壁破坏时，虽不符合肺气肿的严格定义，但临床上也常习惯称为肺气肿，如代偿性肺气肿、老年性肺气肿。临床表现可以出现劳力性呼吸困难和肺气肿体,"{""可进入抽样复核后归并"": 132, ""阻断_证据文本不足"": 67}"
历史候选池归并风险，不作为当前骨架缺陷,室性心动过速,室性心动过速,treatment,可自动采用,exact,116,50,66,5,45,0,21,药物治疗；药物治疗；起搏器植入；心脏再同步治疗；药物治疗；血运重建；心脏移植；心脏移植；药物治疗；控制心室率；药物治疗；钙通道阻滞剂；胺碘酮；药物治疗；药物治疗；胺碘酮；血运重建；药物治疗；药物治疗；药物治疗,（四）非药物治疗 || 1. 心脏再同步治疗（cardiac resynchronization therapy，CRT） 部分心衰病人存在房室、室间和 / 或室内收缩不同步，进一步导致心肌收缩功能降低。CRT 通过改善收缩 || 1. 心脏再同步治疗（cardiac resynchronization therapy，CRT） 部分心衰病人存在房室、室间和 / 或室内收缩不同步，进一步导致心肌收缩功能降低。CRT 通过改善收缩,"{""可进入抽样复核后归并"": 50, ""阻断_证据文本不足"": 66}"
历史候选池归并风险，不作为当前骨架缺陷,房室传导阻滞,房室传导阻滞,clinical_manifestation,可自动采用,exact,144,80,64,35,45,0,25,心动过缓；休克；心动过速；心动过速；心动过速；心动过速；晕厥；心动过速；心悸；乏力；头晕；晕厥；黑矇；心动过速；心动过缓；晕厥；心动过缓；心动过速；胸痛；心悸,使用方法：血流动力学稳定情况下尽早使用，小剂量起始，逐渐增加达最大耐受剂量并长期维持。使用禁忌证为支气管痉挛性疾病、严重心动过缓、二度及二度以上房室传导阻滞、严重周围血管疾病（如雷诺病）和重度急性心衰 || 突然停用β受体拮抗剂可致临床症状恶化，应予避免。对于慢性心衰急性失代偿的病人，如无低灌注表现或心源性休克应尽可能维持原有剂量的β受体拮抗剂治疗。 || （二）体格检查 体格检查首要的重点是确定是否存在心血管疾病。检查心率与节律可发现期前收缩、心房颤动、心动过速或过缓等心律失常；完全性房室传导阻滞或房室分离时心律规则，因 PR间期不同，第一心音强度亦随,"{""可进入抽样复核后归并"": 80, ""阻断_证据文本不足"": 64}"
历史候选池归并风险，不作为当前骨架缺陷,静脉血栓症,静脉血栓症,clinical_manifestation,可自动采用,exact,171,107,64,0,107,0,32,咳嗽；咯血；胸痛；咳嗽；咳嗽；呼吸困难；胸痛；咳嗽；咯血；发热；水肿；发热；水肿；呼吸困难；胸痛；咳嗽；发热；发绀；心悸；呼吸困难,3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 3. 咯血 是指来源于气道或肺实质的血管受损出血经咳嗽而排出，可以由很多原因引起，常见于急性支气管炎、肺炎、支气管扩张、肺结核、肺真菌病、肺癌等。咯血多是少量或中量，表现痰中带血丝、血痰或整口鲜血，但 || 5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致,"{""可进入抽样复核后归并"": 107, ""阻断_证据文本不足"": 64}"
历史候选池归并风险，不作为当前骨架缺陷,静脉血栓症,静脉血栓症,etiology_pathogenesis,可自动采用,exact,77,15,62,0,15,0,8,心肌缺血；炎症；炎症；炎症；炎症；动脉粥样硬化；炎症；炎症；炎症；深静脉血栓形成；深静脉血栓形成；动脉粥样硬化；深静脉血栓形成；深静脉血栓形成；动脉粥样硬化,5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致 || 1. CAP 是指在医院外罹患的感染性肺实质（含肺泡壁，即广义上的肺间质）炎症，包括具有明确潜伏期的病原体感染在入院后于潜伏期内发病的肺炎。其临床诊断依据是：①社区发病。②肺炎相关临床表现：a. 新近 || （2）肺癌：多无急性感染中毒症状，有时痰中带血丝，血白细胞计数不高。但肺癌可伴发阻塞性肺炎，经抗菌药物治疗炎症消退后肿瘤阴影渐趋明显，或可见肺门淋巴结肿大，有时出现肺不张。若抗菌药物治疗后肺部炎症不见,"{""可进入抽样复核后归并"": 15, ""阻断_证据文本不足"": 62}"
历史候选池归并风险，不作为当前骨架缺陷,心室扑动与心室颤动,心室扑动与心室颤动,clinical_manifestation,可自动采用,exact,134,74,60,0,74,0,23,心动过速；晕厥；心动过速；低血压；心动过速；心动过速；心动过速；晕厥；黑矇；心动过速；心动过速；心动过缓；低血压；心动过速；心动过缓；头晕；晕厥；心悸；晕厥；心动过速,（七）心脏影像学 心脏影像学检查有助于评估心脏结构和功能异常与心律失常的关系。超声心动图是最常用的心脏影像学检查，包括经胸超声心动图（transthoracic echocardiography，TT || （八）直立倾斜试验（head-up tilt testing，HUT） 直立倾斜试验是评价自主神经功能的一种常用方法，通过改变病人体位，造成人体循环血量在重力作用下向下肢分布，引发人体神经介导反射活动 || （八）直立倾斜试验（head-up tilt testing，HUT） 直立倾斜试验是评价自主神经功能的一种常用方法，通过改变病人体位，造成人体循环血量在重力作用下向下肢分布，引发人体神经介导反射活动,"{""可进入抽样复核后归并"": 74, ""阻断_证据文本不足"": 60}"
历史候选池归并风险，不作为当前骨架缺陷,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,exam_lab,可自动采用,normalized_equal,117,58,59,7,51,0,20,肾功能；血管超声；心电图；超声心动图；心电图；超声心动图；冠状动脉造影；心电图；超声心动图；心电图；肾功能；心电图；血糖；血常规；动脉血气分析；心电图；动态心电图；心电图；冠状动脉造影；心电图,7. 其他治疗措施 合理补充液体和电解质以保持身体水电解质平衡。注意补充营养，根据病人胃肠功能状况调节饮食，保证热量和蛋白质、维生素等营养素的摄入，必要时可以选用肠外营养治疗。积极排痰治疗，最有效的措 || 2. 动脉夹层 多有高血压，疼痛较剧烈，X 线胸片常显示纵隔增宽，心血管超声和胸部 CT 血管造影检查可见主动脉夹层征象。 || 脉压增高、右心室增大或右心功能不全的征象，如颈静脉怒张、P2＞A2、剑突下心脏搏动增强、肝大压痛、肝颈静脉反流征阳性、下肢水肿等，心电图、X 线胸片、超声心动图有肺动脉增宽和右心增大、肥厚的征象，可以,"{""可进入抽样复核后归并"": 58, ""阻断_证据文本不足"": 59}"
历史候选池归并风险，不作为当前骨架缺陷,心包积液及心脏压塞,心包积液及心脏压塞,clinical_manifestation,可自动采用,exact,145,89,56,0,89,0,28,咳嗽；发热；发热；低血压；心动过缓；休克；休克；休克；呼吸困难；水肿；颈静脉怒张；水肿；颈静脉怒张；呼吸困难；乏力；水肿；休克；高血压；水肿；水肿,1. 咳嗽 为早期症状，常为无痰或少痰的刺激性干咳，当肿瘤引起支气管狭窄后可加重咳嗽。多为持续性，呈高调金属音性咳嗽或刺激性呛咳。黏液型腺癌可有大量黏液痰。伴有继发感染时，痰量增加，且呈黏液脓性。 || 5. 发热 肿瘤组织坏死可引起发热。多数发热是由于肿瘤引起的阻塞性肺炎所致，抗生素治疗效果不佳。 || 溶栓治疗的主要并发症为出血。用药前应充分评估出血风险，必要时做好输血准备。溶栓前宜留置外周静脉套管针，以方便溶栓中取血监测。溶栓治疗的其他副作用还有发热、过敏反应（多见于链激酶）、低血压、恶心、呕吐、,"{""可进入抽样复核后归并"": 89, ""阻断_证据文本不足"": 56}"
历史候选池归并风险，不作为当前骨架缺陷,室性心动过速,室性心动过速,clinical_manifestation,可自动采用,exact,142,88,54,30,58,0,21,心动过速；心动过速；心动过速；心悸；晕厥；晕厥；心动过速；心动过速；心动过速；晕厥；心动过速；心动过速；晕厥；心动过速；低血压；心动过速；心动过速；心动过速；心动过速；心动过速,2. 植入型心律转复除颤器（implantable cardioverter defibrillator，ICD） 中重度心衰病人逾半数死于恶性室性心律失常所致心脏性猝死，而 ICD 可用于以下病人的 || 1. 静息心电图 是诊断心律失常最重要的无创伤性检查技术，常规心电图分析原则：①根据 P波形态特征判断基本心律是窦性心律还是异位心律。②测定 P-P 或 R-R 间期，计算心房率或心室率有无心动过速或 || 2. 运动心电图 是最广泛使用的一种心电图负荷试验，除常用于检测冠心病引起的心肌缺血和评估预后外，亦用于明确心肌缺血是否合并相关心律失常；评估已知或可疑运动诱发的室性心律失常（如儿茶酚胺敏感性室性心动,"{""可进入抽样复核后归并"": 88, ""阻断_证据文本不足"": 54}"
历史候选池归并风险，不作为当前骨架缺陷,心室扑动与心室颤动,心室扑动与心室颤动,treatment,可自动采用,exact,78,24,54,0,24,0,14,药物治疗；胺碘酮；血运重建；药物治疗；药物治疗；钙通道阻滞剂；药物治疗；药物治疗；药物治疗；胺碘酮；抗凝治疗；胺碘酮；抗凝治疗；心脏再同步治疗；起搏器植入；药物治疗；血运重建；药物治疗；药物治疗；药物治疗,障碍的病人，应迅速施行直流电复律。复律成功后可静脉应用胺碘酮、利多卡因等，以防止室速短时间内复发。洋地黄中毒引起的室速，不宜用电复律，应给予药物治疗。 || 障碍的病人，应迅速施行直流电复律。复律成功后可静脉应用胺碘酮、利多卡因等，以防止室速短时间内复发。洋地黄中毒引起的室速，不宜用电复律，应给予药物治疗。 || 急性心肌缺血合并室速的病人，首选冠状动脉血运重建，也可应用β受体拮抗剂预防室性心律失常。β受体拮抗剂能降低心肌梗死后猝死发生率，其作用可能主要通过降低交感神经活性与改善心肌缺血实现。急性心肌梗死 48,"{""可进入抽样复核后归并"": 24, ""阻断_证据文本不足"": 54}"
历史候选池归并风险，不作为当前骨架缺陷,急性心肌梗死,急性冠脉综合征,risk_factor,需人工确认,manual_review_rule,54,0,54,5,37,0,9,,,"{""阻断_疾病映射需人工确认"": 54}"
历史候选池归并风险，不作为当前骨架缺陷,心力衰竭,心力衰竭,exam_lab,可自动采用,exact,85,32,53,16,16,0,19,肾功能；肾功能；心电图；血糖；血常规；动脉血气分析；脑钠肽；血脂检查；血常规；心电图；超声心动图；心电图；动态心电图；电生理检查；超声心动图；心电图；红细胞沉降率；超声心动图；心电图；超声心动图,7. 其他治疗措施 合理补充液体和电解质以保持身体水电解质平衡。注意补充营养，根据病人胃肠功能状况调节饮食，保证热量和蛋白质、维生素等营养素的摄入，必要时可以选用肠外营养治疗。积极排痰治疗，最有效的措 || 【临床表现】 阻塞性睡眠呼吸暂停的常见表现为夜间睡眠中打鼾且鼾声不规律，反复出现呼吸暂停及觉醒，晨起头痛、口干，白天嗜睡，记忆力下降，有的病人出现夜尿增多、性功能减退、遗尿，严重者可出现心理、智力、行 || 【实验室和其他检查】 辅助检查包括：①血常规：部分病人可出现红细胞和血红蛋白增高；②血糖、血脂：部分病人亦可见血糖、血脂增高；③动脉血气分析：可有不同程度的低氧血症和二氧化碳分压增高；④心电图：可出现,"{""可进入抽样复核后归并"": 32, ""阻断_证据文本不足"": 53}"
历史候选池归并风险，不作为当前骨架缺陷,房室传导阻滞,房室传导阻滞,treatment,可自动采用,exact,80,28,52,4,24,0,18,醛固酮受体拮抗剂；利尿剂；药物治疗；洋地黄类药物；控制心室率；药物治疗；药物治疗；胺碘酮；药物治疗；胺碘酮；血运重建；药物治疗；药物治疗；抗凝治疗；药物治疗；药物治疗；药物治疗；药物治疗；钙通道阻滞剂；胺碘酮,4. 醛固酮受体拮抗剂（mineralocorticoid receptor antagonist，MRA） MRA 能阻断醛固酮效应，抑制心室重塑，在各类型心衰病人中均被证实能改善预后。推荐使用于各 || 地高辛可改善心衰病人的症状，提高运动耐量，减少住院率，但对生存率无明显改变。适用于应用利尿剂、ACEI/ARB/ARNI、β受体拮抗剂、MRA 和 SGLT2i 后仍持续有症状的 HFrEF 病人，或 || 3. 心动过速 心腔内电生理检查可明确心动过速发病机制，如房室结折返性心动过速存在双径路或多径路折返性传导，程序刺激可见典型跳跃征象（即 AH 间期突然延长＞50ms，提示传导从快径转至慢径）。当出现,"{""可进入抽样复核后归并"": 28, ""阻断_证据文本不足"": 52}"
