source_disease_name,target_subject_name,mapping_type,mapping_status,confidence,review_reason,candidate_targets,source_artifact_scope,source_artifact_mtime,target_artifact_scope,target_artifact_mtime,source_row_count,source_entity_type_counts,target_parent,target_subject_kind,target_docx_start_para,target_docx_end_para
人工瓣膜心内膜炎,,no_candidate,暂不采用,0.5333,未找到足够可靠的 D6 骨架章节/疾病名称,感染性心内膜炎:0.533；心肌炎:0.364；多瓣膜病:0.333；心脏瓣膜病:0.308；急性心包炎:0.308,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,58,"{""Complication"": 11, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 1, ""Exam"": 7, ""LabTest"": 2, ""Pathophysiology"": 1, ""Procedure"": 7, ""Prognosis"": 2, ""RiskFactor"": 21, ""Sign"": 1, ""Symptom"": 2, ""TreatmentPlan"": 1}",,,,
儿茶酚胺敏感性室性心动过速,,no_candidate,暂不采用,0.6316,未找到足够可靠的 D6 骨架章节/疾病名称,室性心动过速:0.632；非阵发性房室交界性心动过速:0.538；窦性心动过速:0.526；房性心动过速:0.526；房室交界区相关的折返性心动过速:0.429,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,69,"{""Complication"": 17, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""Etiology"": 4, ""Exam"": 12, ""FollowUp"": 1, ""Pathophysiology"": 3, ""Procedure"": 4, ""RiskFactor"": 5, ""RiskStratification"": 1, ""Sign"": 9, ""Symptom"": 10, ""TreatmentPlan"": 1}",,,,
先天性主动脉缩窄,,no_candidate,暂不采用,0.5714,未找到足够可靠的 D6 骨架章节/疾病名称,主动脉瓣狭窄:0.571；主动脉夹层:0.462；主动脉瓣反流:0.429；先天性心血管病:0.400；慢性冠状动脉综合征:0.353,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,11,"{""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 1, ""FollowUp"": 1, ""Procedure"": 1, ""RiskFactor"": 4, ""Sign"": 3}",,,,
冠状动脉痉挛,冠状动脉痉挛,exact,可自动采用,1.0,,冠状动脉痉挛,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,23,"{""Complication"": 3, ""DiagnosisCriteria"": 1, ""Etiology"": 2, ""Exam"": 5, ""Medication"": 1, ""Procedure"": 2, ""RiskFactor"": 3, ""Sign"": 1, ""Symptom"": 5}",冠状动脉疾病的其他表现形式,disease_or_topic,5401,5478
冠状动脉瘘,,no_candidate,暂不采用,0.7273,未找到足够可靠的 D6 骨架章节/疾病名称,冠状动脉痉挛:0.727；慢性冠状动脉综合征:0.571；急性冠脉综合征:0.571；冠状动脉疾病的其他表现形式:0.500；肿瘤治疗相关的冠状动脉疾病:0.500,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,18,"{""Complication"": 9, ""Exam"": 1, ""Procedure"": 1, ""RiskFactor"": 5, ""Sign"": 1, ""TreatmentPlan"": 1}",,,,
冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,normalized_equal,可自动采用,0.98,去空格、简称规范化后完全一致,冠状动脉粥样硬化性心脏病概述,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,861,"{""Complication"": 150, ""DiagnosisCriteria"": 9, ""DifferentialDiagnosis"": 25, ""Epidemiology"": 3, ""Etiology"": 60, ""Exam"": 78, ""FollowUp"": 2, ""LabTest"": 39, ""Medication"": 57, ""Pathophysiology"": 34, ""Procedure"": 26, ""Prognosis"": 1, ""RiskFactor"": 135, ""RiskStratification"": 4, ""Sign"": 122, ""Symptom"": 77, ""TreatmentPlan"": 39}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,overview_section,4943,4955
动脉导管未闭,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,下肢动脉硬化闭塞症:0.400；主动脉夹层:0.364；动脉粥样硬化:0.333；冠状动脉痉挛:0.333；主动脉瓣狭窄:0.333,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,88,"{""Complication"": 18, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 4, ""Exam"": 15, ""FollowUp"": 2, ""LabTest"": 1, ""Pathophysiology"": 1, ""Procedure"": 14, ""Prognosis"": 1, ""RiskFactor"": 16, ""Sign"": 7, ""Symptom"": 6, ""TreatmentPlan"": 1}",,,,
动脉粥样硬化,动脉粥样硬化,exact,可自动采用,1.0,,动脉粥样硬化,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,748,"{""Complication"": 84, ""DiagnosisCriteria"": 10, ""DifferentialDiagnosis"": 26, ""Epidemiology"": 4, ""Etiology"": 137, ""Exam"": 50, ""FollowUp"": 3, ""LabTest"": 66, ""Medication"": 43, ""Pathophysiology"": 10, ""Procedure"": 7, ""Prognosis"": 3, ""RiskFactor"": 135, ""RiskStratification"": 3, ""Sign"": 86, ""Symptom"": 53, ""TreatmentPlan"": 28}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,disease_or_topic,4864,4889
原发性醛固酮增多症,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,原发性高血压:0.400；继发性高血压:0.267；非阵发性房室交界性心动过速:0.182；多瓣膜病:0.154；急性心包炎:0.143,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,66,"{""Complication"": 4, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 1, ""Epidemiology"": 1, ""Exam"": 6, ""LabTest"": 5, ""Medication"": 7, ""Pathophysiology"": 1, ""Prognosis"": 1, ""RiskFactor"": 19, ""Sign"": 14, ""Symptom"": 1, ""TreatmentPlan"": 4}",,,,
原发性高血压,原发性高血压,exact,可自动采用,1.0,,原发性高血压,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,141,"{""Complication"": 11, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 12, ""Epidemiology"": 3, ""Etiology"": 3, ""Exam"": 8, ""LabTest"": 14, ""Medication"": 8, ""RiskFactor"": 17, ""Sign"": 51, ""Symptom"": 7, ""TreatmentPlan"": 5}",高血压,disease_or_topic,5483,5655
嗜铬细胞瘤和副神经节瘤,,no_candidate,暂不采用,0.2353,未找到足够可靠的 D6 骨架章节/疾病名称,心血管神经症:0.235；肿瘤治疗相关的高血压:0.095；肿瘤治疗相关的血栓性疾病:0.095；肿瘤治疗相关的冠状动脉疾病:0.091；肿瘤治疗相关的心律失常:0.091,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,53,"{""Complication"": 3, ""DifferentialDiagnosis"": 4, ""Exam"": 5, ""LabTest"": 5, ""Medication"": 2, ""RiskFactor"": 16, ""Sign"": 14, ""Symptom"": 2, ""TreatmentPlan"": 2}",,,,
多瓣膜病,多瓣膜病,exact,可自动采用,1.0,,多瓣膜病,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,20,"{""Complication"": 3, ""DiagnosisCriteria"": 1, ""Exam"": 2, ""Procedure"": 4, ""Prognosis"": 2, ""RiskFactor"": 5, ""Sign"": 2, ""TreatmentPlan"": 1}",心脏瓣膜病,disease_or_topic,6622,6637
室性心动过速,室性心动过速,exact,可自动采用,1.0,,室性心动过速,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,510,"{""Complication"": 128, ""DiagnosisCriteria"": 7, ""DifferentialDiagnosis"": 11, ""Etiology"": 10, ""Exam"": 41, ""FollowUp"": 1, ""LabTest"": 6, ""Medication"": 26, ""Pathophysiology"": 13, ""Procedure"": 46, ""Prognosis"": 2, ""RiskFactor"": 31, ""RiskStratification"": 2, ""Sign"": 99, ""Symptom"": 43, ""TreatmentPlan"": 44}",室性心律失常,disease_or_topic,4572,4614
室性期前收缩,室性期前收缩,exact,可自动采用,1.0,,室性期前收缩,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,239,"{""Complication"": 54, ""DifferentialDiagnosis"": 6, ""Etiology"": 3, ""Exam"": 20, ""FollowUp"": 1, ""LabTest"": 7, ""Medication"": 9, ""Pathophysiology"": 12, ""Procedure"": 8, ""RiskFactor"": 9, ""RiskStratification"": 2, ""Sign"": 56, ""Symptom"": 42, ""TreatmentPlan"": 10}",室性心律失常,disease_or_topic,4550,4571
室间隔缺损,,no_candidate,暂不采用,0.1818,未找到足够可靠的 D6 骨架章节/疾病名称,室性心律失常:0.182；室性期前收缩:0.182；室性心动过速:0.182；房室传导阻滞:0.182；室内传导阻滞:0.182,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,156,"{""Complication"": 28, ""DiagnosisCriteria"": 4, ""DifferentialDiagnosis"": 10, ""Exam"": 29, ""FollowUp"": 2, ""LabTest"": 2, ""Pathophysiology"": 8, ""Procedure"": 16, ""Prognosis"": 1, ""RiskFactor"": 20, ""Sign"": 22, ""Symptom"": 13, ""TreatmentPlan"": 1}",,,,
心力衰竭,心力衰竭,exact,可自动采用,1.0,,心力衰竭,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,905,"{""Complication"": 223, ""DiagnosisCriteria"": 6, ""DifferentialDiagnosis"": 14, ""Epidemiology"": 2, ""Etiology"": 26, ""Exam"": 41, ""FollowUp"": 3, ""LabTest"": 44, ""Medication"": 63, ""Pathophysiology"": 25, ""Procedure"": 26, ""Prognosis"": 4, ""RiskFactor"": 84, ""RiskStratification"": 1, ""Sign"": 174, ""Symptom"": 109, ""TreatmentPlan"": 60}",第三篇循环系统疾病,category_container,3905,3909
心包积液及心脏压塞,心包积液及心脏压塞,exact,可自动采用,1.0,,心包积液及心脏压塞,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,517,"{""Complication"": 108, ""DiagnosisCriteria"": 11, ""DifferentialDiagnosis"": 19, ""Epidemiology"": 1, ""Etiology"": 12, ""Exam"": 52, ""FollowUp"": 3, ""LabTest"": 19, ""Medication"": 15, ""Pathophysiology"": 4, ""Procedure"": 23, ""Prognosis"": 7, ""RiskFactor"": 71, ""Sign"": 86, ""Symptom"": 59, ""TreatmentPlan"": 27}",心包疾病,disease_or_topic,6726,6750
心室扑动与心室颤动,心室扑动与心室颤动,exact,可自动采用,1.0,,心室扑动与心室颤动,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,377,"{""Complication"": 96, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 6, ""Etiology"": 9, ""Exam"": 21, ""LabTest"": 7, ""Medication"": 19, ""Pathophysiology"": 8, ""Procedure"": 26, ""Prognosis"": 2, ""RiskFactor"": 14, ""Sign"": 87, ""Symptom"": 47, ""TreatmentPlan"": 33}",室性心律失常,disease_or_topic,4615,4641
心房扑动,心房扑动,exact,可自动采用,1.0,,心房扑动,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,297,"{""Complication"": 65, ""DiagnosisCriteria"": 1, ""DifferentialDiagnosis"": 6, ""Etiology"": 2, ""Exam"": 20, ""LabTest"": 7, ""Medication"": 22, ""Pathophysiology"": 5, ""Procedure"": 11, ""Prognosis"": 1, ""RiskFactor"": 23, ""RiskStratification"": 2, ""Sign"": 83, ""Symptom"": 25, ""TreatmentPlan"": 24}",房性心律失常,disease_or_topic,4396,4408
心房颤动,心房颤动,exact,可自动采用,1.0,,心房颤动,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,870,"{""Complication"": 178, ""DiagnosisCriteria"": 3, ""DifferentialDiagnosis"": 17, ""Epidemiology"": 1, ""Etiology"": 14, ""Exam"": 60, ""FollowUp"": 7, ""LabTest"": 23, ""Medication"": 82, ""Pathophysiology"": 23, ""Procedure"": 41, ""Prognosis"": 4, ""RiskFactor"": 86, ""RiskStratification"": 5, ""Sign"": 151, ""Symptom"": 79, ""TreatmentPlan"": 96}",房性心律失常,disease_or_topic,4409,4452
心肌梗死后综合征,,no_candidate,暂不采用,0.4,未找到足够可靠的 D6 骨架章节/疾病名称,急性 ST 段抬高型心肌梗死:0.400；心肌疾病:0.400；艾森门格综合征:0.400；病态窦房结综合征:0.375；心肌炎:0.364,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,10,"{""Complication"": 2, ""Exam"": 2, ""Procedure"": 1, ""Sign"": 2, ""Symptom"": 2, ""TreatmentPlan"": 1}",,,,
心肌炎,心肌炎,exact,可自动采用,1.0,,心肌炎,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,408,"{""Complication"": 76, ""DiagnosisCriteria"": 14, ""DifferentialDiagnosis"": 22, ""Etiology"": 13, ""Exam"": 48, ""FollowUp"": 1, ""LabTest"": 12, ""Medication"": 22, ""Pathophysiology"": 9, ""Procedure"": 15, ""Prognosis"": 4, ""RiskFactor"": 49, ""RiskStratification"": 2, ""Sign"": 62, ""Symptom"": 52, ""TreatmentPlan"": 7}",心肌疾病,disease_or_topic,5960,6066
心脏性猝死,心脏骤停与心脏性猝死,manual_synonym_rule,可自动采用,0.95,内置心血管常见章节合并/简称规则,心脏骤停与心脏性猝死,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,210,"{""Complication"": 67, ""DiagnosisCriteria"": 7, ""DifferentialDiagnosis"": 2, ""Epidemiology"": 1, ""Etiology"": 7, ""Exam"": 14, ""Medication"": 3, ""Pathophysiology"": 6, ""Procedure"": 25, ""Prognosis"": 1, ""RiskFactor"": 16, ""RiskStratification"": 2, ""Sign"": 23, ""Symptom"": 28, ""TreatmentPlan"": 8}",第三篇循环系统疾病,category_container,7005,7156
心脏骤停,心脏骤停与心脏性猝死,manual_synonym_rule,可自动采用,0.95,内置心血管常见章节合并/简称规则,心脏骤停与心脏性猝死,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,110,"{""Complication"": 26, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 4, ""Etiology"": 1, ""Exam"": 9, ""LabTest"": 4, ""Medication"": 4, ""Pathophysiology"": 2, ""Procedure"": 10, ""Prognosis"": 2, ""RiskFactor"": 10, ""RiskStratification"": 1, ""Sign"": 14, ""Symptom"": 12, ""TreatmentPlan"": 9}",第三篇循环系统疾病,category_container,7005,7156
心血管神经症,心血管神经症,exact,可自动采用,1.0,,心血管神经症,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,23,"{""Complication"": 2, ""DifferentialDiagnosis"": 1, ""Etiology"": 3, ""Exam"": 1, ""LabTest"": 1, ""RiskFactor"": 1, ""Sign"": 3, ""Symptom"": 9, ""TreatmentPlan"": 2}",第三篇循环系统疾病,disease_or_topic,7338,7392
急性冠脉综合征,急性冠脉综合征,exact,可自动采用,1.0,,急性冠脉综合征,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,257,"{""Complication"": 45, ""DiagnosisCriteria"": 5, ""DifferentialDiagnosis"": 15, ""Etiology"": 8, ""Exam"": 25, ""LabTest"": 21, ""Medication"": 9, ""Pathophysiology"": 11, ""Procedure"": 12, ""Prognosis"": 1, ""RiskFactor"": 23, ""RiskStratification"": 2, ""Sign"": 44, ""Symptom"": 17, ""TreatmentPlan"": 19}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,category_container,5120,5126
急性心力衰竭,急性心力衰竭,exact,可自动采用,1.0,,急性心力衰竭,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,91,"{""Complication"": 17, ""DifferentialDiagnosis"": 1, ""Etiology"": 1, ""Exam"": 1, ""LabTest"": 9, ""Medication"": 11, ""Procedure"": 2, ""Prognosis"": 1, ""RiskFactor"": 9, ""Sign"": 19, ""Symptom"": 13, ""TreatmentPlan"": 7}",心力衰竭,disease_or_topic,4119,4228
急性心包炎,急性心包炎,exact,可自动采用,1.0,,急性心包炎,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,86,"{""Complication"": 6, ""DiagnosisCriteria"": 2, ""DifferentialDiagnosis"": 6, ""Etiology"": 3, ""Exam"": 14, ""LabTest"": 9, ""Medication"": 1, ""Pathophysiology"": 2, ""Prognosis"": 2, ""RiskFactor"": 15, ""Sign"": 7, ""Symptom"": 19}",心包疾病,disease_or_topic,6690,6725
急性心肌梗死,急性冠脉综合征,manual_review_rule,需人工确认,0.9,泛称需按 STEMI/NSTEMI/ACS 章节拆分，不能直接并入单一具体疾病,急性冠脉综合征,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,822,"{""Complication"": 142, ""DiagnosisCriteria"": 7, ""DifferentialDiagnosis"": 31, ""Epidemiology"": 1, ""Etiology"": 20, ""Exam"": 95, ""FollowUp"": 4, ""LabTest"": 28, ""Medication"": 65, ""Pathophysiology"": 47, ""Procedure"": 42, ""Prognosis"": 3, ""RiskFactor"": 54, ""RiskStratification"": 6, ""Sign"": 129, ""Symptom"": 94, ""TreatmentPlan"": 54}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,category_container,5120,5126
感染性心内膜炎,感染性心内膜炎,exact,可自动采用,1.0,,感染性心内膜炎,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,384,"{""Complication"": 98, ""DiagnosisCriteria"": 6, ""DifferentialDiagnosis"": 10, ""Etiology"": 12, ""Exam"": 23, ""FollowUp"": 5, ""LabTest"": 21, ""Medication"": 15, ""Pathophysiology"": 5, ""Procedure"": 17, ""Prognosis"": 6, ""RiskFactor"": 97, ""RiskStratification"": 1, ""Sign"": 33, ""Symptom"": 21, ""TreatmentPlan"": 14}",第三篇循环系统疾病,disease_or_topic,6837,7004
慢性冠脉综合征,慢性冠状动脉综合征,normalized_equal,可自动采用,0.98,去空格、简称规范化后完全一致,慢性冠状动脉综合征,历史候选池/旧实例产物,2026-06-25T14:59:24,当前骨架基线产物,2026-07-09T14:58:26,23,"{""Complication"": 5, ""Etiology"": 3, ""Exam"": 2, ""Medication"": 1, ""Pathophysiology"": 4, ""RiskFactor"": 1, ""Sign"": 2, ""Symptom"": 2, ""TreatmentPlan"": 3}",动脉粥样硬化和冠状动脉粥样硬化性心脏病,category_container,4956,4957
