decision,reason,rel,entityType,target_code,target_name,source_name,batch_id,evidence_excerpt
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-7F035CCE48D1BFF8,或工作紧张、压力较大,静脉血栓症,CARD-SKELETON-FULL-20260709,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_etiology,Etiology,ETI-CARD-FULLBOOK-1E29D1B0D5,深静脉血栓形成,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,PTE 为肺栓塞最常见的类型，是来自静脉系统或右心的血栓阻塞肺动脉或其分支所导致的以肺循环和呼吸功能障碍为主要临床及病理生理特征的疾病。引起 PTE 的血栓主要来源于深静脉血栓形成（deep venous thrombosis，DVT）。DVT 与 PTE 实质上为一种疾病过程在不同部位、不同阶段的表现，两者合称为静脉血栓栓塞症（venous thromboembolism，VTE）。
delete_high_confidence,目标实体和证据均不支持VTE语义,has_etiology,Etiology,ETI-CARD-TEXT-0EC5F56F7B,炎症,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,体感染；黄色脓性痰或痰液由白色黏液状转为黄色脓性常提示细菌感染；铁锈样痰可能是肺炎链球菌感染；大量脓性痰常见于肺脓肿或支气管扩张；红棕色胶冻样痰提示可能有肺炎克雷伯菌感染；脓痰有腐臭味提示可能有厌氧菌感染；巧克力色腥味痰提示可能患肺阿米巴病。咳粉红色稀薄泡沫痰伴呼吸困难提示可能有心力衰竭和肺水肿。痰量的增减反映感染的加剧或炎症的缓解，若痰量突然减少，且出现体温升高，可能与支气管引流不畅有关。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-81588BA698AFA1E9,病人的家庭成员中可有神经症,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-56D6BACDA367DC16,病人神经类型常为抑郁、焦虑、忧愁型,静脉血栓症,CARD-SKELETON-FULL-20260709,
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_etiology,Etiology,ETI-CARD-FULLBOOK-3146961E62,肺动脉血栓栓塞,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,限制性通气障碍性肺疾病肺实质疾病 神经肌肉疾病 胸壁 / 胸膜疾病 肺血管疾病 感染性肺疾病 恶性肿瘤 睡眠呼吸障碍性疾病 间质性肺疾病 / 弥漫性实质性肺疾病，包括特发性肺纤维化、结节病、过敏性肺炎、尘肺等 肌萎缩侧索硬化症吉兰 - 巴雷综合征 脊柱后、侧凸胸腔积液 胸膜增厚 肺血栓栓塞症肺动脉高压 肺炎（社区获得性肺炎、医院获得性肺炎等）肺结核 肺真菌病 新发呼吸道传染病（COVID-19 等） 气管支气管炎支气管肺癌 肺转移瘤 / 癌 睡眠呼吸暂停综合征
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_etiology,Etiology,ETI-CARD-TEXT-AD881398D8,遗传因素,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,【危险因素】 任何可以导致静脉血流淤滞、血管内皮损伤和血液高凝状态的因素（Virchow 三要素）均为 VTE 的危险因素，可分为遗传性和获得性两类（表 2-11-1）。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_etiology,Etiology,CARD-SKELETON-FULL-20260709-ETIOLOGY-89FA2137CDB6FF17,难以适应时可能导致发病,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_pathophysiology,Pathophysiology,PATH-CARD-FULLBOOK-9C398A672B,右心负荷增加,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,肺动脉内反复血栓栓塞，以及栓塞后血栓不溶、机化，导致血管慢性化机械阻塞，称为慢性血栓栓塞性肺疾病（chronic thromboembolic pulmonary disease，CTEPD）。后期病情进展，逐渐产生肺血管重塑，导致血管进一步狭窄或闭塞，肺血管阻力（pulmonary vascular resistance，PVR）增加，肺动脉压力进行性增高，经过数月或数年，最终可引起右心室肥厚和右心衰竭，称为慢性血栓栓塞性肺动脉高压（chronic thromboembolic pulmonary hyperte
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_pathophysiology,Pathophysiology,PATH-CARD-FULLBOOK-49867E5C1F,心肌缺血,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,5. 胸痛 肺实质内不存在痛觉感受器，故胸痛一般源于各种肺部疾病累及胸膜及咳嗽引起的肌肉疼痛等。胸膜性胸痛一般为单侧、吸气末明显，定位相对清晰，可继发于气胸、肺炎、肿瘤、肺栓塞等。严重肺动脉高压可导致心肌缺血，出现与呼吸无关的心前区钝痛。非呼吸系统疾病引起的胸痛中，最重要的是心绞痛和心肌梗死，其特点是胸骨后或左前胸部位的压榨性胸痛，可放射至左肩。此外，还应注意心包炎、主动脉夹层等所致的胸痛。肋间神经痛、肋软骨炎、带状疱疹、柯萨奇病毒感染引起的胸痛常表现为胸壁表浅部位的疼痛。腹部脏器疾病，如胆石症和急性胰腺炎等有时亦
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_risk_factor,RiskFactor,RF-CARD-FULLBOOK-CCD18035D8,创伤,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,（3）肺栓塞：多有静脉血栓的危险因素，如血栓性静脉炎、心肺疾病、创伤、手术和肿瘤等病史，呼吸困难较明显，可发生咯血、晕厥。X 线胸片示区域性肺血管纹理减少，有时可见尖端指向肺门的楔形阴影。动脉血气分析常见低氧血症及低碳酸血症。D- 二聚体、CT 肺动脉造影、放射性核素肺通气 / 灌注扫描和 MRI 等检查可帮助鉴别。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_risk_factor,RiskFactor,RF-CARD-C5097AF85131,吸烟,《内科学（第10版）》.docx,FOUNDATION-CARD-DEEP-20260625-001,【预后】 本病的预后与同时并存的冠心病、脑血管疾病密切相关。间歇性跛行病人 5 年生存率为 70%，10 年生存率为 50%，大多死于冠心病和脑血管事件。伴有糖尿病及吸烟病人预后更差，约 5%病人需行截肢术。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_risk_factor,RiskFactor,RF-CARD-9C42CB5B56D7,基因突变,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_risk_factor,RiskFactor,RF-CARD-9506E4E1BB62,家族史,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,也需要注意病人有无遗传性易栓症倾向，尤其是对于年龄小于 50 岁，复发性 PTE 或有突出 VTE家族史的病人。中国人群中最常见的易栓症表现包括抗凝血酶、蛋白 C 和蛋白 S 遗传性缺陷。在进行抗凝蛋白活性检测及结果解读时，应注意检测的时机、抗凝药物对检测结果的影响。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_risk_factor,RiskFactor,CARD-SKELETON-20260709-RISKFACTOR-031669F9C55F4858,心律失常,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_risk_factor,RiskFactor,RF-CARD-TEXT-C77DFF9EAC,感染,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,限制性通气障碍性肺疾病肺实质疾病 神经肌肉疾病 胸壁 / 胸膜疾病 肺血管疾病 感染性肺疾病 恶性肿瘤 睡眠呼吸障碍性疾病 间质性肺疾病 / 弥漫性实质性肺疾病，包括特发性肺纤维化、结节病、过敏性肺炎、尘肺等 肌萎缩侧索硬化症吉兰 - 巴雷综合征 脊柱后、侧凸胸腔积液 胸膜增厚 肺血栓栓塞症肺动脉高压 肺炎（社区获得性肺炎、医院获得性肺炎等）肺结核 肺真菌病 新发呼吸道传染病（COVID-19 等） 气管支气管炎支气管肺癌 肺转移瘤 / 癌 睡眠呼吸暂停综合征
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_risk_factor,RiskFactor,RF-CARD-FULLBOOK-E79089C924,手术,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,（3）肺栓塞：多有静脉血栓的危险因素，如血栓性静脉炎、心肺疾病、创伤、手术和肿瘤等病史，呼吸困难较明显，可发生咯血、晕厥。X 线胸片示区域性肺血管纹理减少，有时可见尖端指向肺门的楔形阴影。动脉血气分析常见低氧血症及低碳酸血症。D- 二聚体、CT 肺动脉造影、放射性核素肺通气 / 灌注扫描和 MRI 等检查可帮助鉴别。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_risk_factor,RiskFactor,RF-CARD-26FAEB71ABE2,糖尿病,《内科学（第10版）》.docx,FOUNDATION-CARD-DEEP-20260625-001,【预后】 本病的预后与同时并存的冠心病、脑血管疾病密切相关。间歇性跛行病人 5 年生存率为 70%，10 年生存率为 50%，大多死于冠心病和脑血管事件。伴有糖尿病及吸烟病人预后更差，约 5%病人需行截肢术。
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_risk_factor,RiskFactor,RF-CARD-DEF5786467E6,肥胖,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,获得性危险因素指后天获得的易导致 VTE 发生的多种病理生理异常，多为暂时性或可逆性。恶性肿瘤是 VTE 重要的危险因素，肿瘤活动期 VTE 风险显著增加。VTE 与动脉性疾病有某些共同的危险因素，如吸烟、肥胖、高胆固醇血症、高血压病和糖尿病等。心肌梗死和心力衰竭也能够增加 VTE 的风险。年龄是 VTE 发生的独立危险因素，VTE 的发病率随年龄的增长逐渐增高。部分病人经较全面的检查也不能明确危险因素，称为特发性 VTE。部分特发性 VTE 病人存在隐匿性恶性肿瘤，应注意筛查和随访。
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_risk_factor,RiskFactor,RF-CARD-FULLBOOK-C643050E31,肿瘤,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,限制性通气障碍性肺疾病肺实质疾病 神经肌肉疾病 胸壁 / 胸膜疾病 肺血管疾病 感染性肺疾病 恶性肿瘤 睡眠呼吸障碍性疾病 间质性肺疾病 / 弥漫性实质性肺疾病，包括特发性肺纤维化、结节病、过敏性肺炎、尘肺等 肌萎缩侧索硬化症吉兰 - 巴雷综合征 脊柱后、侧凸胸腔积液 胸膜增厚 肺血栓栓塞症肺动脉高压 肺炎（社区获得性肺炎、医院获得性肺炎等）肺结核 肺真菌病 新发呼吸道传染病（COVID-19 等） 气管支气管炎支气管肺癌 肺转移瘤 / 癌 睡眠呼吸暂停综合征
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_risk_factor,RiskFactor,RF-CARD-FULLBOOK-66DF0ABEC6,长期卧床,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 寻找发生 DVT 和 PTE 的诱发因素 如制动、创伤、长期口服避孕药，以及导致易栓倾向的疾病，如抗磷脂综合征等。抗磷脂抗体检测包括狼疮抗凝物、抗心磷脂抗体、抗β2 糖蛋白 1 抗体。抗磷脂综合征的诊断除临床标准外，需要满足以下实验室标准：间隔至少 12 周，两次抗磷脂抗体检测阳性的，同时排除抗凝药导致的假阳性。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_risk_factor,RiskFactor,RF-CARD-TEXT-3935A55C86,高脂血症,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,获得性危险因素指后天获得的易导致 VTE 发生的多种病理生理异常，多为暂时性或可逆性。恶性肿瘤是 VTE 重要的危险因素，肿瘤活动期 VTE 风险显著增加。VTE 与动脉性疾病有某些共同的危险因素，如吸烟、肥胖、高胆固醇血症、高血压病和糖尿病等。心肌梗死和心力衰竭也能够增加 VTE 的风险。年龄是 VTE 发生的独立危险因素，VTE 的发病率随年龄的增长逐渐增高。部分病人经较全面的检查也不能明确危险因素，称为特发性 VTE。部分特发性 VTE 病人存在隐匿性恶性肿瘤，应注意筛查和随访。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-FULLBOOK-FCCBB5937E,休克,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,（二）评估严重程度 如果肺炎的诊断成立，评价病情的严重程度对于决定在门诊或入院治疗甚或 ICU 治疗至关重要。肺炎严重性取决于 3 个主要因素：肺部局部炎症程度、肺部炎症的播散和全身炎症反应程度。重症肺炎目前还没有普遍认同的诊断标准，如果肺炎病人需要呼吸支持（急性呼吸衰竭、气体交换严重障碍伴高碳酸血症或持续低氧血症）、循环支持（血流动力学障碍、外周灌注不足）和加强监护与治疗可认为是重症肺炎。目前许多国家制定了重症肺炎的诊断标准，虽然有所不同，但均注重肺部病变的范围、器官灌注和氧合状态。目前我国推荐使用 CURB-6
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-1FA3A83EF714,低血压,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,1. PVR 增加和心功能不全 栓子阻塞肺动脉及其分支达一定程度（30%～50%）后，因机械阻塞作用等导致 PVR 增加，继而导致了右心室后负荷增加，肺动脉压力升高。右心扩大致室间隔左移，使左心室功能受损。因此，左心室在舒张早期发生充盈受阻，导致心排血量的降低，进而引起体循环低血压、血流动力学不稳定。心排血量下降，主动脉内低血压和右心室压升高，使冠状动脉灌注压下降，特别是右心室内膜下心肌处于低灌注状态。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-TEXT-E67B99C5BD,发绀,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,【临床表现】 细菌性肺炎的症状可轻可重，取决于病原体和宿主的状态。常见症状为咳嗽、咳痰，或原有呼吸道症状加重，并出现脓性痰或血痰，伴或不伴胸痛。病变范围大者可有呼吸困难、呼吸窘迫。大多数病人有发热。早期肺部体征无明显异常，重症者可有呼吸频率增快、鼻翼扇动、发绀。肺实变时有典型的体征，如叩诊呈浊音、语颤增强和支气管呼吸音等，也可闻及湿啰音。并发胸腔积液者，患侧胸部叩诊呈浊音、语颤减弱、呼吸音减弱。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-75EFE91EFEED,奔马律,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P2＞A2 ）或分裂，少数病人可闻及收缩期喷射性杂音；颈静脉充盈或异常搏动，三尖瓣区可闻及收缩期杂音，可闻及右心奔马律，肝脏增大、肝颈静脉反流征和下肢肿胀等右心衰竭的体征；少数病人有心包摩擦音；病情严重的病人可出现血压下降甚至休克。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-4E5DA62E1DA3,心动过速,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P2＞A2 ）或分裂，少数病人可闻及收缩期喷射性杂音；颈静脉充盈或异常搏动，三尖瓣区可闻及收缩期杂音，可闻及右心奔马律，肝脏增大、肝颈静脉反流征和下肢肿胀等右心衰竭的体征；少数病人有心包摩擦音；病情严重的病人可出现血压下降甚至休克。
delete_high_confidence,目标实体和证据均不支持VTE语义,has_sign,Sign,SIGN-CARD-EB9D2F421114,心脏扩大,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,4. 心室壁瘤（cardiac aneurysm） 或称室壁瘤，主要见于左心室，发生率 5%～20%。体格检查可见左侧心界扩大，心脏搏动范围较广，可有收缩期杂音。瘤内发生附壁血栓时，心音减弱。心电图 ST 段持续抬高。超声心动图、放射性核素心血池
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-92548DA98265,心脏杂音,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P2＞A2 ）或分裂，少数病人可闻及收缩期喷射性杂音；颈静脉充盈或异常搏动，三尖瓣区可闻及收缩期杂音，可闻及右心奔马律，肝脏增大、肝颈静脉反流征和下肢肿胀等右心衰竭的体征；少数病人有心包摩擦音；病情严重的病人可出现血压下降甚至休克。
keep_semantic,目标实体允许且证据含VTE/PTE/DVT语义,has_sign,Sign,CARD-SKELETON-20260709-SIGN-EED0EF48BD272C92,收缩期杂音,静脉血栓症,CARD-SKELETON-FULL-20260709,
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-52CC24CD4C33,水肿,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,体感染；黄色脓性痰或痰液由白色黏液状转为黄色脓性常提示细菌感染；铁锈样痰可能是肺炎链球菌感染；大量脓性痰常见于肺脓肿或支气管扩张；红棕色胶冻样痰提示可能有肺炎克雷伯菌感染；脓痰有腐臭味提示可能有厌氧菌感染；巧克力色腥味痰提示可能患肺阿米巴病。咳粉红色稀薄泡沫痰伴呼吸困难提示可能有心力衰竭和肺水肿。痰量的增减反映感染的加剧或炎症的缓解，若痰量突然减少，且出现体温升高，可能与支气管引流不畅有关。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_sign,Sign,SIGN-CARD-FULLBOOK-4318832297,皮肤颜色改变,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,1. 静脉血栓 最为多见。常见于深静脉如腘静脉、股静脉等。主要表现有：①血栓形成的局部肿胀、疼痛；②血栓远端血液回流障碍：如远端水肿、胀痛、皮肤颜色改变等；③血栓脱落后栓塞血管引起相关脏器功能障碍，如肺栓塞等。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-FULLBOOK-727B69893B,肢体肿胀,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P2＞A2 ）或分裂，少数病人可闻及收缩期喷射性杂音；颈静脉充盈或异常搏动，三尖瓣区可闻及收缩期杂音，可闻及右心奔马律，肝脏增大、肝颈静脉反流征和下肢肿胀等右心衰竭的体征；少数病人有心包摩擦音；病情严重的病人可出现血压下降甚至休克。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_sign,Sign,SIGN-CARD-67CD9C4673B0,肺部啰音,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,1. CAP 是指在医院外罹患的感染性肺实质（含肺泡壁，即广义上的肺间质）炎症，包括具有明确潜伏期的病原体感染在入院后于潜伏期内发病的肺炎。其临床诊断依据是：①社区发病。②肺炎相关临床表现：a. 新近出现的咳嗽、咳痰或原有呼吸道疾病症状加重并出现脓性痰，伴或不伴胸痛/ 呼吸困难/咯血；b. 发热；c. 肺实变体征和/或闻及湿啰音；d.WBC＞10×109/L 或＜4×109/L，伴或不伴中性粒细胞核左移。③胸部影像学检查显示片状、斑片状浸润性阴影或间质性改变，伴或不伴胸腔积液。符合①、③及②中任何 1 项，并除外肺
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_sign,Sign,SIGN-CARD-37D71F7E64B1,颈静脉怒张,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,2. 循环系统 主要是肺动脉高压、右心功能不全以及左心搏出量急剧减少的体征。窦性心动过速最常见，并可见心律失常如期前收缩、室上性心动过速、心房扑动和心房颤动等；部分病人可闻及肺动脉瓣区第二心音亢进（P2＞A2 ）或分裂，少数病人可闻及收缩期喷射性杂音；颈静脉充盈或异常搏动，三尖瓣区可闻及收缩期杂音，可闻及右心奔马律，肝脏增大、肝颈静脉反流征和下肢肿胀等右心衰竭的体征；少数病人有心包摩擦音；病情严重的病人可出现血压下降甚至休克。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_sign,Sign,SIGN-CARD-TEXT-3A48213336,高血压,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,获得性危险因素指后天获得的易导致 VTE 发生的多种病理生理异常，多为暂时性或可逆性。恶性肿瘤是 VTE 重要的危险因素，肿瘤活动期 VTE 风险显著增加。VTE 与动脉性疾病有某些共同的危险因素，如吸烟、肥胖、高胆固醇血症、高血压病和糖尿病等。心肌梗死和心力衰竭也能够增加 VTE 的风险。年龄是 VTE 发生的独立危险因素，VTE 的发病率随年龄的增长逐渐增高。部分病人经较全面的检查也不能明确危险因素，称为特发性 VTE。部分特发性 VTE 病人存在隐匿性恶性肿瘤，应注意筛查和随访。
delete_high_confidence,目标实体和证据均不支持VTE语义,has_symptom,Symptom,SYM-CARD-1130B3D9AB8F,上腹部疼痛,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,5. 其他 还需与消化性溃疡穿孔、胸膜炎、肋软骨炎、肺癌、膈疝等鉴别，偶可有急起的胸痛、上腹痛及气促等急腹症表现，亦应注意与自发性气胸鉴别。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_symptom,Symptom,SYM-CARD-FULLBOOK-EF5BF0B7D6,下肢疼痛,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,部分病人在慢性期，特别是起病 6 个月后，会出现下肢静脉功能不全，表现为患肢胀痛、静脉曲张、皮肤瘙痒、色素沉着、湿疹、溃疡等，称为血栓栓塞后综合征。
review_ambiguous,目标名称临床可能相关，但缺少VTE证据文本,has_symptom,Symptom,SYM-CARD-0ACC45EF4E60,乏力,《内科学（第10版）》docx,FOUNDATION-CARD-FULLBOOK-BACKFILL-20260625-001,（1）肺结核：多有全身中毒症状，如午后低热、盗汗、疲乏无力、体重减轻、失眠、心悸，女性病人可有月经失调或闭经等。X 线胸片见病变多在肺尖或锁骨上下，密度不匀，消散缓慢，且可形成空洞或肺内播散。痰中可找到结核分枝杆菌。一般抗菌治疗疗效不佳。
review_ambiguous,证据含VTE语义，但目标实体不是VTE核心槽位,has_symptom,Symptom,SYM-CARD-BC91622FC62F,出汗,静脉血栓症,CARD-SKELETON-FULL-20260709,
