层级,标题,父级,名称,docx_start_para,docx_end_para,开始段落,结束段落,路径,可用槽位,概述预览
条目,病态窦房结综合征,窦性心律失常,病态窦房结综合征,4347,4360,4347,4360,心律失常 > 窦性心律失常 > 病态窦房结综合征,definition；etiology；clinical_manifestation；treatment,病态窦房结综合征（sick sinus syndrome，SSS）简称病窦综合征，是由窦房结病变导致功能减退，产生多种心律失常的综合表现。病人可在不同时间出现一种以上的心律失常，常同时合并心房自律性异常，部分病人同时有房室传导功能障碍。
节,房性心律失常,心律失常,房性心律失常,4361,4362,4361,4362,心律失常 > 房性心律失常,,
条目,房性期前收缩,房性心律失常,房性期前收缩,4363,4370,4363,4370,心律失常 > 房性心律失常 > 房性期前收缩,definition；clinical_manifestation；treatment,房性期前收缩（premature atrial beats），也称房性早搏，简称房早，是指起源于窦房结以外心房的任何部位的心房激动，是临床上常见的心律失常。
条目,房性心动过速,房性心律失常,房性心动过速,4371,4395,4371,4395,心律失常 > 房性心律失常 > 房性心动过速,definition；etiology；clinical_manifestation；treatment,房性心动过速（atrial tachycardia）简称房速，指起源于心房且无需房室结参与维持的心动过速。 发生机制包括自律性增加、折返与触发活动。根据起源点不同，分为局灶性房性心动过速（focal atrial tachycardia）和多源性房性心动过速（multifocal atrial tachycardia），后者也称为紊乱性房性心动过速（chao...
条目,心房扑动,房性心律失常,心房扑动,4396,4408,4396,4408,心律失常 > 房性心律失常 > 心房扑动,definition；etiology；clinical_manifestation；treatment,心房扑动（atrial flutter）简称房扑，是介于房速和房颤之间的快速型心律失常。健康者很少见，病人多伴有器质性心脏病。
条目,心房颤动,房性心律失常,心房颤动,4409,4452,4409,4452,心律失常 > 房性心律失常 > 心房颤动,definition；etiology；clinical_manifestation；treatment,心房颤动（atrial fibrillation，AF）简称房颤，是最常见的心律失常之一，是指规则有序的心房电活动丧失，代之以快速无序的颤动波，是最严重的心房电活动紊乱。心房无序的颤动使之失去了有效的收缩与舒张，心房泵血功能恶化或丧失，加之房室结对快速心房激动的递减传导，引起心室极不规则的反应。因此，心室律（率）紊乱、心功能受损和心房附壁血栓形成是房颤病人的...
节,房室交界性心律失常,心律失常,房室交界性心律失常,4453,4454,4453,4454,心律失常 > 房室交界性心律失常,,
条目,房室交界性期前收缩,房室交界性心律失常,房室交界性期前收缩,4455,4471,4455,4471,心律失常 > 房室交界性心律失常 > 房室交界性期前收缩,definition,房室交界性期前收缩（premature atrioventricular junctional beats）简称交界性期前收缩。其冲动起源于房室交界区，可前向和逆向传导，分别产生提前发生的 QRS 波与逆行 P 波；逆行 P 波可位于 QRS波之前（PR 间期＜0.12 秒）、之中或之后（RP 间期＜0.20 秒）；QRS 波形态正常（图 3-3-13），当...
条目,非阵发性房室交界性心动过速,房室交界性心律失常,非阵发性房室交界性心动过速,4472,4475,4472,4475,心律失常 > 房室交界性心律失常 > 非阵发性房室交界性心动过速,definition,非阵发性房室交界性心动过速（nonparoxysmal atrioventricular junctional tachycardia）的发生机制与房室交界区组织的自律性增高或触发活动有关。最常见的病因为洋地黄中毒，其次为下壁心肌梗死、心肌炎、急性风湿热或心脏瓣膜手术后等，亦偶见于正常人。 心动过速发作起始与终止时，心率逐渐变化，有别于突发突止的阵发性折返性...
条目,房室交界区相关的折返性心动过速,房室交界性心律失常,房室交界区相关的折返性心动过速,4476,4547,4476,4547,心律失常 > 房室交界性心律失常 > 房室交界区相关的折返性心动过速,definition；etiology；clinical_manifestation；treatment,房室交界区相关的折返性心动过速主要包括房室结折返性心动过速（atrioventricular nodal reentrant tachycardia，AVNRT）和房室折返性心动过速（atrioventricular reentrant tachycardia，AVRT）两大类，临床特征表现为规律而快速的心动过速，呈突然发作与终止，心电图多表现为 QRS 波...
节,室性心律失常,心律失常,室性心律失常,4548,4549,4548,4549,心律失常 > 室性心律失常,,
条目,室性期前收缩,室性心律失常,室性期前收缩,4550,4571,4550,4571,心律失常 > 室性心律失常 > 室性期前收缩,definition；etiology；clinical_manifestation；treatment,室性期前收缩（premature ventricular beat）也称室性早搏，简称室早，是一种最常见的心律失常，指希氏束以下部位心室兴奋灶提前除极而产生的过早搏动。
条目,室性心动过速,室性心律失常,室性心动过速,4572,4614,4572,4614,心律失常 > 室性心律失常 > 室性心动过速,definition；etiology；clinical_manifestation；treatment,室性心动过速（ventricular tachycardia，VT）简称室速，是起源于希氏束以下的特殊传导系统或者心室肌的连续 3 个或 3 个以上的异位心搏。及时正确地判断和治疗室速具有非常重要的临床意义。
条目,心室扑动与心室颤动,室性心律失常,心室扑动与心室颤动,4615,4641,4615,4641,心律失常 > 室性心律失常 > 心室扑动与心室颤动,definition；clinical_manifestation,心室扑动（ventricular flutter，VF）与心室颤动（ventricular fibrillation，VF）简称室扑和室颤，为致死性心律失常。最常见于冠心病和各种疾病的终末期。此外，抗心律失常药物，特别是引起 QT 间期延长与尖端扭转型室速的药物，以及严重缺氧缺血、预激综合征合并房颤时极快的心室率、电击伤等亦可引起。
节,心脏传导阻滞,心律失常,心脏传导阻滞,4642,4649,4642,4649,心律失常 > 心脏传导阻滞,definition,心脏传导阻滞（heart conduction block）是由心脏传导系统的解剖或功能失常造成的永久性或暂时性冲动传导障碍，可发生于心脏传导系统的任何水平。如发生在窦房结与心房之间，称窦房传导阻 滞，心房与心室之间称房室传导阻滞，心室内称室内传导阻滞。 窦房传导阻滞已在本章第二节叙述。
条目,房室传导阻滞,心脏传导阻滞,房室传导阻滞,4650,4689,4650,4689,心律失常 > 心脏传导阻滞 > 房室传导阻滞,definition；etiology；clinical_manifestation；treatment,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位。房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。二度房室传导阻滞又分为Ⅰ型（文氏阻滞）和Ⅱ型，Ⅰ型阻滞表现为传导时间进行性延长，直...
条目,室内传导阻滞,心脏传导阻滞,室内传导阻滞,4690,4709,4690,4709,心律失常 > 心脏传导阻滞 > 室内传导阻滞,definition；treatment,室内传导阻滞（intraventricular block）是指希氏束以下部位的传导阻滞。室内传导系统由右束支、左前分支和左后分支三部分组成。室内传导系统的病变可波及单支、双支或三支。 右束支传导阻滞较为常见，常无临床意义。左束支传导阻滞常发生于急性心肌梗死、心肌病、药物中毒等引起心肌弥漫性病变所致。左前分支阻滞较为常见，左后分支阻滞较为少见。 单支、双支阻...
节,抗心律失常药物的合理应用,心律失常,抗心律失常药物的合理应用,4710,4747,4710,4747,心律失常 > 抗心律失常药物的合理应用,definition,抗心律失常药物治疗原则：①首先评估药物治疗的必要性，无器质性心脏病或无明显症状、不影响预后的心律失常，多不需要治疗。心律失常治疗主要目的是缓解症状或减少心律失常对心功能和心肌缺血的影响，不应以消灭或减少心律失常为主要目标。②要注意兼顾基础心脏病的治疗，去除病因和诱因，权衡心律失常治疗的重要性和紧迫性，要着重考虑可改善预后的综合治疗措施，如房颤的抗凝治疗。③正...
节,心律失常的介入治疗和手术治疗,心律失常,心律失常的介入治疗和手术治疗,4748,4863,4748,4863,心律失常 > 心律失常的介入治疗和手术治疗,definition,一 、心脏电复律与电除颤
节,动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病,动脉粥样硬化,4864,4889,4864,4889,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 动脉粥样硬化,definition；etiology；pathogenesis,动脉粥样硬化（atherosclerosis）的特点是受累动脉的病变从内膜开始，局部先后发生细胞内外的脂质积聚、纤维组织增生和钙质沉着，病变内可见单核巨噬细胞及其他炎症细胞，并有平滑肌细胞的迁移和增生，大量胶原纤维、弹力纤维和蛋白多糖等结缔组织基质形成，动脉中层也可发生逐渐退变和钙化，在此基础上可发生斑块内出血、糜烂或破裂及继发局部血栓形成。由于在动脉内膜积...
章,动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,动脉粥样硬化和冠状动脉粥样硬化性心脏病,4890,4942,4890,4942,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 动脉粥样硬化和冠状动脉粥样硬化性心脏病,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,滴，有 T 淋巴细胞浸润。 Ⅲ型：斑块前期。细胞外出现较多脂滴，在内膜和中膜平滑肌层之间形成脂核，但尚未形成脂质池。 Ⅳ型：粥样斑块。脂质积聚多，形成脂质池，内膜结构破坏，动脉壁变形。 Ⅴ型：纤维粥样斑块。为动脉粥样硬化最具特征性病变，呈白色斑块突入动脉腔内引起管腔狭窄。斑块表面内膜被破坏而由增生的纤维膜（帽）覆盖于脂质池之上。病变可向中膜扩展，破坏管壁，并...
节,冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,4943,4955,4943,4955,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉粥样硬化性心脏病概述,definition；classification；risk_stratification；pathogenesis,冠状动脉粥样硬化性心脏病（coronary atherosclerotic heart disease）指冠状动脉（冠脉）发生粥样硬化引起管腔狭窄或闭塞，导致心肌缺血、缺氧或坏死而引起的心脏病，简称冠心病（coronary artery disease，CAD；或 coronary heart disease，CHD），亦称缺血性心脏病（ischemic h...
节,慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,慢性冠状动脉综合征,4956,4957,4956,4957,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征,definition,慢性冠状动脉综合征（CCS）最常见为慢性稳定型劳力性心绞痛和以心功能不全为主要表现的缺血性心肌病，部分处于渡过 ACS 后或行血运重建之后稳定期，有些则为无症状隐匿型冠心病。发生心肌缺血的主要原因是存在稳定的心外膜冠脉粥样硬化造成的固定狭窄，在某些因素导致心肌耗氧量增加的情况下诱发心肌急剧暂时性缺血缺氧；但冠脉痉挛或微血管病变的病人没有心外膜血管固定狭窄临床...
条目,稳定型心绞痛,慢性冠状动脉综合征,稳定型心绞痛,4958,5088,4958,5088,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 稳定型心绞痛,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,稳定型心绞痛（stable angina pectoris）也称劳力性心绞痛。其特点为阵发性的前胸部压榨性疼痛或憋闷感觉，主要位于胸骨后部，可放射至心前区和左上肢尺侧，常发生于劳力负荷增加时，持续数分钟，休息或服用硝酸酯制剂后疼痛消失。疼痛发作的程度、频度、持续时间、性质及诱发因素等在数月内无明显变化。
条目,缺血性心肌病,慢性冠状动脉综合征,缺血性心肌病,5089,5110,5089,5110,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 缺血性心肌病,definition；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。其病理生理基础是冠脉粥样硬化病变使心肌长期缺血、缺氧以至心肌细胞减少、坏死、心肌纤维化、心肌瘢痕形成。
条目,隐匿型冠心病,慢性冠状动脉综合征,隐匿型冠心病,5111,5119,5111,5119,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 隐匿型冠心病,diagnostic_criteria；differential_diagnosis；treatment,
节,急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,急性冠脉综合征,5120,5126,5120,5126,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,definition,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵...
条目,不稳定型心绞痛和非 ST 段抬高型心肌梗死,急性冠脉综合征,不稳定型心绞痛和非 ST 段抬高型心肌梗死,5127,5196,5127,5196,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征 > 不稳定型心绞痛和非 ST 段抬高型心肌梗死,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；classification；risk_stratification；treatment,UA/NSTEMI 合 称 为 非 ST 段抬高型急性冠脉综合征（non-ST segment elevation acute coronary syndrome，NSTEACS）。UA/NSTEMI 的病因和临床表现相似但心肌缺血程度不同，UA 有新发心肌缺血（包括静息状态下缺血）但不伴有心肌坏死，而 NSTEMI 心肌缺血更严重，伴有心肌损害和心肌坏死标...
条目,急性 ST 段抬高型心肌梗死,急性冠脉综合征,急性 ST 段抬高型心肌梗死,5197,5398,5197,5398,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征 > 急性 ST 段抬高型心肌梗死,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,STEMI 是指急性心肌缺血性坏死，大多是在冠脉病变的基础上，发生冠脉血供急剧减少或中断，使相应的心肌严重而持久地急性缺血所致。常见原因为在冠脉不稳定斑块破裂、糜烂、侵蚀基础上继发血栓形成导致冠脉血管持续、完全闭塞，少部分为冠脉开口堵塞，如主动脉夹层撕裂累及冠脉开口，或医源性的，如经导管主动脉瓣植入术导致的冠脉口堵塞，其他少见的原因包括血栓栓塞、自发性夹层或...
节,冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病,冠状动脉疾病的其他表现形式,5399,5400,5399,5400,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉疾病的其他表现形式,,
条目,冠状动脉痉挛,冠状动脉疾病的其他表现形式,冠状动脉痉挛,5401,5478,5401,5478,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 冠状动脉疾病的其他表现形式 > 冠状动脉痉挛,definition,冠脉痉挛是一种特殊类型的冠脉疾病。造影正常血管或粥样硬化病变部位均可发生痉挛。其临床表现和治疗方案与冠心病有明显的差别。 病人常较年轻，除吸烟外，大多数病人缺乏动脉粥样硬化的经典危险因素。吸烟、酒精和毒品是冠脉痉挛的重要诱发因素。 本病表现为静息性心绞痛，无体力劳动或情绪激动等诱因。发病时间集中在午夜至上午 8 点之间。病人常因恶性心律失常伴发晕厥。少数病人...
章,高血压,第三篇循环系统疾病,高血压,5479,5482,5479,5482,高血压 > 高血压,,
节,原发性高血压,高血压,原发性高血压,5483,5655,5483,5655,高血压 > 原发性高血压,definition；etiology；exam；diagnostic_criteria；differential_diagnosis；classification；risk_stratification；treatment,高血压是以体循环动脉压升高为主要临床表现的心血管综合征，可分为原发性高血压（essential hypertension）和继发性高血压（secondary hypertension）。原发性高血压，又称高血压病，是心脑血管疾病最重要的危险因素之一，常与其他心血管危险因素共存，可损伤重要脏器，如心、脑、肾的结构和功能，最终导致这些器官的功能衰竭。 人群中血压...
节,继发性高血压,高血压,继发性高血压,5656,5738,5656,5738,高血压 > 继发性高血压,definition,继发性高血压是指由某些确定的疾病或病因引起的血压升高。继发性高血压尽管所占比例并不高，但绝对人数并不少，除了高血压本身的危害以外，与之伴随的电解质紊乱、内分泌失衡、低氧血症等还可导致独立于血压之外的心血管损害，其危害程度较原发性高血压更大。某些继发性高血压，如原发性醛固酮增多症、嗜铬细胞瘤、肾血管性高血压等，可通过手术得到根治或改善。因此，及早明确诊断能提高...
章,心肌疾病,第三篇循环系统疾病,心肌疾病,5739,5745,5739,5745,心肌疾病 > 心肌疾病,definition,心肌病（cardiomyopathy，CM）是一组病因和表型异质性高的心肌疾病，其心肌结构和 / 或功能异常无法以前 / 后负荷增加或心肌缺血等疾病来诠释。CM 病因复杂，可为遗传性或获得性。遗传模式多为常染色体显性遗传，由编码心肌肌节、骨架和桥粒蛋白的基因突变分别导致以心肌肥厚、心腔扩张和心律失常为主要表型的心肌病。某些系统性疾病也与 CM 有表型重叠。 ...
节,肥厚型心肌病,心肌疾病,肥厚型心肌病,5746,5809,5746,5809,心肌疾病 > 肥厚型心肌病,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,肥厚型心肌病（hypertrophic cardiomyopathy，HCM）是一类以左心室和 / 或右心室肥厚，伴舒张功能障碍为特征的心肌病，需排除继发于后负荷增加或系统性疾病的心肌肥厚。HCM 发病率成人为2‰、儿童为 0.02～0.05‰，患病率为 0.29‰，临床表现差异大，部分病人以 SCD 为首发表现，是青少年和运动猝死的重要原因。
节,扩张型心肌病,心肌疾病,扩张型心肌病,5810,5874,5810,5874,心肌疾病 > 扩张型心肌病,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,扩张型心肌病（dilated cardiomyopathy，DCM）是一类以左室或双心室扩大伴收缩功能障碍为特征的心肌病，且无法以负荷异常或心肌缺血等来解释。本病发病率为 0.13‰～0.84‰，预后较差，确诊后 5 年和 10 年生存率分别约 50% 和 25%。
节,非扩张型左心室心肌病,心肌疾病,非扩张型左心室心肌病,5875,5894,5875,5894,心肌疾病 > 非扩张型左心室心肌病,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,非扩张型左心室心肌病（non-dilated left ventricular cardiomyopathy，NDLVC）是指在无左心室扩张情况下，左心室存在着非缺血性瘢痕或脂肪替代，伴或不伴整体或局部室壁运动异常；这些心肌病变仅由负荷异常或心肌缺血无法解释。
节,致心律失常性右心室心肌病,心肌疾病,致心律失常性右心室心肌病,5895,5928,5895,5928,心肌疾病 > 致心律失常性右心室心肌病,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,致心律失常性右心室心肌病（arrhythmogenic right ventricular cardiomyopathy，ARVC）是以进展性右心室心肌萎缩并被纤维或 / 和脂肪替代为特征的心肌疾病。本病发病率为 0.2‰～1.0‰，男性易患，多在 30 岁左右发病，预后差。
节,限制型心肌病,心肌疾病,限制型心肌病,5929,5959,5929,5959,心肌疾病 > 限制型心肌病,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,限制型心肌病（restrictive cardiomyopathy，RCM）是一组以限制性心室充盈障碍为特征的混合性心肌病，其预后较差，5 年生存期仅约 30%。
节,心肌炎,心肌疾病,心肌炎,5960,6066,5960,6066,心肌疾病 > 心肌炎,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,心肌炎（myocarditis）是指感染和非感染性心肌炎性疾病。感染性病原多为病毒，少数是细菌、真菌、立克次体、螺旋体、原虫等；非感染性病因包括理化、药物、过敏、免疫等。病毒性心肌炎（viral myocarditis，VM）是嗜心肌病毒感染引起的心肌炎症损伤。本节重点介绍 VM。
章,先天性心血管病,第三篇循环系统疾病,先天性心血管病,6067,6070,6067,6070,先天性心血管病 > 先天性心血管病,,
节,成人常见先天性心血管病,先天性心血管病,成人常见先天性心血管病,6071,6266,6071,6266,先天性心血管病 > 成人常见先天性心血管病,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,先天性心血管病（congenital cardiovascular diseases）是指心脏及大血管在胎儿期发育异常引起的、在出生时病变即已存在的疾病，简称先心病。在我国，先心病的发病率为 0.7%～0.8%。成人常见先天性心血管病见表 3-7-1。 表 3-7-1 成人常见先天性心血管病 一 、房间隔缺损 房间隔缺损（atrial septal defe...
条目,艾森门格综合征,成人常见先天性心血管病,艾森门格综合征,6267,6281,6267,6281,先天性心血管病 > 成人常见先天性心血管病 > 艾森门格综合征,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,艾森门格综合征（Eisenmenger syndrome）是一组先天性心脏病发展的后果，由原来的左向右分流变成右向左分流，从无青紫发展至有青紫时，即称为 Eisenmenger 综合征。
节,成人先天性心脏病的介入治疗,先天性心血管病,成人先天性心脏病的介入治疗,6282,6385,6282,6385,先天性心血管病 > 成人先天性心脏病的介入治疗,definition,随着影像学、各种导管技术以及使用的介入器材的不断改进与发展，先心病介入治疗在一定范围内已经取代了外科手术治疗。目前，我国每年约有超过 2.5 万先心病病人接受介入治疗。成人先天性心脏病的介入治疗，见表 3-7-2。 一 、经皮球囊肺动脉瓣成形术 经皮球囊肺动脉瓣成形术（percutaneous balloon pulmonary valvuloplasty，...
章,心脏瓣膜病,第三篇循环系统疾病,心脏瓣膜病,6386,6391,6386,6391,心脏瓣膜病 > 心脏瓣膜病,definition,心脏瓣膜病（valvular heart disease，VHD）是由多种原因引起的心脏瓣膜狭窄或 / 和反流所致的心脏疾病。正常情况下，心脏瓣膜开放使血液向前流动，心脏瓣膜关闭则防止血液反流，从而保证心脏内血流的单向流动。当瓣膜狭窄时，心腔压力负荷增加；瓣膜反流时，心腔容量负荷增加。这些血流动力学改变可导致心房或心室结构改变及功能失常，最终出现心力衰竭、心...
节,主动脉瓣狭窄,心脏瓣膜病,主动脉瓣狭窄,6392,6457,6392,6457,心脏瓣膜病 > 主动脉瓣狭窄,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,
节,主动脉瓣反流,心脏瓣膜病,主动脉瓣反流,6458,6511,6458,6511,心脏瓣膜病 > 主动脉瓣反流,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,
节,二尖瓣狭窄,心脏瓣膜病,二尖瓣狭窄,6512,6566,6512,6566,心脏瓣膜病 > 二尖瓣狭窄,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,
节,二尖瓣反流,心脏瓣膜病,二尖瓣反流,6567,6621,6567,6621,心脏瓣膜病 > 二尖瓣反流,pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,
节,多瓣膜病,心脏瓣膜病,多瓣膜病,6622,6637,6622,6637,心脏瓣膜病 > 多瓣膜病,definition,多瓣膜病（multivalvular heart disease）又称联合瓣膜病，是指两个或两个以上瓣膜病变同时存在。 【病因】 引起多瓣膜病的病因，多数为单一病因，少数为多种病因引起。 1. 一种疾病同时损害几个瓣膜 最常见为风湿性心脏病，近一半病人有多瓣膜损害。其次为老年退行性改变、黏液样变性，可同时累及二尖瓣和三尖瓣，两者可同时发生脱垂。感染性心内膜炎...
节,风湿热,心脏瓣膜病,风湿热,6638,6683,6638,6683,心脏瓣膜病 > 风湿热,definition；clinical_manifestation；diagnostic_criteria；differential_diagnosis,风湿热（rheumatic fever）是心脏瓣膜病的主要病因之一，是由于 A 群乙型溶血性链球菌感染所致，其致病机制与继发于链球菌感染后异常免疫反应有关。 该细菌荚膜与关节、滑膜之间有共同抗原，细胞壁外层中 M 蛋白及 M 相关蛋白、中层多糖中 N- 乙酰萄糖胺等与心肌和心瓣膜有共同抗原，细胞膜脂蛋白与心肌纤维膜和丘脑下核、尾状核之间有共同抗原。链球菌感染...
