subject_name,parent,level,docx_start_para,docx_end_para,pdf_page_approx,extracted_slot_count,extracted_slots,expected_core_missing,status
心脏传导阻滞,心律失常,节,4642,4649,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
房室传导阻滞,心脏传导阻滞,条目,4650,4689,,4,definition；etiology；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；exam；pathogenesis,needs_slot_backfill_or_manual_review
室内传导阻滞,心脏传导阻滞,条目,4690,4709,,2,definition；treatment,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
抗心律失常药物的合理应用,心律失常,节,4710,4747,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心律失常的介入治疗和手术治疗,心律失常,节,4748,4863,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
动脉粥样硬化,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4864,4889,,3,definition；etiology；pathogenesis,clinical_manifestation；diagnostic_criteria；differential_diagnosis；exam；treatment,needs_slot_backfill_or_manual_review
动脉粥样硬化和冠状动脉粥样硬化性心脏病,第三篇循环系统疾病,章,4890,4942,,9,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,etiology；pathogenesis,needs_slot_backfill_or_manual_review
冠状动脉粥样硬化性心脏病概述,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4943,4955,,4,definition；classification；risk_stratification；pathogenesis,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；treatment,needs_slot_backfill_or_manual_review
慢性冠状动脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,4956,4957,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
稳定型心绞痛,慢性冠状动脉综合征,条目,4958,5088,,10,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,etiology,needs_slot_backfill_or_manual_review
缺血性心肌病,慢性冠状动脉综合征,条目,5089,5110,,5,definition；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
隐匿型冠心病,慢性冠状动脉综合征,条目,5111,5119,,3,diagnostic_criteria；differential_diagnosis；treatment,clinical_manifestation；definition；etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
急性冠脉综合征,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,5120,5126,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
不稳定型心绞痛和非 ST 段抬高型心肌梗死,急性冠脉综合征,条目,5127,5196,,9,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；classification；risk_stratification；treatment,pathogenesis,needs_slot_backfill_or_manual_review
急性 ST 段抬高型心肌梗死,急性冠脉综合征,条目,5197,5398,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,,anchor_complete_basic
冠状动脉疾病的其他表现形式,动脉粥样硬化和冠状动脉粥样硬化性心脏病,节,5399,5400,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
冠状动脉痉挛,冠状动脉疾病的其他表现形式,条目,5401,5478,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
高血压,第三篇循环系统疾病,章,5479,5482,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
原发性高血压,高血压,节,5483,5655,,8,definition；etiology；exam；diagnostic_criteria；differential_diagnosis；classification；risk_stratification；treatment,clinical_manifestation；pathogenesis,needs_slot_backfill_or_manual_review
继发性高血压,高血压,节,5656,5738,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心肌疾病,第三篇循环系统疾病,章,5739,5745,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
肥厚型心肌病,心肌疾病,节,5746,5809,,7,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,etiology,needs_slot_backfill_or_manual_review
扩张型心肌病,心肌疾病,节,5810,5874,,8,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,,anchor_complete_basic
非扩张型左心室心肌病,心肌疾病,节,5875,5894,,7,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,etiology,needs_slot_backfill_or_manual_review
致心律失常性右心室心肌病,心肌疾病,节,5895,5928,,7,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,etiology,needs_slot_backfill_or_manual_review
限制型心肌病,心肌疾病,节,5929,5959,,7,definition；etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,pathogenesis,needs_slot_backfill_or_manual_review
心肌炎,心肌疾病,节,5960,6066,,8,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,,anchor_complete_basic
先天性心血管病,第三篇循环系统疾病,章,6067,6070,,0,,clinical_manifestation；definition；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
成人常见先天性心血管病,先天性心血管病,节,6071,6266,,10,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,etiology,needs_slot_backfill_or_manual_review
艾森门格综合征,成人常见先天性心血管病,条目,6267,6281,,10,definition；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,etiology,needs_slot_backfill_or_manual_review
成人先天性心脏病的介入治疗,先天性心血管病,节,6282,6385,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心脏瓣膜病,第三篇循环系统疾病,章,6386,6391,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
主动脉瓣狭窄,心脏瓣膜病,节,6392,6457,,9,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,definition；exam,needs_slot_backfill_or_manual_review
主动脉瓣反流,心脏瓣膜病,节,6458,6511,,9,etiology；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,definition；exam,needs_slot_backfill_or_manual_review
二尖瓣狭窄,心脏瓣膜病,节,6512,6566,,10,etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,definition,needs_slot_backfill_or_manual_review
二尖瓣反流,心脏瓣膜病,节,6567,6621,,9,pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,definition；etiology,needs_slot_backfill_or_manual_review
多瓣膜病,心脏瓣膜病,节,6622,6637,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
风湿热,心脏瓣膜病,节,6638,6683,,4,definition；clinical_manifestation；diagnostic_criteria；differential_diagnosis,etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心包疾病,第三篇循环系统疾病,章,6684,6689,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
急性心包炎,心包疾病,节,6690,6725,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,,anchor_complete_basic
心包积液及心脏压塞,心包疾病,节,6726,6750,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,,anchor_complete_basic
缩窄性心包炎,心包疾病,节,6751,6836,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；prognosis；follow_up；prevention；treatment,,anchor_complete_basic
感染性心内膜炎,第三篇循环系统疾病,章,6837,7004,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,,anchor_complete_basic
心脏骤停与心脏性猝死,第三篇循环系统疾病,章,7005,7156,,4,definition；etiology；pathogenesis；clinical_manifestation,diagnostic_criteria；differential_diagnosis；exam；treatment,needs_slot_backfill_or_manual_review
主动脉夹层,心脏骤停与心脏性猝死,节,7157,7216,,6,definition；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,etiology；pathogenesis,needs_slot_backfill_or_manual_review
下肢动脉硬化闭塞症,心脏骤停与心脏性猝死,节,7217,7255,,11,definition；etiology；pathogenesis；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment；prognosis；follow_up；prevention,,anchor_complete_basic
静脉血栓症,心脏骤停与心脏性猝死,节,7256,7337,,5,definition；etiology；clinical_manifestation；diagnostic_criteria；differential_diagnosis,exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
心血管神经症,第三篇循环系统疾病,章,7338,7392,,2,definition；treatment,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis,needs_slot_backfill_or_manual_review
肿瘤治疗相关的心功能不全,肿瘤心脏病学,节,7393,7426,,6,etiology；clinical_manifestation；exam；diagnostic_criteria；differential_diagnosis；treatment,definition；pathogenesis,needs_slot_backfill_or_manual_review
肿瘤治疗相关的冠状动脉疾病,肿瘤心脏病学,节,7427,7436,,4,definition；pathogenesis；clinical_manifestation；treatment,diagnostic_criteria；differential_diagnosis；etiology；exam,needs_slot_backfill_or_manual_review
肿瘤治疗相关的心律失常,肿瘤心脏病学,节,7437,7450,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
肿瘤治疗相关的高血压,肿瘤心脏病学,节,7451,7453,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
肿瘤治疗相关的血栓性疾病,肿瘤心脏病学,节,7454,7456,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
肿瘤治疗相关的其他心血管疾病,肿瘤心脏病学,节,7457,7526,,1,definition,clinical_manifestation；diagnostic_criteria；differential_diagnosis；etiology；exam；pathogenesis；treatment,needs_slot_backfill_or_manual_review
糖尿病与高血压,糖尿病相关心血管疾病,节,7527,7540,,6,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,etiology；exam,needs_slot_backfill_or_manual_review
糖尿病与冠心病,糖尿病相关心血管疾病,节,7541,7569,,6,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,etiology；exam,needs_slot_backfill_or_manual_review
糖尿病与心力衰竭,糖尿病相关心血管疾病,节,7570,7599,,6,definition；pathogenesis；clinical_manifestation；diagnostic_criteria；differential_diagnosis；treatment,etiology；exam,needs_slot_backfill_or_manual_review
