issue_scope,source_artifact_scope,target_artifact_scope,source_disease_name,target_subject_name,mapping_status,mapping_type,entityType,slot,entity_name,entity_code,relationType,line_number,target_docx_start_para,target_docx_end_para,line_in_target_docx_range,evidence_quality,evidence_reason,merge_decision,evidence_code,evidence_text_preview,machine_precheck_decision,machine_precheck_reason,risk_flags,risk_flag_count,disease_mentioned_in_evidence,entity_mentioned_in_evidence,negative_context_hits,non_target_context_hits,generic_entity
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心力衰竭,心力衰竭,可自动采用,exact,Sign,clinical_manifestation,高血压,SIGN-CARD-TEXT-3A48213336,has_sign,8619,3905,3909,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-A1E7489586CFDC,应控制在＜180/110mmHg。急性脑出血的降压治疗：收缩压＞220mmHg 时，应积极使用静脉降压药物降低血压。病人收缩压＞180mmHg 时，可使用静脉降压药物控制血压，160/90mmHg 可作为参考的降压目标值。对于稳定期病人，降压治疗目的是减少脑卒中再发。对老年病人、双侧或颅内动脉严重狭窄者及严重直立性低血压病人，应该慎重进行降压治疗，降压过程应,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；疑似非目标章节上下文；实体过泛需疾病上下文,5,no,no,,脑卒中,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心肌炎,心肌炎,可自动采用,exact,Sign,clinical_manifestation,低血压,SIGN-CARD-1FA3A83EF714,has_sign,6949,5960,6066,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-D3313B3EA03E83,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,除外,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,ST段抬高型心肌梗死,急性 ST 段抬高型心肌梗死,可自动采用,manual_synonym_rule,Complication,complication,出血,COMP-CARD-FULLBOOK-F7077FB368,may_cause_complication,8061,5197,5398,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-37F5C38EA01DB2,（2）禁忌证：①既往发生过出血性脑卒中，6 个月内发生过缺血性脑卒中或脑血管事件；②中枢神经系统受损、颅内肿瘤或畸形；③近期（2～4 周）有活动性内脏出血；④未排除主动脉夹层；⑤入院时严重且未控制的高血压（ ＞180/110mmHg）或慢性严重高血压病史；⑥目前正在使用治疗剂量的抗凝药或已知有出血倾向；⑦近期（2～4 周）创伤史，包括头部外伤、创伤性心肺复苏,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语；疑似非目标章节上下文；实体过泛需疾病上下文,6,no,yes,禁忌；排除,肿瘤；脑卒中,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,主动脉夹层,主动脉夹层,可自动采用,exact,Complication,complication,出血,COMP-CARD-FULLBOOK-F7077FB368,may_cause_complication,2113,7157,7216,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-F4827CA22C498C,隐球菌中具有致病性的主要是新型隐球菌及格特变种（目前至少有 9 种），细胞多呈圆形或卵圆形，不形成菌丝和孢子，出芽生殖。新型隐球菌是一种腐物寄生性酵母菌，能在 37℃生长，具有荚膜。根据其荚膜抗原分为 A、B、C、D 四个血清型。不同变种及不同血清型所致感染呈现一定的地域性差异。A、D 型和 AD 型呈全球性分布，广泛存在于土壤和鸽粪中，与免疫抑制（尤其是,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；疑似非目标章节上下文；实体过泛需疾病上下文,6,no,no,,隐球菌,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,二尖瓣反流,二尖瓣反流,可自动采用,exact,Complication,complication,心律失常,COMP-CARD-439BBF78D81C,may_cause_complication,10001,6567,6621,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-1AE7F2DC65364E,1. 人工瓣膜置换术 对严重的二尖瓣狭窄不适合行球囊扩张术的病人，可以进行二尖瓣置换术。适应证：①重度 MS 合并严重症状（NYHA Ⅲ~Ⅳ级）的病人，非外科手术高风险，不适合或既往PBMV 失败；②中度 MS 病人，合并其他需要手术的心脏疾病；③严重 MS 病人，虽然接受充分的抗凝治疗，但仍出现复发性血栓事件。手术应在有症状而无肺动脉高压时考虑。严重肺动脉,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,6,no,no,不适合,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,可自动采用,normalized_equal,Complication,complication,出血,COMP-CARD-FULLBOOK-F7077FB368,may_cause_complication,11207,4943,4955,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-6BEA2AA713707F,（一）静脉血栓栓塞症 肿瘤相关静脉血栓栓塞症（VTE）包括深静脉血栓形成、肺栓塞和中心静脉导管相关血栓形成。肿瘤病人 VTE 的发生率可高达 20%，同时也是肿瘤病人外科手术后最常见的死因之一。其发生与肿瘤类型、部分肿瘤治疗药物及病人本身的血栓危险因素如高龄、卧床、肥胖、感染等相关。VTE 发生率较高的肿瘤包括：脑肿瘤、胰腺癌、胃癌、肺癌、肾癌、淋巴瘤及骨髓,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；证据片段缺实体名；疑似非目标章节上下文；实体过泛需疾病上下文,6,no,no,,肿瘤,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,二尖瓣狭窄,二尖瓣狭窄,可自动采用,exact,Complication,complication,心律失常,COMP-CARD-439BBF78D81C,may_cause_complication,6949,6512,6566,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-6E2C570D560C0B,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,除外,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心力衰竭,心力衰竭,可自动采用,exact,Complication,complication,心力衰竭,COMP-CARD-7CF202961681,may_cause_complication,8619,3905,3909,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-3E83919FDF0820,应控制在＜180/110mmHg。急性脑出血的降压治疗：收缩压＞220mmHg 时，应积极使用静脉降压药物降低血压。病人收缩压＞180mmHg 时，可使用静脉降压药物控制血压，160/90mmHg 可作为参考的降压目标值。对于稳定期病人，降压治疗目的是减少脑卒中再发。对老年病人、双侧或颅内动脉严重狭窄者及严重直立性低血压病人，应该慎重进行降压治疗，降压过程应,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；疑似非目标章节上下文；实体过泛需疾病上下文,5,no,no,,脑卒中,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心肌炎,心肌炎,可自动采用,exact,Complication,complication,心律失常,COMP-CARD-439BBF78D81C,may_cause_complication,10001,5960,6066,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-0C550F0A49745D,1. 人工瓣膜置换术 对严重的二尖瓣狭窄不适合行球囊扩张术的病人，可以进行二尖瓣置换术。适应证：①重度 MS 合并严重症状（NYHA Ⅲ~Ⅳ级）的病人，非外科手术高风险，不适合或既往PBMV 失败；②中度 MS 病人，合并其他需要手术的心脏疾病；③严重 MS 病人，虽然接受充分的抗凝治疗，但仍出现复发性血栓事件。手术应在有症状而无肺动脉高压时考虑。严重肺动脉,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,不适合,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心肌炎,心肌炎,可自动采用,exact,Complication,complication,心律失常,COMP-CARD-439BBF78D81C,may_cause_complication,6949,5960,6066,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-28B8FA34973E07,伊伐布雷定（ivabradine） 异丙肾上腺素（isoproterenol） 地高辛 （digoxin） 治疗不适当窦性心动过速或 HFrEF（NYHA Ⅱ~ Ⅳ级），在服用β受体拮抗剂最大耐受剂量后，心率仍≥75 次/分的病人 用于高度或三度 AVB，尤其伴阿斯综合征发作时（除外室速或室颤引起）；用 于 LQTS（特 别 是2 型和 3 型）可提高心率并,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据片段缺疾病名；证据片段缺实体名；否定/禁忌/上下文限定语；实体过泛需疾病上下文,5,no,no,除外,,yes
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,冠状动脉粥样硬化性心脏病,冠状动脉粥样硬化性心脏病概述,可自动采用,normalized_equal,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,7413,4943,4955,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-7D4DB145454A63,【诊断与鉴别诊断】 根据典型心绞痛的发作特点，结合年龄和存在冠心病危险因素，除外其他原因所致的心绞痛，一般即可建立诊断。心绞痛发作时 ECG 检查可见 ST-T 改变，症状消失后 ST-T 改,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语,4,no,yes,除外,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,动脉粥样硬化,动脉粥样硬化,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,7413,4864,4889,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-8F32C15B172ABE,【诊断与鉴别诊断】 根据典型心绞痛的发作特点，结合年龄和存在冠心病危险因素，除外其他原因所致的心绞痛，一般即可建立诊断。心绞痛发作时 ECG 检查可见 ST-T 改变，症状消失后 ST-T 改,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语,4,no,yes,除外,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,室性期前收缩,室性期前收缩,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,11065,4550,4571,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-A465F3E0668195,【诊断与鉴别诊断】 根据心血管神经症的临床表现，有上述症状而体征较少，不能找到器质性心脏病的证据，一般不难作出诊断。必须注意排除器质性心脏病，与心绞痛、甲状腺功能亢进、心肌炎、二尖瓣脱垂综合征及嗜铬细胞瘤等进行鉴别。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语,4,no,yes,排除,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,心肌炎,心肌炎,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,8865,5960,6066,no,中等证据文本,包含实体名和临床语义关键词，但疾病名未直接出现,可进入抽样复核后归并,EVD-CARD-FULLBOOK-AFA77637EE796D,2. 鉴别诊断 应除外心脏扩大、收缩功能减低的其他继发原因。可通过病史、查体及 TTE、 CMR、冠脉造影等检查进行鉴别，必要时做 EMB 及基因检测。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；证据未直接出现疾病名；证据片段缺疾病名；否定/禁忌/上下文限定语,4,no,yes,除外,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,主动脉夹层,主动脉夹层,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,10259,7157,7216,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-7D1FA4933754A1,2. 鉴别诊断 诊断急性心包炎应注意与其他可引起急性胸痛的疾病相鉴别。胸痛伴心电图 ST段抬高者与急性心肌梗死鉴别，前者常有上呼吸道感染史，疼痛与体位改变有关，后者常有相邻导联ST 段弓背向上抬高，ST-T 动态改变可在数小时内发生。有高血压史的胸痛病人需要除外主动脉夹层动脉瘤破裂，后者疼痛为撕裂样，程度较剧烈，多位于胸骨后或背部，可向下肢放射，破口入心包腔,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；否定/禁忌/上下文限定语,2,yes,yes,除外,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,主动脉瓣狭窄,主动脉瓣狭窄,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,8763,6392,6457,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-F1296C9D014CC5,（三）鉴别诊断 需除外较常见的左室负荷增加性心室肥厚，包括高血压、主动脉瓣狭窄、运动员心肌肥厚等。尚需除外较少见的全身性疾病引起的心肌肥厚，如淀粉样变、结节病、戈谢病、糖原贮积症、Fabry 病、Danon 病、血色病等。,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；否定/禁忌/上下文限定语,2,yes,yes,除外,,no
历史候选池归并风险，不作为当前骨架缺陷,历史候选池/旧实例产物,当前骨架基线产物,动脉粥样硬化,动脉粥样硬化,可自动采用,exact,DifferentialDiagnosis,diagnosis_differential,鉴别诊断,DDX-CARD-TEXT-107546315D,differentiates_from,28395,4864,4889,no,强证据文本,同时包含疾病名、实体名和临床语义关键词,可进入抽样复核后归并,EVD-CARD-FULLBOOK-B8E0BBA530EFD8,2. 鉴别诊断 APS 的鉴别诊断主要依据不同的临床表现加以鉴别。多种获得性或者遗传因素亦可导致妊娠丢失，和/或血栓栓塞性疾病。静脉栓塞需要与遗传性或者获得性凝血功能异常（如蛋白 C、蛋白 S、因子Ⅴ莱登突变）、抗凝血酶缺陷症、恶性肿瘤和骨髓增殖性疾病、肾病综合征等鉴别。动脉栓塞需与动脉粥样硬化、栓塞事件、心房颤动、心房黏液瘤、感染性心内膜炎、脂肪栓塞、血栓,不建议复用,证据片段疑似来自禁忌、排除、非目标章节或上下文限定，不适合复用为疾病事实,章节坐标未对齐；疑似非目标章节上下文,2,yes,yes,,肿瘤,no
