batch_id,disease_code,disease_name,scenario_type,relation_type,target_type,pending_item_count,sample_targets,missing_field_summary,review_focus,clinical_use_decision,expert_comment
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,药物治疗,treated_by_medication,Medication,20,β受体拮抗剂；替格瑞洛；阿托伐他汀；P2Y12受体抑制剂；阿司匹林；血管紧张素Ⅱ受体阻滞剂；美托洛尔；硝酸甘油；他汀类药物；血管紧张素转换酶抑制剂；氯吡格雷；洋地黄类药物,适用人群×20；临床确认×20；临床规则/路径×20；排除/禁忌×20；药物别名×2；药物禁忌×20；药物剂量×20；药物相互作用×20；推荐等级/证据等级×18,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-AMI,急性心肌梗死,随访管理,has_follow_up,FollowUp,1,急性心肌梗死随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,手术/操作治疗,includes_procedure,Procedure,3,经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；证据链×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,手术/操作治疗,treated_by_procedure,Procedure,2,冠状动脉旁路移植术；经皮冠状动脉介入治疗,适用人群×2；临床确认×2；临床规则/路径×2；排除/禁忌×2；推荐等级/证据等级×2,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,治疗方案,has_treatment_plan,TreatmentPlan,4,再灌注治疗；抗血小板治疗；慢性冠脉综合征治疗方案；血运重建,适用人群×4；临床确认×4；临床规则/路径×4；排除/禁忌×4；推荐等级/证据等级×4,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,药物治疗,includes_medication,Medication,2,溶栓药物；抗血小板药物,适用人群×2；临床确认×2；证据链×2；排除/禁忌×2；药物禁忌×2；药物剂量×2；药物相互作用×2；推荐等级/证据等级×2,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,药物治疗,treated_by_medication,Medication,10,β受体拮抗剂；替格瑞洛；普拉格雷；P2Y12受体抑制剂；阿司匹林；血管紧张素Ⅱ受体阻滞剂；他汀类药物；血管紧张素转换酶抑制剂；氯吡格雷；硝酸酯类药物,适用人群×10；临床确认×10；临床规则/路径×10；排除/禁忌×10；药物禁忌×10；药物剂量×10；药物相互作用×10；推荐等级/证据等级×10,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-CCS,慢性冠脉综合征,随访管理,has_follow_up,FollowUp,1,慢性冠脉综合征随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,手术/操作治疗,includes_procedure,Procedure,3,经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；证据链×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,手术/操作治疗,treated_by_procedure,Procedure,4,冠状动脉旁路移植术；经皮冠状动脉介入治疗；心脏移植；射频消融术,适用人群×4；临床确认×4；临床规则/路径×4；排除/禁忌×4；推荐等级/证据等级×4,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,治疗方案,has_treatment_plan,TreatmentPlan,5,缺血性心肌病治疗方案；再灌注治疗；抗凝治疗；血运重建；降压治疗,适用人群×5；临床确认×5；临床规则/路径×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,药物治疗,includes_medication,Medication,7,溶栓药物；抗凝药物；血管紧张素转换酶抑制剂；血管紧张素Ⅱ受体阻滞剂；血管紧张素Ⅱ受体拮抗剂；钙通道阻滞剂；利尿剂,适用人群×7；临床确认×7；证据链×7；排除/禁忌×7；药物别名×1；药物禁忌×7；药物剂量×7；药物相互作用×7；推荐等级/证据等级×7,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,药物治疗,treated_by_medication,Medication,3,血管紧张素转换酶抑制剂；血管紧张素Ⅱ受体拮抗剂；硝酸酯类药物,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；药物禁忌×3；药物剂量×3；药物相互作用×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-ICM,缺血性心肌病,随访管理,has_follow_up,FollowUp,1,缺血性心肌病随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,手术/操作治疗,includes_procedure,Procedure,5,经皮冠状动脉介入治疗；吸氧治疗；冠状动脉旁路移植术；电复律,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,手术/操作治疗,treated_by_procedure,Procedure,3,冠状动脉旁路移植术；溶栓治疗；经皮冠状动脉介入治疗,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；推荐等级/证据等级×2,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,治疗方案,has_treatment_plan,TreatmentPlan,8,非ST段抬高型心肌梗死治疗方案；再灌注治疗；抗血小板治疗；血运重建；抗凝治疗；氧疗；溶栓治疗；复律治疗,适用人群×8；临床确认×8；临床规则/路径×8；排除/禁忌×8；推荐等级/证据等级×6,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,药物治疗,includes_medication,Medication,5,溶栓药物；抗血小板药物；抗凝药物；胺碘酮,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；药物别名×1；药物禁忌×5；药物剂量×5；药物相互作用×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,药物治疗,treated_by_medication,Medication,10,替格瑞洛；阿司匹林；氯吡格雷；抗血小板药物；他汀类药物；血管紧张素转换酶抑制剂；硝酸酯类药物；钙通道阻滞剂；抗凝药物；血管紧张素Ⅱ受体拮抗剂,适用人群×10；临床确认×10；临床规则/路径×10；排除/禁忌×10；药物禁忌×10；药物剂量×10；药物相互作用×10；推荐等级/证据等级×8,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,随访管理,has_follow_up,FollowUp,1,非ST段抬高型心肌梗死随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,手术/操作治疗,includes_procedure,Procedure,1,经皮冠状动脉介入治疗,适用人群×1；临床确认×1；证据链×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,手术/操作治疗,treated_by_procedure,Procedure,1,经皮冠状动脉介入治疗,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,治疗方案,has_treatment_plan,TreatmentPlan,3,再灌注治疗；抗血小板治疗；陈旧性心肌梗死治疗方案,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,药物治疗,includes_medication,Medication,2,溶栓药物；抗血小板药物,适用人群×2；临床确认×2；证据链×2；排除/禁忌×2；药物禁忌×2；药物剂量×2；药物相互作用×2；推荐等级/证据等级×2,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,药物治疗,treated_by_medication,Medication,4,替格瑞洛；P2Y12受体抑制剂；阿司匹林；氯吡格雷,适用人群×4；临床确认×4；临床规则/路径×4；排除/禁忌×4；药物禁忌×4；药物剂量×4；药物相互作用×4；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,随访管理,has_follow_up,FollowUp,1,陈旧性心肌梗死随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,治疗方案,has_treatment_plan,TreatmentPlan,1,隐匿性冠心病治疗方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,药物治疗,includes_medication,Medication,3,他汀类药物；抗血小板药物；β受体阻滞剂,适用人群×3；临床确认×3；证据链×3；排除/禁忌×3；药物禁忌×3；药物剂量×3；药物相互作用×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,随访管理,has_follow_up,FollowUp,1,隐匿性冠心病年度临床随访评估,临床确认×1；临床规则/路径×1；证据链×1；推荐等级/证据等级×1,重点确认：临床确认、临床规则/路径、证据链、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,手术/操作治疗,includes_procedure,Procedure,3,经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；证据链×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,手术/操作治疗,treated_by_procedure,Procedure,3,溶栓治疗；经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,治疗方案,has_treatment_plan,TreatmentPlan,5,再灌注治疗；抗血小板治疗；稳定型心绞痛治疗方案；血运重建；降压治疗,适用人群×5；临床确认×5；临床规则/路径×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,药物治疗,includes_medication,Medication,7,溶栓药物；抗血小板药物；血管紧张素转换酶抑制剂；血管紧张素Ⅱ受体阻滞剂；血管紧张素Ⅱ受体拮抗剂；钙通道阻滞剂；利尿剂,适用人群×7；临床确认×7；证据链×7；排除/禁忌×7；药物别名×1；药物禁忌×7；药物剂量×7；药物相互作用×7；推荐等级/证据等级×7,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,药物治疗,treated_by_medication,Medication,11,β受体拮抗剂；替格瑞洛；P2Y12受体抑制剂；阿司匹林；血管紧张素转换酶抑制剂；氯吡格雷；硝酸酯类药物；钙通道阻滞剂；血管紧张素Ⅱ受体拮抗剂；抗血小板药物；他汀类药物,适用人群×11；临床确认×11；临床规则/路径×11；排除/禁忌×11；药物禁忌×11；药物剂量×11；药物相互作用×11；推荐等级/证据等级×11,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STABLE-ANGINA,稳定型心绞痛,随访管理,has_follow_up,FollowUp,1,稳定型心绞痛随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,手术/操作治疗,includes_procedure,Procedure,3,经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；证据链×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,手术/操作治疗,treated_by_procedure,Procedure,3,冠状动脉旁路移植术；溶栓治疗；经皮冠状动脉介入治疗,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；推荐等级/证据等级×2,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,治疗方案,has_treatment_plan,TreatmentPlan,6,再灌注治疗；抗血小板治疗；ST段抬高型心肌梗死治疗方案；血运重建；抗凝治疗；溶栓治疗,适用人群×6；临床确认×6；临床规则/路径×6；排除/禁忌×6；推荐等级/证据等级×5,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,药物治疗,includes_medication,Medication,4,溶栓药物；抗血小板药物；抗凝药物,适用人群×4；临床确认×4；证据链×4；排除/禁忌×4；药物禁忌×4；药物剂量×4；药物相互作用×4；推荐等级/证据等级×4,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,药物治疗,treated_by_medication,Medication,15,β受体拮抗剂；替格瑞洛；P2Y12受体抑制剂；阿司匹林；美托洛尔；硝酸甘油；血管紧张素转换酶抑制剂；氯吡格雷；血管紧张素Ⅱ受体拮抗剂；他汀类药物；硝酸酯类药物；抗血小板药物,适用人群×15；临床确认×15；临床规则/路径×15；排除/禁忌×15；药物禁忌×15；药物剂量×15；药物相互作用×15；推荐等级/证据等级×9,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-STEMI,ST段抬高型心肌梗死,随访管理,has_follow_up,FollowUp,1,ST段抬高型心肌梗死随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,手术/操作治疗,includes_procedure,Procedure,5,经皮冠状动脉介入治疗；吸氧治疗；冠状动脉旁路移植术；电复律,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,手术/操作治疗,treated_by_procedure,Procedure,3,溶栓治疗；经皮冠状动脉介入治疗；冠状动脉旁路移植术,适用人群×3；临床确认×3；临床规则/路径×3；排除/禁忌×3；推荐等级/证据等级×3,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,治疗方案,has_treatment_plan,TreatmentPlan,8,再灌注治疗；抗血小板治疗；不稳定型心绞痛治疗方案；血运重建；氧疗；抗凝治疗；溶栓治疗；复律治疗,适用人群×8；临床确认×8；临床规则/路径×8；排除/禁忌×8；推荐等级/证据等级×8,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,药物治疗,includes_medication,Medication,5,溶栓药物；抗血小板药物；抗凝药物；胺碘酮,适用人群×5；临床确认×5；证据链×5；排除/禁忌×5；药物别名×1；药物禁忌×5；药物剂量×5；药物相互作用×5；推荐等级/证据等级×5,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物别名、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,药物治疗,treated_by_medication,Medication,9,替格瑞洛；氯吡格雷；硝酸酯类药物；抗血小板药物；抗凝药物；他汀类药物；血管紧张素转换酶抑制剂；血管紧张素Ⅱ受体拮抗剂；钙通道阻滞剂,适用人群×9；临床确认×9；临床规则/路径×9；排除/禁忌×9；药物禁忌×9；药物剂量×9；药物相互作用×9；推荐等级/证据等级×9,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CAD-20260623-001,DIS-CARD-CAD-UA,不稳定型心绞痛,随访管理,has_follow_up,FollowUp,1,不稳定型心绞痛随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,手术/操作治疗,treated_by_procedure,Procedure,1,心脏移植,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,治疗方案,has_treatment_plan,TreatmentPlan,2,缺血性心肌病治疗方案；抗凝治疗,适用人群×2；临床确认×2；临床规则/路径×2；排除/禁忌×2；推荐等级/证据等级×2,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,药物治疗,includes_medication,Medication,1,抗凝药物,适用人群×1；临床确认×1；证据链×1；排除/禁忌×1；药物禁忌×1；药物剂量×1；药物相互作用×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CAD-ICM,缺血性心肌病,随访管理,has_follow_up,FollowUp,1,缺血性心肌病随访方案,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌、推荐等级/证据等级,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,手术/操作治疗,treated_by_procedure,Procedure,1,埋藏式心脏复律除颤器,适用人群×1；临床确认×1；临床规则/路径×1；排除/禁忌×1,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,治疗方案,has_treatment_plan,TreatmentPlan,2,致心律失常性双心室心肌病治疗方案；抗凝治疗,适用人群×2；临床确认×2；临床规则/路径×2；排除/禁忌×2,重点确认：适用人群、临床确认、临床规则/路径、排除/禁忌,,
BATCH-CARD-CM-20260622-001,DIS-CARD-CM-ABVC,致心律失常性双心室心肌病,药物治疗,includes_medication,Medication,1,抗凝药物,适用人群×1；临床确认×1；证据链×1；排除/禁忌×1；药物禁忌×1；药物剂量×1；药物相互作用×1；推荐等级/证据等级×1,重点确认：适用人群、临床确认、证据链、排除/禁忌、药物禁忌、药物剂量、药物相互作用、推荐等级/证据等级,,
