parent_disease_code,classification_code,classification_name,action,target_disease_code,reason,allowed_parent_codes
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-CKD,慢性肾脏病合并高血压,clinical_subtype,DIS-CARD-HT-CKD,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-ELDERLY,老年高血压,clinical_subtype,DIS-CARD-HT-ELDERLY,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-EMERGENCY,高血压急症,clinical_subtype,DIS-CARD-HT-EMERGENCY,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-ENDOCRINE,内分泌性高血压,clinical_subtype,DIS-CARD-HT-ENDOCRINE,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-MASKED,隐匿性高血压,clinical_subtype,DIS-CARD-HT-MASKED,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-PAROXYSMAL,发作性高血压,clinical_subtype,DIS-CARD-HT-PAROXYSMAL,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-PRIMARY,原发性高血压,clinical_subtype,DIS-CARD-HT-PRIMARY,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-RENAL-PARENCHYMAL,肾实质性高血压,clinical_subtype,DIS-CARD-HT-RENAL-PARENCHYMAL,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-RENOVASCULAR,肾血管性高血压,clinical_subtype,DIS-CARD-HT-RENOVASCULAR,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-RESISTANT,难治性高血压,clinical_subtype,DIS-CARD-HT-RESISTANT,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-SECONDARY,继发性高血压,clinical_subtype,DIS-CARD-HT-SECONDARY,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-URGENCY,高血压亚急症,clinical_subtype,DIS-CARD-HT-URGENCY,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT,CLASS-CARD-HT-CARD-HT-WCH,白大衣高血压,clinical_subtype,DIS-CARD-HT-WCH,旧分型名称与现有疾病实体精确一致,
DIS-CARD-HT-PRIMARY,CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-B3A56D773D632276,将高血压病人分为低危、中危、高危和很高危,risk_stratification,,风险、分期或血流动力学分层,
DIS-CARD-MYOCARDITIS,CLASS-CARD-MYOCARDITIS-CARD-FULMINANT-MYOCARDITIS,暴发性心肌炎,clinical_subtype,DIS-CARD-FULMINANT-MYOCARDITIS,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PERICARDITIS,CLASS-CARD-PERICARDITIS-CARD-PERICARD-ACUTE,急性心包炎,clinical_subtype,DIS-CARD-PERICARD-ACUTE,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PERICARDITIS,CLASS-CARD-PERICARDITIS-CARD-PERICARD-CONSTRICTIVE,缩窄性心包炎,clinical_subtype,DIS-CARD-PERICARD-CONSTRICTIVE,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-CHD,先天性心脏病相关肺动脉高压,clinical_subtype,DIS-CARD-PH-CHD,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-CTD,结缔组织病相关肺动脉高压,clinical_subtype,DIS-CARD-PH-CTD,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-CTEPH,慢性血栓栓塞性肺动脉高压,clinical_subtype,DIS-CARD-PH-CTEPH,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-HPAH,遗传性肺动脉高压,clinical_subtype,DIS-CARD-PH-HPAH,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-IPAH,特发性肺动脉高压,clinical_subtype,DIS-CARD-PH-IPAH,旧分型名称与现有疾病实体精确一致,
DIS-CARD-PH,CLASS-CARD-PH-CARD-PH-PAH,动脉性肺动脉高压,clinical_subtype,DIS-CARD-PH-PAH,旧分型名称与现有疾病实体精确一致,
