classification_code,classification_name,relationship_count,action,reason
CARD-SKELETON-20260709-DISEASECLASSIFICATION-1461CDA7A131F777,美托洛尔、普萘洛尔、纳多洛尔、卡维地洛、比索洛尔、阿替洛尔等属此类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-A32B65198EF00C24,美西律、苯妥英钠与利多卡因等属此类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-49567123AEB0F14D,胺碘酮、决奈达隆、索他洛尔、伊布利特、多非利特等属此类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-C0F7A573C5D7026F,表3-3-1房颤的临床分类,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-FULL-20260709-DISEASECLASSIFICATION-11F8F205966D8060,表3-4-2不稳定型心绞痛严重程度分级（Braunwald分级）表3-4-3不稳定型心绞痛或非ST段抬高型心肌梗死的危险分层和治疗策略建议,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-B2FFCF49C66EE917,见于心内膜弹力纤维增生症、高嗜酸性粒细胞综合征、放射性损害、蒽环类药物毒性等,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-5910536FA8358CF4,近年趋向于根据发病特点和治疗原则不同分为两大类：慢性冠脉综合征（chroniccoronarysyndrome,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-778D48AA08D54825,部分可能与轻型DCM、HCM等有表型重叠,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-03FA6960B56D5F02,（一）冲动形成异常1.窦性心律失常,2,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-FBC8988935A6B6F5,（一）按发生的部位分类左心室代偿功能不全所致为左心衰竭,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
CARD-SKELETON-20260709-DISEASECLASSIFICATION-DE6B394D88B989C0,（三）按左心室射血分数分类根据左心室射血分数（leftventricularejectionfraction,4,orphan_legacy_classification,未挂接疾病的历史误分类或抽取残句；完整内容已进入回滚包
