generated_at,priority_scope_note,category,disease_code,disease_name,match_status,match_type,match_score,hit_text,source_section_path,docx_paragraph_start,docx_paragraph_end,pdf_page_start,pdf_page_end,skeleton_slot,knowledge_layer,definition_candidate,description_candidate,available_slots_in_source
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病;心肌病,DIS-CARD-CAD-ICM,缺血性心肌病,ready_for_import_after_sampling,exact_title,100,缺血性心肌病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 缺血性心肌病,5089,5110,263,263,overview,textbook_core,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。,缺血性心肌病（ischemic cardiomyopathy，ICM）属于冠心病的一种特殊类型或晚期阶段，临床表现为新发心衰或左心室功能障碍，可伴有各种心律失常，心脏扩大类似扩张型心肌病。其病理生理基础是冠脉粥样硬化病变使心肌长期缺血、缺氧以至心肌细胞减少、坏死、心肌纤维化、心肌瘢痕形成。,clinical_manifestation|diagnosis_differential|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-OLD-MI,陈旧性心肌梗死,needs_manual_anchor_review,body_mention,62,陈旧性心肌梗死,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 稳定型心绞痛,4958,5088,265,265,overview,textbook_core,（二）心电图（ECG）检查 1. 静息时 ECG 约半数病人在正常范围，也可能有陈旧性心肌梗死改变或非特异性 ST 段和 T波异常。,（二）心电图（ECG）检查 1. 静息时 ECG 约半数病人在正常范围，也可能有陈旧性心肌梗死改变或非特异性 ST 段和 T波异常。,clinical_manifestation|diagnosis_differential|exam_lab|pathogenesis|prognosis_followup_prevention|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-SILENT-ISCHEMIA,隐匿性冠心病,ready_for_review,exact_title,100,隐匿型冠心病,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 慢性冠状动脉综合征 > 隐匿型冠心病,5111,5119,264,264,overview,textbook_core,三、隐匿型冠心病 【诊断】 1. 发病特点 隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血 ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态 ECG 记录所发现，也可为各种影像学检查所证实。,三、隐匿型冠心病 【诊断】 1. 发病特点 隐匿型冠心病（latent coronary heart disease）或无症状性冠心病是指没有心绞痛症状，但有心肌缺血客观证据的冠心病，其心肌缺血 ECG 表现可见于静息时，也可在负荷状态下才出现，常为动态 ECG 记录所发现，也可为各种影像学检查所证实。,diagnosis_differential|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,冠状动脉粥样硬化性心脏病,DIS-CARD-CAD-NSTEMI,非ST段抬高型心肌梗死,ready_for_review,overview_mention,82,NSTEMI,动脉粥样硬化和冠状动脉粥样硬化性心脏病 > 急性冠脉综合征,5120,5126,263,263,overview,textbook_core,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。,急性冠脉综合征是一组由急性心肌缺血引起的临床综合征，主要包括不稳定型心绞痛（UA）、非ST 段抬高型心肌梗死（NSTEMI）和 ST 段抬高型心肌梗死（STEMI），冠心病猝死是特殊类型 ACS。临床上将急性心肌梗死（acute myocardial infarction，AMI）分为 5 型：1 型是自发性 AMI，即原发冠脉不稳 定斑块发生破裂、糜烂或侵蚀继发血栓形成所致，最常见；2 型是存在继发因素导致的持续性供氧不能满足耗氧所需，例如冠脉痉挛、自发性夹层或壁内血肿等，以及栓塞和微血管疾病；3 型是冠心病猝死；4 型是与 PCI 相关；5 型是与 CABG 相关。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-BIVENTRICULAR,全心衰竭,needs_manual_anchor_review,body_mention,62,全心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,左心衰竭和右心衰竭同时存在即为全心衰竭。,左心衰竭和右心衰竭同时存在即为全心衰竭。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-RIGHT,右心衰竭,needs_manual_anchor_review,body_mention,62,右心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,左心衰竭和右心衰竭同时存在即为全心衰竭。,左心衰竭和右心衰竭同时存在即为全心衰竭。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFpEF,射血分数保留的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数保留,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF≥50% 者称为射血分数保留型心衰（HF with preserved EF，HFpEF），通常存在充盈压升高、舒张功能受损的表现，既往被称为舒张性心衰。,LVEF≥50% 者称为射血分数保留型心衰（HF with preserved EF，HFpEF），通常存在充盈压升高、舒张功能受损的表现，既往被称为舒张性心衰。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFmrEF,射血分数轻度降低的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数轻度降低,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF 为 41%～49% 者称为射血分数轻度降低型心衰（HF with mildly reduced EF，HFmrEF），以轻度收缩功能障碍为主。,LVEF 为 41%～49% 者称为射血分数轻度降低型心衰（HF with mildly reduced EF，HFmrEF），以轻度收缩功能障碍为主。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-HFrEF,射血分数降低的心力衰竭,needs_manual_anchor_review,body_mention,62,射血分数降低,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,LVEF≤40% 者称为射血分数降低的心衰（HF with reduced EF，HFrEF），即传统概念中的收缩性心衰。,LVEF≤40% 者称为射血分数降低的心衰（HF with reduced EF，HFrEF），即传统概念中的收缩性心衰。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-LEFT,左心衰竭,needs_manual_anchor_review,body_mention,62,左心衰竭,心力衰竭 > 心力衰竭总论,3910,3965,207,207,overview,textbook_core,第一节 | 心力衰竭总论 【类型】 （一）按发生的部位分类 左心室代偿功能不全所致为左心衰竭，临床上较为常见。,第一节 | 心力衰竭总论 【类型】 （一）按发生的部位分类 左心室代偿功能不全所致为左心衰竭，临床上较为常见。,classification_risk|etiology|pathogenesis
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF,心力衰竭,ready_for_import_after_sampling,exact_title,100,心力衰竭,心力衰竭 > 心力衰竭,3905,3909,207,207,overview,textbook_core,心力衰竭（heart failure，HF）是各种原因导致的心脏结构和 / 或功能异常，使心脏出现收缩和 / 或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留。,心力衰竭（heart failure，HF）是各种原因导致的心脏结构和 / 或功能异常，使心脏出现收缩和 / 或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留。心功能不全（cardiac dysfunction）是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-POST-MI,心肌梗死后心力衰竭,ready_for_review,overview_mention,82,心衰,心力衰竭 > 心力衰竭,3905,3909,207,207,overview,textbook_core,心功能不全（cardiac dysfunction）是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）。,心力衰竭（heart failure，HF）是各种原因导致的心脏结构和 / 或功能异常，使心脏出现收缩和 / 或充盈障碍，在静息或运动时心排血量下降或心腔内压力增高而引起的一组复杂临床综合征，主要表现为活动耐量下降和液体潴留。心功能不全（cardiac dysfunction）是一个更广泛的概念，伴有临床症状的心功能不全称之为心力衰竭（简称心衰）。,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-AHF,急性心力衰竭,ready_for_import_after_sampling,exact_title,100,急性心力衰竭,心力衰竭 > 急性心力衰竭,4119,4228,207,207,overview,textbook_core,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和 / 或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。,急性心力衰竭（acute heart failure，AHF）是指心力衰竭急性发作和 / 或加重的一种临床综合征，可以是急性新发或慢性心衰急性失代偿。 新发急性心衰的常见病因包括急性心肌损害（如急性冠脉综合征和重症心肌炎等）和急性血流动力学障碍（如急性瓣膜功能障碍、高血压危象、严重心律失常和急性肺栓塞等）。,classification_risk|clinical_manifestation|diagnosis_differential|treatment
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-CHF,慢性心力衰竭,ready_for_review,exact_title,100,慢性心力衰竭,心力衰竭 > 慢性心力衰竭,3966,4118,207,207,overview,textbook_core,部分严重慢性心衰病人存在临床或亚临床营养不良，若出现大量体脂丢失或干重减轻称为心源性恶病质，往往提示预后不良。,部分严重慢性心衰病人存在临床或亚临床营养不良，若出现大量体脂丢失或干重减轻称为心源性恶病质，往往提示预后不良。,classification_risk|clinical_manifestation|diagnosis_differential|exam_lab|treatment|流行病学
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心力衰竭,DIS-CARD-HF-DIALYSIS-CHF,透析患者慢性心力衰竭,needs_guideline_or_manual_source,no_textbook_anchor,0,,,,,,,,,,,
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心律失常,DIS-CARD-ARR-BRUGADA,Brugada综合征,needs_manual_anchor_review,body_mention,62,Brugada,心律失常 > 概 述,4233,4313,221,221,overview,textbook_core,目前已明确的遗传性心律失常包括长 QT 间期综合征、短 QT 间期综合征、Brugada 综合征、儿茶酚胺敏感性室性心动过速、早期复极综合征等，部分心房颤动（如孤立性或家族性房颤）和预激综合征病人也具有基因突变位点。,目前已明确的遗传性心律失常包括长 QT 间期综合征、短 QT 间期综合征、Brugada 综合征、儿茶酚胺敏感性室性心动过速、早期复极综合征等，部分心房颤动（如孤立性或家族性房颤）和预激综合征病人也具有基因突变位点。,心律失常分类|心律失常发生机制|心律失常病因|心律失常的诊断|心脏传导系统
2026-07-08 09:16:41,冠心病、心肌病、心力衰竭、心律失常为优先验证集；通过后按同规则自动扩大到心血管内科其他疾病。,心律失常,DIS-CARD-ARR-AVB1,一度房室传导阻滞,ready_for_review,overview_mention,82,一度房室传导阻滞,心律失常 > 心脏传导阻滞 > 房室传导阻滞,4650,4689,228,228,overview,textbook_core,房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。,房室传导阻滞（atrioventricular block）是指房室交界区脱离了生理不应期后，心房冲动传导延迟或不能传导至心室。房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位。房室传导阻滞根据严重程度分为三度：一度房室传导阻滞的传导时间延长，但全部冲动仍能传导至心室。二度房室传导阻滞又分为Ⅰ型（文氏阻滞）和Ⅱ型，Ⅰ型阻滞表现为传导时间进行性延长，直至一次冲动不能传导至心室；Ⅱ型阻滞表现为间歇出现的传导阻滞；两个及以上连续的冲动不能下传至心室，常称为高度房室传导阻滞。三度房室传导阻滞又称完全性房室传导阻滞，此时全部冲动不能被传导至心室，心房和心室的节律由各自独立的起搏点控制。,clinical_manifestation|etiology|treatment|心电图特征
