evidence_code,evidence_name,evidence_type,source_code,source_name,source_type
CARD-SKELETON-20260709-EVID-4ED349A5DCD2D40D,教材证据-DCD2D40D,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-15223A18E17F4362,【诊断与鉴别诊断】2.鉴别诊断应与心脏收缩功能减低的其他原发和继发性心肌病鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-0984AC8D74D4CA00,教材证据-74D4CA00,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-17ECE218926722EF,【鉴别诊断】各种器质性心脏病都可引起缺血性ST-T的改变,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-9E003C5D639F7853,教材证据-639F7853,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-1D304AF541952B94,许多排除了器质性心脏病而反复出现不明原因晕厥甚至心脏性猝死的病人被证明存在基因变异,ClinicalRule
CARD-SKELETON-20260709-EVID-A398054A016F7CAF,教材证据-016F7CAF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-2466A4967186B769,【诊断与鉴别诊断】综合症状、心前区杂音、X线、心电图及超声心动图检查,ClinicalRule
CARD-SKELETON-20260709-EVID-031B89C60459839E,教材证据-0459839E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-2C6B429737BD52DE,需排除心脏后负荷增加、系统性或代谢性疾病所导致的心肌肥厚,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-6E8F2777B6F0ACF9,教材证据-B6F0ACF9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-2C6B429737BD52DE,需排除心脏后负荷增加、系统性或代谢性疾病所导致的心肌肥厚,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-4E28A66E89FC7A03,教材证据-89FC7A03,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-3D7D20BE5B74B18F,【临床表现】室速的临床症状视发作时心室率、持续时间、基础心脏病和心功能状况不同而异,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-7D77ADBAB990504B,教材证据-B990504B,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-3D7D20BE5B74B18F,【临床表现】室速的临床症状视发作时心室率、持续时间、基础心脏病和心功能状况不同而异,ClinicalRule
CARD-SKELETON-20260709-EVID-1FDCF551E20D0C8D,教材证据-E20D0C8D,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-46002D71A03E6728,【诊断与鉴别诊断】根据典型心绞痛的发作特点,ClinicalRule
CARD-SKELETON-20260709-EVID-031B89C60459839E,教材证据-0459839E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-4ACFA54B909D9640,包括高血压、主动脉瓣狭窄、运动员心肌肥厚等,ClinicalRule
CARD-SKELETON-20260709-EVID-F2CBA949847C3D42,教材证据-847C3D42,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-4BF225880E0AF9B7,亟需紧急鉴别方可作出治疗决策,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-2DF51B0B73D84DFE,教材证据-73D84DFE,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-4BF225880E0AF9B7,亟需紧急鉴别方可作出治疗决策,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-C6DBB21EC3209BE5,教材证据-C3209BE5,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-4E2FFCA8C194D357,窦性心动过缓常同时伴有窦性心律不齐（不同PP间期的差异＞0.12秒）,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-3E0E61E21C92AE39,教材证据-1C92AE39,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-4E2FFCA8C194D357,窦性心动过缓常同时伴有窦性心律不齐（不同PP间期的差异＞0.12秒）,ClinicalRule
CARD-SKELETON-20260709-EVID-F2CBA949847C3D42,教材证据-847C3D42,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-6090BA471F4E8D7F,尚需与VM鉴别的疾病主要有：β受体功能亢进症、自身免疫病累及心脏、其他非感染性心肌炎（如甲状腺素或儿茶酚胺性心肌病、过敏,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-2DF51B0B73D84DFE,教材证据-73D84DFE,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-6090BA471F4E8D7F,尚需与VM鉴别的疾病主要有：β受体功能亢进症、自身免疫病累及心脏、其他非感染性心肌炎（如甲状腺素或儿茶酚胺性心肌病、过敏,ClinicalRule
CARD-SKELETON-20260709-EVID-F2CBA949847C3D42,教材证据-847C3D42,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-6B6FA04953592D2C,【诊断与鉴别诊断】3.鉴别诊断以上特殊类型VM极易与急性冠脉综合征、缺血性心肌病、应激性心肌病及其他疾病相混淆,ClinicalRule
CARD-SKELETON-20260709-EVID-2F5D8D052EDAB460,教材证据-2EDAB460,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-71505D9C32550D25,【诊断与鉴别诊断】参照“心力衰竭”和“糖尿病”相关章节,ClinicalRule
CARD-SKELETON-20260709-EVID-031B89C60459839E,教材证据-0459839E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-7844381F60797639,5.基因检测家系筛查及基因检测对鉴别诊断、预后评估和生育决策有价值,ClinicalRule
CARD-SKELETON-20260709-EVID-AAC8B9DEA186DDB9,教材证据-A186DDB9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-83E8288F5198E28C,5.心脏磁共振对诊断、鉴别诊断及预后评估均有很高价值,ClinicalRule
CARD-SKELETON-20260709-EVID-F42DD9A27E485488,教材证据-7E485488,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-8BA9047C50CD7513,【诊断与鉴别诊断】3.鉴别诊断,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-F23E5EC1D2AB45BA,教材证据-D2AB45BA,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-8D1F46ED790417FF,与窦性P波形态不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-AA63C0B0A72905EC,教材证据-A72905EC,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-8D1F46ED790417FF,与窦性P波形态不同,ClinicalRule
CARD-SKELETON-20260709-EVID-AAC8B9DEA186DDB9,教材证据-A186DDB9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-8FFF1F5BD226215D,CMR提供的心肌组织特征有助于病因鉴别诊断,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-76AF468935EFBEFF,教材证据-35EFBEFF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-8FFF1F5BD226215D,CMR提供的心肌组织特征有助于病因鉴别诊断,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-ADEF62E74B483FAB,教材证据-4B483FAB,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-9886F2614614EA66,因ST段抬高与稳定型心绞痛、UA和NSTEMI不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-98297366292D8F96,教材证据-292D8F96,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-9886F2614614EA66,因ST段抬高与稳定型心绞痛、UA和NSTEMI不同,ClinicalRule
CARD-SKELETON-20260709-EVID-A398054A016F7CAF,教材证据-016F7CAF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-A7484D083ACE788A,但需与动脉导管未闭、主动脉窦瘤、主-肺间隔缺损及室间隔缺损合并主动脉瓣关闭不全相鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-18A00031350D90CE,教材证据-350D90CE,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-AD689C4DAD0477F9,【鉴别诊断】需鉴别其他引起心脏增大和心力衰竭的病因,ClinicalRule
CARD-SKELETON-20260709-EVID-859983F38A5A0317,教材证据-8A5A0317,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B180D22AA574F36E,支气管哮喘、喘息性支气管炎急性加重相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-1EB685DD381DD535,教材证据-381DD535,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B180D22AA574F36E,支气管哮喘、喘息性支气管炎急性加重相鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-AAC8B9DEA186DDB9,教材证据-A186DDB9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B31C2B0E017BFA79,提示心肌炎的可能,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-76AF468935EFBEFF,教材证据-35EFBEFF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B31C2B0E017BFA79,提示心肌炎的可能,ClinicalRule
CARD-SKELETON-20260709-EVID-65D1BC6FB63F02A9,教材证据-B63F02A9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B5F4AE479740EB0E,可根据影像学检查结果及心导管压力特征进行鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-68B7816F9110FC73,教材证据-9110FC73,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-B5F4AE479740EB0E,可根据影像学检查结果及心导管压力特征进行鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-09EE995DADC024AF,教材证据-ADC024AF,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-BA7743EF717AF16E,病人可在不同时间出现一种以上的心律失常,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C13A124204B6A805,教材证据-04B6A805,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-BA7743EF717AF16E,病人可在不同时间出现一种以上的心律失常,ClinicalRule
CARD-SKELETON-20260709-EVID-65D1BC6FB63F02A9,教材证据-B63F02A9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-BB2185EF609F26FB,【诊断与鉴别诊断】2.鉴别诊断首先,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-C087B190EDBDB1F5,教材证据-EDBDB1F5,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-BE6CDEAA994A795E,有时难与室速鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-E80946CED5B2AA93,教材证据-D5B2AA93,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-BE6CDEAA994A795E,有时难与室速鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-859983F38A5A0317,教材证据-8A5A0317,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-C10FEFAD52960ECF,【诊断与鉴别诊断】根据典型症状与体征,ClinicalRule
CARD-SKELETON-20260709-EVID-0984AC8D74D4CA00,教材证据-74D4CA00,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-C4E3F9D76B500762,应加以鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-AAC8B9DEA186DDB9,教材证据-A186DDB9,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-C5CEBB846F57E76F,【诊断与鉴别诊断】2.鉴别诊断应除外心脏扩大、收缩功能减低的其他继发原因,ClinicalRule
CARD-SKELETON-20260709-EVID-031B89C60459839E,教材证据-0459839E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-CBAE71E1AB09DD63,（三）鉴别诊断需除外较常见的左室负荷增加性心室肥厚,ClinicalRule
CARD-SKELETON-20260709-EVID-1FDCF551E20D0C8D,教材证据-E20D0C8D,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-DCD9DD0D5394C7E6,结合年龄和存在冠心病危险因素,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-66468572B86B3684,教材证据-B86B3684,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-DCD9DD0D5394C7E6,结合年龄和存在冠心病危险因素,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-B47363F12667F7DA,教材证据-2667F7DA,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-E20CED87A4B0A205,根据起源点不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-067CB2A950AE8C18,教材证据-50AE8C18,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-E20CED87A4B0A205,根据起源点不同,ClinicalRule
CARD-SKELETON-20260709-EVID-05841B1432EB3322,教材证据-32EB3322,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-E2225E67AE044759,需要和本病相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-87A3FECA759E6625,教材证据-759E6625,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-E2225E67AE044759,需要和本病相鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-68DE74C8382DB42E,教材证据-382DB42E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-EA0F3A17BA57CA05,P波之间的等电线仍存在（与心房扑动时等电线消失不同）,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-9B70CDFD5F51CF7E,教材证据-5F51CF7E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-EA0F3A17BA57CA05,P波之间的等电线仍存在（与心房扑动时等电线消失不同）,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-FBF716FCF4484ED2,教材证据-F4484ED2,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F0EF68710DD1EEF2,P波形态与窦性P波不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-4575431E0EAA2CFD,教材证据-0EAA2CFD,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F0EF68710DD1EEF2,P波形态与窦性P波不同,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-32AB626C213EF67E,教材证据-213EF67E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F3EBCA7C06639DEF,此时就难以和一般的心绞痛相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-5E8C27479842A1E7,教材证据-9842A1E7,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F3EBCA7C06639DEF,此时就难以和一般的心绞痛相鉴别,ClinicalRule
CARD-SKELETON-20260709-EVID-05841B1432EB3322,教材证据-32EB3322,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F41B262924C71456,【诊断与鉴别诊断】本病发展到出现器官缺血或坏死阶段时,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-86CAC94C7F3858FD,教材证据-7F3858FD,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F4638B6FCCC2D3A0,因静息性发作与稳定型心绞痛不同,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-C9D99EE00264C0DA,教材证据-0264C0DA,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F4638B6FCCC2D3A0,因静息性发作与稳定型心绞痛不同,ClinicalRule
CARD-SKELETON-20260709-EVID-031B89C60459839E,教材证据-0459839E,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-F46DAD3D9F31D433,【诊断与鉴别诊断】影像学发现室壁增厚是诊断HCM的必备条件,ClinicalRule
CARD-SKELETON-20260709-EVID-BACKFILL-96DE4F94AECEC54B,教材证据-AECEC54B,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-FB792899696FE3A9,应注意鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-B538A1092EA24B4B,教材证据-2EA24B4B,Evidence,CARD-SKELETON-20260709-DIFFERENTIALDIAGNOSIS-FB792899696FE3A9,应注意鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-26D939C592101D52,教材证据-92101D52,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-01FFEC6212C8935F,合并肺动脉高压者应与原发性肺动脉高压及法洛四联症鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-35E3CE07D35D595D,教材证据-D35D595D,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-03F03D7551AB8758,本病应与多发性大动脉炎累及髂动脉者、血栓闭塞性脉管炎（又称Buerger病）相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-394CA8B686929812,教材证据-86929812,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-0610DEF9C621E51D,主动脉壁间血肿、主动脉穿透性溃疡进行鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-331A0A293A82A9F9,教材证据-3A82A9F9,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-08F5ECD74D64908F,风湿热-鉴别诊断,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-A739B37EB5D24E0E,教材证据-B5D24E0E,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-0C31632E952D910B,2.心包积液、缩窄性心包炎由于腔静脉回流受阻同样可以引起颈静脉怒张、肝大、下肢水肿等类似右心衰竭表现,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-A3D82F4A8FA369CF,教材证据-8FA369CF,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-0DAAE4AC0FF1EE95,表3-10-12023版ESC感染性心内膜炎诊断标准3.鉴别诊断本病可涉及全身多脏器,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-F734C6167E206276,教材证据-7E206276,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-0FDA1416B09D0623,必须注意排除器质性心脏病,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-3B1F6B5BBEAB15A0,教材证据-BEAB15A0,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-1547DF85C0CA50C9,因此需要鉴别诊断,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-3B1F6B5BBEAB15A0,教材证据-BEAB15A0,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-1D681671E4BCBE73,与其他疾病的鉴别诊断参见“稳定型心绞痛”部分,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-604CE2C7EC19FE7E,教材证据-EC19FE7E,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-210A9343C731C1F4,3.鉴别诊断,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-394CA8B686929812,教材证据-86929812,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-23BD9DCBA4628EFF,表3-12-1主动脉夹层的高危特征由于本病多以急性胸痛为首要症状,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-26D939C592101D52,教材证据-92101D52,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-24094FD774605F92,卵圆孔未闭应与小房间隔缺损相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-2DF51B0B73D84DFE,教材证据-73D84DFE,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-2689F37EB12C1F17,排除其他疾病后,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BFF35492C538159D,教材证据-C538159D,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-305FF238F5B02122,也诊断为高血压,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BFF35492C538159D,教材证据-C538159D,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3404A239D826C997,一般需非同日测量三次血压值收缩压均≥140mmHg和/或舒张压均≥90mmHg可诊断高血压,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-2FA7C52AEC30975E,教材证据-EC30975E,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3A1C13EFDD6F8AC9,需鉴别其他引起心脏增大和心力衰竭的病因,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-26D939C592101D52,教材证据-92101D52,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3A2F24C552275B53,无青紫者应与扩张型心肌病和心包积液鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-2DF51B0B73D84DFE,教材证据-73D84DFE,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3BBA5074C6B4FB34,3.鉴别诊断以上特殊类型VM极易与急性冠脉综合征、缺血性心肌病、应激性心肌病及其他疾病相混淆,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-AB73BE0939BF38A0,教材证据-39BF38A0,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3BD171747DF1FBB0,胸痛伴心电图ST段抬高者与急性心肌梗死鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-AB73BE0939BF38A0,教材证据-39BF38A0,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3C36672F76F6565E,2.鉴别诊断诊断急性心包炎应注意与其他可引起急性胸痛的疾病相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-7BBD58F905A5A079,教材证据-05A5A079,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3E50D2B3FEC1E4A8,参照“高血压”“糖尿病”相关章节,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BACKFILL-F1916171FA5A922B,教材证据-FA5A922B,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-3F7C3AF7F14D647D,3.不同疾病分别导致不同瓣膜损害如先天性肺动脉瓣狭窄伴风湿性二尖瓣病变,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-384244B20C6D02A5,教材证据-0C6D02A5,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-436D17245A489BAE,超声心动图有助于鉴别生理性杂音、三尖瓣反流、室间隔缺损、左心室或右心室流出道梗阻等,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-3FEBD9D46112A4D3,教材证据-6112A4D3,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-544A63ED07DA136C,主要应与限制型心肌病相鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-AB73BE0939BF38A0,教材证据-39BF38A0,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-5621993B41F09DD5,肺栓塞多见于长期卧床及行动不便病人,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-F400E1ABB466ACF4,教材证据-B466ACF4,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-5C7037DA313AEC9D,鉴别诊断需要考虑以下疾病,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BFF35492C538159D,教材证据-C538159D,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-5CD45CC4A3D7565B,病人既往有高血压史,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-BFF35492C538159D,教材证据-C538159D,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-5CED3E51131ADB90,高血压诊断根据诊室测量的血压值,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-A739B37EB5D24E0E,教材证据-B5D24E0E,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-65AAFD19CBF1DA4B,不难鉴别,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-394CA8B686929812,教材证据-86929812,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-6BFC2580E124251F,夹层可产生多系统血管的压迫,ClinicalRule
CARD-SKELETON-FULL-20260709-EVID-76AF468935EFBEFF,教材证据-35EFBEFF,Evidence,CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-6E34897356CC66E2,2.鉴别诊断应除外心脏扩大、收缩功能减低的其他继发原因,ClinicalRule
