disease_code_to_fill,evidence_code,evidence_name,evidence_type,source_code,source_name,source_type
DIS-CARD-ARR-AF,EVD-00CF88A508BB4F312338-AF,中国心房颤动管理指南（2025）.pdf 第44页证据（SEG-DOC-4BF1E6843E30FAE5-44-GL-00168-AF）,Evidence,RULE-CARD-ARR-AF-04-ACUTE-CONTROL,房颤急性复律/心率控制规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-8A9E9D41F2BC962BEB8B-AF,中国心房颤动管理指南（2025）.pdf 第38页证据（SEG-DOC-4BF1E6843E30FAE5-38-GL-00142-AF）,Evidence,RULE-CARD-ARR-AF-04-ACUTE-CONTROL,房颤急性复律/心率控制规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-01226DDDBF2566E8F84E-AF,《内科学（第10版）》.pdf 第257页证据（SEG-DOC-C0BB559FA2C8448A-257-GL-00062-AF）,Evidence,RULE-CARD-ARR-AF-05-RHYTHM-ABLATION,房颤节律控制与导管消融规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-72EB22EEF00323FB3AD9-AF,心房颤动诊断和治疗中国指南 2023.pdf 第17页证据（SEG-DOC-EE90C4C9A4C51DF7-17-GL-00059-AF）,Evidence,RULE-CARD-ARR-AF-05-RHYTHM-ABLATION,房颤节律控制与导管消融规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-01226DDDBF2566E8F84E-AF,《内科学（第10版）》.pdf 第257页证据（SEG-DOC-C0BB559FA2C8448A-257-GL-00062-AF）,Evidence,RULE-CARD-ARR-AF-06-FOLLOWUP,房颤随访规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-72EB22EEF00323FB3AD9-AF,心房颤动诊断和治疗中国指南 2023.pdf 第17页证据（SEG-DOC-EE90C4C9A4C51DF7-17-GL-00059-AF）,Evidence,RULE-CARD-ARR-AF-06-FOLLOWUP,房颤随访规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DDX-AFL,房颤与心房扑动鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DDX-AFL,房颤与心房扑动鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DDX-AT,房颤与房性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DDX-AT,房颤与房性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DDX-SVT,房颤与室上性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DDX-SVT,房颤与室上性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-DOCUMENTATION,房颤记录证据组成规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-DOCUMENTATION,房颤记录证据组成规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-ECG-RR,房颤RR不规则心电组成规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-ECG-RR,房颤RR不规则心电组成规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-028A2F2BA76DE48E34B3-AF,慢性肾脏病合并非瓣膜性心房颤动患者抗凝管理的专家共识_慢性肾脏病非瓣膜性心房颤动抗凝管理工作组.pdf 第2页证据（SEG-DOC-63A0DE9B1C2143F8-2-GL-00008-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-NO-P,房颤P波缺如组成规则,ClinicalRule
DIS-CARD-ARR-AF,EVD-D4005792C9B076BFC7E1-AF,《内科学（第10版）》.pdf 第234页证据（SEG-DOC-C0BB559FA2C8448A-234-GL-00035-AF）,Evidence,RULE-CARD-ARR-AF-DX-COMP-NO-P,房颤P波缺如组成规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-AFL-DX-COMP-FLUTTER-WAVE,房扑扑动波组成规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-AFL-DX-COMP-FLUTTER-WAVE,房扑扑动波组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-AFL-DX-COMP-FLUTTER-WAVE,房扑扑动波组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-AT-DX-COMP-ATRIAL-P,房速异位P波组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-AT-DX-COMP-ATRIAL-P,房速异位P波组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-AVNRT-DX-COMP-SHORT-RP,AVNRT短RP组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-AVNRT-DX-COMP-SHORT-RP,AVNRT短RP组成规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-AVRT-DX-COMP-ACCESSORY,AVRT旁路参与组成规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-AVRT-DX-COMP-ACCESSORY,AVRT旁路参与组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-AVRT-DX-COMP-ACCESSORY,AVRT旁路参与组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-008C3C73C794EC14A074-SVT,内科学(第8版).docx 第None页证据（SEG-DOC-6E44027E23077E48-P09751-09751-GL-00061-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-01-STABILITY,室上速/房扑血流动力学稳定性规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-09B1E465B34B6085BFBF-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第8页证据（SEG-DOC-04A6231207D5F4D6-8-GL-00079-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-01-STABILITY,室上速/房扑血流动力学稳定性规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-8E8277EACCB8AF52483A-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第7页证据（SEG-DOC-04A6231207D5F4D6-7-GL-00074-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-01-STABILITY,室上速/房扑血流动力学稳定性规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-02-ECG-MECHANISM,室上速/房扑心电机制分型规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-02-ECG-MECHANISM,室上速/房扑心电机制分型规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-008C3C73C794EC14A074-SVT,内科学(第8版).docx 第None页证据（SEG-DOC-6E44027E23077E48-P09751-09751-GL-00061-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-03-ACUTE-VAGAL-ADENOSINE,稳定窄QRS SVT急性终止规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-09B1E465B34B6085BFBF-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第8页证据（SEG-DOC-04A6231207D5F4D6-8-GL-00079-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-03-ACUTE-VAGAL-ADENOSINE,稳定窄QRS SVT急性终止规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-8E8277EACCB8AF52483A-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第7页证据（SEG-DOC-04A6231207D5F4D6-7-GL-00074-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-03-ACUTE-VAGAL-ADENOSINE,稳定窄QRS SVT急性终止规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-01226DDDBF2566E8F84E-SVT,《内科学（第10版）》.pdf 第257页证据（SEG-DOC-C0BB559FA2C8448A-257-GL-00107-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-04-ABLATION,复发性SVT消融评估规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-SVT-AFL-05-AFL-ANTICOAG,房扑抗凝复律规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-SVT-AFL-05-AFL-ANTICOAG,房扑抗凝复律规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-05-AFL-ANTICOAG,房扑抗凝复律规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-SVT-AFL-06-FOLLOWUP,室上速/房扑随访规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-SVT-AFL-06-FOLLOWUP,室上速/房扑随访规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-SVT-AFL-06-FOLLOWUP,室上速/房扑随访规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-SVT-DDX-AF-RVR,SVT与房颤伴快速心室率鉴别规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-SVT-DDX-AF-RVR,SVT与房颤伴快速心室率鉴别规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-SVT-DDX-AFL,SVT与心房扑动鉴别规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-SVT-DDX-AFL,SVT与心房扑动鉴别规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-SVT-DDX-AFL,SVT与心房扑动鉴别规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-SVT-DDX-VT,SVT与室性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-SVT-DDX-VT,SVT与室性心动过速鉴别规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-SVT-DX-COMP-ECG-DOCUMENT,SVT心电记录组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-SVT-DX-COMP-ECG-DOCUMENT,SVT心电记录组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-011B40A3FEC8FE56CB5D-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第3页证据（SEG-DOC-04A6231207D5F4D6-3-GL-00032-SVT）,Evidence,RULE-CARD-ARR-SVT-DX-COMP-NARROW-REGULAR,规则窄QRS心动过速组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-C9950FFDF14F096EA0B8-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第9页证据（SEG-DOC-04A6231207D5F4D6-9-GL-00083-SVT）,Evidence,RULE-CARD-ARR-SVT-DX-COMP-NARROW-REGULAR,规则窄QRS心动过速组成规则,ClinicalRule
DIS-CARD-ARR-AFL,EVD-091DCA6C247FAD9B4430-AFL,《内科学（第10版）》.docx 第None页证据（SEG-DOC-CF62B75AEC93F1A6-P03208-03491-GL-00131-AFL）,Evidence,RULE-CARD-ARR-WPW-DX-COMP-PREEXCITATION,WPW预激心电组成规则,ClinicalRule
DIS-CARD-ARR-WPW,EVD-52F92D38A1E6498A4D09-WPW,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第15页证据（SEG-DOC-04A6231207D5F4D6-15-GL-00130-WPW）,Evidence,RULE-CARD-ARR-WPW-DX-COMP-PREEXCITATION,WPW预激心电组成规则,ClinicalRule
DIS-CARD-ARR-SVT,EVD-E481A267ED3BA48B080C-SVT,室上性心动过速诊断及治疗中国专家共识(2021).pdf 第34页证据（SEG-DOC-04A6231207D5F4D6-34-GL-00235-SVT）,Evidence,RULE-CARD-ARR-WPW-DX-COMP-PREEXCITATION,WPW预激心电组成规则,ClinicalRule
DIS-CARD-CAD-STEMI,EVD-23809B8617D9BDC7270C-STEMI,4TH universal definition of MI.pdf 第9页证据（SEG-DOC-174B3BDD2451501A-9-GL-00006-STEMI）,Evidence,RULE-CARD-CAD-AMI-DDX-ANGINA,不稳定型/稳定型心绞痛,ClinicalRule
DIS-CARD-CAD-ACS,EVD-561EE78DB0FD987183B9-ACS,NSTE-ACS CN 2024.pdf 第3页证据（SEG-DOC-223D946BFCBBE084-3-GL-00014-ACS）,Evidence,RULE-CARD-CAD-AMI-DDX-ANGINA,不稳定型/稳定型心绞痛,ClinicalRule
DIS-CARD-CAD-ACS,EVD-561EE78DB0FD987183B9-ACS,NSTE-ACS CN 2024.pdf 第3页证据（SEG-DOC-223D946BFCBBE084-3-GL-00014-ACS）,Evidence,RULE-CARD-CAD-AMI-DDX-AORTIC-DISSECTION,主动脉夹层排除与溶栓阻断,ClinicalRule
DIS-CARD-CAD-STEMI,EVD-B9B303B0E1B921BC095F-STEMI,2018 STEMI院前溶栓治疗中国专家共识.pdf 第5页证据（SEG-DOC-866065446A7A5F65-5-GL-00031-STEMI）,Evidence,RULE-CARD-CAD-AMI-DDX-AORTIC-DISSECTION,主动脉夹层排除与溶栓阻断,ClinicalRule
DIS-CARD-CAD-AMI,EVD-284C4E9C02BA9B546BC7-AMI,NSTE-ACS CN 2024.pdf 第3页证据（SEG-DOC-223D946BFCBBE084-3-GL-00020-AMI）,Evidence,RULE-CARD-CAD-AMI-DDX-PE,肺栓塞排除,ClinicalRule
DIS-CARD-CAD-ACS,EVD-561EE78DB0FD987183B9-ACS,NSTE-ACS CN 2024.pdf 第3页证据（SEG-DOC-223D946BFCBBE084-3-GL-00014-ACS）,Evidence,RULE-CARD-CAD-AMI-DDX-PE,肺栓塞排除,ClinicalRule
DIS-CARD-CAD-STEMI,EVD-192887A1ADE5529AFF5C-STEMI,STEMI CN 2019.pdf 第3页证据（SEG-DOC-955DCDB8BC81606E-3-GL-00014-STEMI）,Evidence,RULE-CARD-CAD-AMI-DDX-PERICARDITIS,急性心包炎排除,ClinicalRule
DIS-CARD-CAD-ACS,EVD-561EE78DB0FD987183B9-ACS,NSTE-ACS CN 2024.pdf 第3页证据（SEG-DOC-223D946BFCBBE084-3-GL-00014-ACS）,Evidence,RULE-CARD-CAD-AMI-DDX-PERICARDITIS,急性心包炎排除,ClinicalRule
DIS-CARD-CAD-STEMI,EVD-4E5A6C127482DC443670-STEMI,4TH universal definition of MI.pdf 第4页证据（SEG-DOC-174B3BDD2451501A-4-GL-00001-STEMI）,Evidence,RULE-CARD-CAD-AMI-DX-COMP-CORONARY-THROMBUS,冠状动脉血栓或责任病变,ClinicalRule
